benchmark,treatment,baseline,metric,mean_delta,sem_delta
Synthetic,BGR,Uniform,Clean,0.006085189246293191,0.0008437783626999693
Synthetic,BGR,Uniform,RAUC,0.008334775015359367,0.00156148685090859
Synthetic,BGR,Uniform,MedianR80,0.005112910302154602,0.0027071423738783866
Synthetic,BGR,Uniform,AULC,0.01630569363217221,0.00099860007328741
Synthetic,BGR,Fixed,Clean,0.07015274585836057,0.0011610873986454841
Synthetic,BGR,Fixed,RAUC,0.14313870530965034,0.0019216715993367473
Synthetic,BGR,Fixed,MedianR80,0.1559660235377579,0.0024448505890816027
Synthetic,BGR,Fixed,AULC,0.08598354799259109,0.0009695152239923711
Synthetic,BGR,Failure,Clean,0.0732407595263376,0.0011304315643999704
Synthetic,BGR,Failure,RAUC,0.1401385515978467,0.00199795069627029
Synthetic,BGR,Failure,MedianR80,0.15213371578250076,0.002837465081730501
Synthetic,BGR,Failure,AULC,0.08445997532016104,0.0009912812786251125
Synthetic,BGR,Loss-priority,Clean,0.07138041519518581,0.001132205168388036
Synthetic,BGR,Loss-priority,RAUC,0.14373152627997252,0.0019020119282498523
Synthetic,BGR,Loss-priority,MedianR80,0.1535962472108542,0.00235861790066785
Synthetic,BGR,Loss-priority,AULC,0.08604168037441053,0.0009729742733474427
GridMargin,BGR,Uniform,Clean,0.05155235469287618,0.00037448077528994694
GridMargin,BGR,Uniform,RAUC,0.03811985705206324,0.0004323204619220897
GridMargin,BGR,Uniform,MedianR80,0.01260370543512424,0.000749271626585707
GridMargin,BGR,Uniform,AULC,0.03940573195970281,0.00034998313690436165
RobotSuffix,BGR-Coverage,Uniform,Clean,0.02795180313432448,0.00033453473269207736
RobotSuffix,BGR-Coverage,Uniform,RAUC,0.011565348612731624,0.0003320823514043281
RobotSuffix,BGR-Coverage,Uniform,MedianR80,-0.006547306633402281,0.0007702156917194597
RobotSuffix,BGR-Coverage,Uniform,AULC,0.011514562649752858,0.00035190071173986517
