step,n,bgr_rauc_mean,bgr_rauc_sem,uniform_rauc_mean,uniform_rauc_sem,delta_mean,delta_sem
0,15,0.2154848779981591,0.0007419948023947437,0.2154848779981591,0.0007419948023947437,0.0,0.0
30,15,0.26073338739286517,0.0007060389889776228,0.23719943519799244,0.0007824479856835593,0.023533952194872747,0.00036966643279646934
60,15,0.29521763947241136,0.000736947611568075,0.25833455828603763,0.0007607559827389065,0.03688308118637374,0.00045749781096446465
90,15,0.3226003791797929,0.0006941485194420138,0.2785995973402049,0.0007201711282476017,0.044000781839587985,0.0005727603639345696
120,15,0.3453990899297757,0.0006507106787176513,0.2979493061111684,0.0006478454796175983,0.047449783818607295,0.0005511368224580574
150,15,0.3648533849236555,0.0006573466119260034,0.31669039089934903,0.0005945011237545392,0.048162994024306426,0.0005902308608702963
180,15,0.3816657920028721,0.0007014054366746169,0.3343522789131932,0.0006251016446043837,0.047313513089678925,0.0006798793144956454
210,15,0.39669056978892814,0.0006791133819584687,0.3510853323317818,0.00062920598661475,0.04560523745714631,0.0007188154797467214
240,15,0.4102771094491414,0.0006472283992374774,0.366973579224533,0.0005968032262617892,0.04330353022460843,0.0006636142773046864
270,15,0.4228789017681981,0.0006231009908453833,0.3820349190877647,0.000615853132702908,0.04084398268043345,0.0006532361217044457
300,15,0.4345018006021572,0.0006022123017786832,0.3961277428632299,0.0005795522920236746,0.03837405773892734,0.0006180008953515355
