benchmark,method,metric,n,mean,sem
Synthetic,BGR,Clean,15,0.8920492403559436,0.0018012909648704475
Synthetic,BGR,RAUC,15,0.3725764006148727,0.0017518425471558796
Synthetic,BGR,MedianR80,15,0.28640790152382256,0.0028693435929056862
Synthetic,BGR,AULC,15,0.3150528795642376,0.0013692180405560116
Synthetic,Uniform,Clean,15,0.8859640511096504,0.0015474225859294273
Synthetic,Uniform,RAUC,15,0.36424162559951334,0.000809122936650394
Synthetic,Uniform,MedianR80,15,0.28129499122166796,0.0025381047419744747
Synthetic,Uniform,AULC,15,0.29874718593206534,0.000912613547976401
Synthetic,Fixed,Clean,15,0.821896494497583,0.0013697722874610597
Synthetic,Fixed,RAUC,15,0.22943769530522237,0.0016001722306224764
Synthetic,Fixed,MedianR80,15,0.13044187798606466,0.0014729881617318267
Synthetic,Fixed,AULC,15,0.2290693315716465,0.0014545973301292676
Synthetic,Failure,Clean,15,0.818808480829606,0.0013700854609434855
Synthetic,Failure,RAUC,15,0.23243784901702605,0.0016905808048686326
Synthetic,Failure,MedianR80,15,0.13427418574132183,0.001560333181040198
Synthetic,Failure,AULC,15,0.23059290424407655,0.0014835407460119258
Synthetic,Loss-priority,Clean,15,0.8206688251607577,0.0012888424914094519
Synthetic,Loss-priority,RAUC,15,0.2288448743349002,0.0013457426787826215
Synthetic,Loss-priority,MedianR80,15,0.13281165431296837,0.0016440938858193947
Synthetic,Loss-priority,AULC,15,0.22901119918982707,0.0013349595447697225
GridMargin,BGR,Clean,30,0.9454893391894625,0.0004825326094247043
GridMargin,BGR,RAUC,30,0.43444252393637156,0.0003769763011844554
GridMargin,BGR,MedianR80,30,0.344682154713243,0.0007920307208221895
GridMargin,BGR,AULC,30,0.3526276817676416,0.0003993235160151752
GridMargin,Uniform,Clean,30,0.8939369844965863,0.00044074066882127404
GridMargin,Uniform,RAUC,30,0.39632266688430834,0.0003733123260372223
GridMargin,Uniform,MedianR80,30,0.33207844927811875,0.0005884124610575373
GridMargin,Uniform,AULC,30,0.31322194980793877,0.00042255125676112946
RobotSuffix,BGR-Coverage,Clean,30,0.8643596968704819,0.0006212610087153955
RobotSuffix,BGR-Coverage,RAUC,30,0.4969177344552692,0.0006621185670364195
RobotSuffix,BGR-Coverage,MedianR80,30,0.4981519122557991,0.0011228198564334367
RobotSuffix,BGR-Coverage,AULC,30,0.38245844012634056,0.0005480156492828794
RobotSuffix,Uniform,Clean,30,0.8364078937361573,0.0006903433023961029
RobotSuffix,Uniform,RAUC,30,0.4853523858425376,0.000716132893262697
RobotSuffix,Uniform,MedianR80,30,0.5046992188892013,0.0008910910589044488
RobotSuffix,Uniform,AULC,30,0.3709438774765877,0.0005576907907204596
