method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.7083333333333334,0.16536458333333334,0.1333333333333333,0.13802083333333334,0.16536458333333334
uniform,1,0.6666666666666666,0.15364583333333334,0.1857142857142857,0.1357421875,0.15364583333333334
uniform,2,0.625,0.1328125,0.23571428571428568,0.15755208333333334,0.20052083333333334
uniform,3,0.7083333333333334,0.1484375,0.11666666666666664,0.13932291666666669,0.1484375
fixed,0,0.5833333333333334,0.13802083333333334,0.24999999999999997,0.1240234375,0.13802083333333334
fixed,1,0.5416666666666666,0.11979166666666667,0.294047619047619,0.1181640625,0.11979166666666667
fixed,2,0.5833333333333334,0.12630208333333334,0.28928571428571426,0.14615885416666669,0.20052083333333334
fixed,3,0.6666666666666666,0.12630208333333334,0.09523809523809522,0.13509114583333334,0.14453125
failure_only,0,0.7083333333333334,0.15104166666666666,0.08999999999999998,0.12858072916666669,0.15104166666666666
failure_only,1,0.6666666666666666,0.13932291666666666,0.13999999999999996,0.12825520833333331,0.13932291666666666
failure_only,2,0.625,0.125,0.19999999999999996,0.14843750000000003,0.20052083333333334
failure_only,3,0.6666666666666666,0.140625,0.14999999999999997,0.12955729166666669,0.140625
td_loss,0,0.6666666666666666,0.140625,0.13999999999999996,0.14160156250000003,0.15755208333333334
td_loss,1,0.5416666666666666,0.12630208333333334,0.3,0.13932291666666669,0.15625
td_loss,2,0.5833333333333334,0.12760416666666666,0.20238095238095236,0.15104166666666669,0.20052083333333334
td_loss,3,0.5833333333333334,0.11458333333333333,0.2732142857142857,0.12955729166666666,0.13932291666666666
bgr_uniform_radius,0,0.625,0.13932291666666666,0.19999999999999996,0.14518229166666669,0.16536458333333334
bgr_uniform_radius,1,0.625,0.14192708333333334,0.23571428571428568,0.130859375,0.14192708333333334
bgr_uniform_radius,2,0.5833333333333334,0.12890625,0.23571428571428568,0.14225260416666669,0.20052083333333334
bgr_uniform_radius,3,0.625,0.13020833333333334,0.23571428571428568,0.12174479166666667,0.13020833333333334
bgr_coverage,0,0.5416666666666666,0.12109375,0.2857142857142857,0.13281250000000003,0.14973958333333334
bgr_coverage,1,0.5833333333333334,0.140625,0.30357142857142855,0.13248697916666666,0.140625
bgr_coverage,2,0.625,0.15625,0.24999999999999997,0.15299479166666666,0.20052083333333334
bgr_coverage,3,0.6666666666666666,0.13932291666666666,0.11666666666666664,0.13899739583333334,0.14583333333333334
bgr,0,0.6666666666666666,0.140625,0.10666666666666665,0.13704427083333331,0.1484375
bgr,1,0.625,0.13541666666666666,0.23571428571428568,0.13899739583333331,0.15104166666666666
bgr,2,0.625,0.14583333333333334,0.20238095238095236,0.15690104166666669,0.20052083333333334
bgr,3,0.625,0.13151041666666666,0.16666666666666663,0.11946614583333333,0.13151041666666666
