method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.625,0.15364583333333334,0.23571428571428568,0.13444010416666669,0.15364583333333334
uniform,1,0.625,0.14583333333333334,0.20238095238095236,0.15071614583333334,0.16927083333333334
uniform,2,0.75,0.16015625,0.08333333333333331,0.16048177083333334,0.20052083333333334
uniform,3,0.625,0.12890625,0.16666666666666663,0.13834635416666669,0.14973958333333334
fixed,0,0.5833333333333334,0.13932291666666666,0.24999999999999997,0.12434895833333333,0.13932291666666666
fixed,1,0.5416666666666666,0.11979166666666667,0.294047619047619,0.1181640625,0.11979166666666667
fixed,2,0.5833333333333334,0.12630208333333334,0.28928571428571426,0.14615885416666669,0.20052083333333334
fixed,3,0.6666666666666666,0.12630208333333334,0.09523809523809522,0.13509114583333334,0.14453125
failure_only,0,0.5416666666666666,0.11328125,0.3,0.11328125,0.11458333333333333
failure_only,1,0.5416666666666666,0.12239583333333333,0.3071428571428571,0.1240234375,0.12760416666666666
failure_only,2,0.625,0.13932291666666666,0.23749999999999996,0.14290364583333331,0.20052083333333334
failure_only,3,0.7083333333333334,0.17838541666666666,0.19999999999999996,0.15332031249999997,0.17838541666666666
td_loss,0,0.5833333333333334,0.13151041666666666,0.23571428571428568,0.13151041666666669,0.14192708333333334
td_loss,1,0.5833333333333334,0.12239583333333333,0.2857142857142857,0.1318359375,0.14322916666666666
td_loss,2,0.6666666666666666,0.13411458333333334,0.10666666666666665,0.1533203125,0.20052083333333334
td_loss,3,0.6666666666666666,0.12890625,0.09523809523809522,0.13899739583333331,0.15104166666666666
bgr_uniform_radius,0,0.5833333333333334,0.1171875,0.20238095238095236,0.1181640625,0.12239583333333333
bgr_uniform_radius,1,0.625,0.14192708333333334,0.19999999999999998,0.13216145833333334,0.14192708333333334
bgr_uniform_radius,2,0.625,0.12890625,0.16666666666666663,0.14746093750000003,0.20052083333333334
bgr_uniform_radius,3,0.625,0.13411458333333334,0.2714285714285714,0.12792968750000003,0.13411458333333334
bgr_coverage,0,0.75,0.15885416666666666,0.07999999999999999,0.13313802083333331,0.15885416666666666
bgr_coverage,1,0.5416666666666666,0.14583333333333334,0.30357142857142855,0.1376953125,0.14583333333333334
bgr_coverage,2,0.6666666666666666,0.13411458333333334,0.14999999999999997,0.1396484375,0.20052083333333334
bgr_coverage,3,0.625,0.15625,0.16666666666666663,0.15299479166666669,0.16536458333333334
bgr,0,0.5833333333333334,0.125,0.21666666666666665,0.11751302083333333,0.125
bgr,1,0.6666666666666666,0.16015625,0.19999999999999996,0.13346354166666666,0.16015625
bgr,2,0.625,0.13802083333333334,0.20238095238095236,0.15755208333333334,0.20052083333333334
bgr,3,0.7083333333333334,0.15885416666666666,0.09999999999999998,0.14388020833333334,0.15885416666666666
