seed,radius,success,progress,fall_rate
0,0.0,1.0,3.7398133277893066,0.0
0,0.2,1.0,3.6874091625213623,0.0
0,0.4,1.0,3.9071953296661377,0.0
0,0.7,0.5,4.104363441467285,0.5
0,1.0,0.5,4.739828586578369,0.5
0,1.4,0.0,2.4661850929260254,0.5
1,0.0,1.0,3.8415608406066895,0.0
1,0.2,1.0,3.990365505218506,0.0
1,0.4,1.0,3.194983720779419,0.0
1,0.7,0.5,2.2926878929138184,0.0
1,1.0,1.0,3.530045747756958,0.0
1,1.4,0.5,3.5356900691986084,0.5
2,0.0,1.0,3.7889676094055176,0.0
2,0.2,1.0,3.9043829441070557,0.0
2,0.4,0.5,1.871518850326538,0.0
2,0.7,1.0,3.9511559009552,0.0
2,1.0,1.0,4.068711042404175,0.0
2,1.4,0.0,2.1616244316101074,0.5
3,0.0,1.0,3.4446802139282227,0.0
3,0.2,1.0,3.7045059204101562,0.0
3,0.4,1.0,3.287093162536621,0.0
3,0.7,1.0,3.8440823554992676,0.0
3,1.0,1.0,3.277876615524292,0.0
3,1.4,1.0,4.574720621109009,0.0
4,0.0,1.0,3.410703182220459,0.0
4,0.2,1.0,3.5629091262817383,0.0
4,0.4,1.0,3.736527919769287,0.0
4,0.7,0.5,3.4574365615844727,0.5
4,1.0,0.5,1.4204859733581543,0.0
4,1.4,0.0,-2.1385779976844788,0.5
5,0.0,1.0,3.6733999252319336,0.0
5,0.2,1.0,4.320427656173706,0.0
5,0.4,1.0,3.2570719718933105,0.0
5,0.7,1.0,3.405569076538086,0.0
5,1.0,0.5,3.859285354614258,0.5
5,1.4,0.5,2.79947566986084,0.0
6,0.0,1.0,3.5466184616088867,0.0
6,0.2,1.0,3.7908737659454346,0.0
6,0.4,1.0,3.547370195388794,0.0
6,0.7,0.5,1.7873003482818604,0.0
6,1.0,0.5,3.9695284366607666,0.5
6,1.4,0.5,1.0601153373718262,0.5
7,0.0,1.0,3.7244515419006348,0.0
7,0.2,1.0,4.3433837890625,0.0
7,0.4,1.0,4.185801982879639,0.0
7,0.7,0.5,1.5856819152832031,0.0
7,1.0,0.0,2.105543851852417,0.5
7,1.4,1.0,2.298874855041504,0.0
8,0.0,1.0,3.4095396995544434,0.0
8,0.2,1.0,3.8869588375091553,0.0
8,0.4,1.0,3.2721409797668457,0.0
8,0.7,1.0,4.593642711639404,0.0
8,1.0,0.0,0.4919254779815674,0.0
8,1.4,0.5,0.28388261795043945,0.5
9,0.0,1.0,3.440217971801758,0.0
9,0.2,1.0,4.07509446144104,0.0
9,0.4,1.0,4.0597357749938965,0.0
9,0.7,0.5,3.0362184047698975,0.0
9,1.0,1.0,4.079935550689697,0.0
9,1.4,1.0,3.7676055431365967,0.0
10,0.0,0.0,5.931690216064453,1.0
10,0.2,1.0,4.417605400085449,0.0
10,0.4,1.0,5.028984069824219,0.0
10,0.7,1.0,4.101520776748657,0.0
10,1.0,1.0,4.448718309402466,0.0
10,1.4,0.5,4.960546255111694,0.5
11,0.0,1.0,3.6456727981567383,0.0
11,0.2,1.0,4.152379989624023,0.0
11,0.4,1.0,4.093844175338745,0.0
11,0.7,0.0,2.3414804935455322,0.5
11,1.0,0.5,2.5036895275115967,0.0
11,1.4,1.0,4.66964864730835,0.0
