method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.08333333333333333,0.1324404761904762,1.4,0.14397321428571433,0.3690476190476191
uniform,1,0.0,0.09523809523809522,1.4,0.3591889880952381,0.587797619047619
uniform,2,0.75,0.5505952380952381,0.52,0.3472842261904762,0.5505952380952381
uniform,3,0.16666666666666666,0.14732142857142858,1.4,0.16610863095238093,0.4196428571428571
fixed,0,0.08333333333333333,0.3273809523809524,1.4,0.2587425595238095,0.3273809523809524
fixed,1,0.6666666666666666,0.6488095238095237,0.99,0.29110863095238093,0.6488095238095237
fixed,2,0.4166666666666667,0.45089285714285726,1.4,0.1953125,0.45089285714285726
fixed,3,0.4166666666666667,0.3348214285714286,1.4,0.28366815476190477,0.37053571428571436
failure_only,0,0.0,0.15773809523809523,1.4,0.21819196428571433,0.38839285714285715
failure_only,1,0.3333333333333333,0.34375000000000006,1.4,0.1287202380952381,0.34375000000000006
failure_only,2,0.4166666666666667,0.31845238095238093,1.4,0.14006696428571427,0.31845238095238093
failure_only,3,0.0,0.1904761904761905,1.4,0.22470238095238093,0.5074404761904762
td_loss,0,0.0,0.11904761904761907,1.4,0.20814732142857145,0.32589285714285715
td_loss,1,0.08333333333333333,0.1130952380952381,1.4,0.28813244047619047,0.45089285714285715
td_loss,2,0.3333333333333333,0.3080357142857143,1.4,0.25558035714285715,0.5074404761904763
td_loss,3,0.5,0.5014880952380952,0.84,0.21558779761904762,0.5014880952380952
bgr_uniform_radius,0,0.75,0.32886904761904767,0.07999999999999999,0.1793154761904762,0.32886904761904767
bgr_uniform_radius,1,0.16666666666666666,0.24553571428571427,1.4,0.22321428571428567,0.3288690476190476
bgr_uniform_radius,2,0.6666666666666666,0.5282738095238095,0.52,0.42522321428571425,0.5654761904761904
bgr_uniform_radius,3,0.7916666666666666,0.625,0.4,0.24665178571428567,0.625
bgr_coverage,0,0.08333333333333333,0.22321428571428573,1.4,0.24869791666666669,0.4672619047619047
bgr_coverage,1,0.3333333333333333,0.43005952380952384,1.4,0.277157738095238,0.462797619047619
bgr_coverage,2,0.0,0.13988095238095236,1.4,0.220796130952381,0.4285714285714286
bgr_coverage,3,0.0,0.1279761904761905,1.4,0.12276785714285712,0.16220238095238093
bgr,0,0.0,0.24851190476190474,1.4,0.3314732142857143,0.4761904761904762
bgr,1,0.0,0.07589285714285715,1.4,0.35193452380952384,0.7589285714285715
bgr,2,0.0,0.18303571428571427,1.4,0.3013392857142857,0.47321428571428575
bgr,3,0.16666666666666666,0.23958333333333334,1.4,0.3372395833333333,0.43452380952380953
