seed,radius,success,progress,fall_rate
0,0.0,1.0,3.706118106842041,0.0
0,0.2,1.0,3.7576396465301514,0.0
0,0.4,1.0,3.975687265396118,0.0
0,0.7,0.5,3.66416597366333,0.5
0,1.0,0.5,4.863012313842773,0.5
0,1.4,0.0,2.4226417541503906,0.5
1,0.0,1.0,5.78478479385376,0.0
1,0.2,0.5,4.636155128479004,0.5
1,0.4,1.0,4.169607877731323,0.0
1,0.7,1.0,4.285212755203247,0.0
1,1.0,0.5,4.547118902206421,0.5
1,1.4,0.0,2.075767993927002,0.5
2,0.0,1.0,4.084776401519775,0.0
2,0.2,1.0,4.104047060012817,0.0
2,0.4,0.5,5.482334852218628,0.5
2,0.7,0.5,5.233822584152222,0.5
2,1.0,0.5,2.636563777923584,0.0
2,1.4,0.0,3.8708741664886475,1.0
3,0.0,1.0,3.756923198699951,0.0
3,0.2,1.0,4.033312797546387,0.0
3,0.4,1.0,4.181567430496216,0.0
3,0.7,1.0,4.4977850914001465,0.0
3,1.0,0.5,2.9233031272888184,0.0
3,1.4,0.5,3.5916173458099365,0.5
4,0.0,1.0,3.623932361602783,0.0
4,0.2,1.0,3.8944602012634277,0.0
4,0.4,1.0,3.977537155151367,0.0
4,0.7,0.5,3.5077266693115234,0.5
4,1.0,0.5,1.9554760456085205,0.0
4,1.4,0.0,-1.0275924801826477,0.5
5,0.0,1.0,3.5498461723327637,0.0
5,0.2,1.0,3.8767282962799072,0.0
5,0.4,1.0,3.132201671600342,0.0
5,0.7,1.0,2.864041328430176,0.0
5,1.0,0.0,3.2298479080200195,1.0
5,1.4,0.5,2.732466220855713,0.0
6,0.0,1.0,3.753563404083252,0.0
6,0.2,1.0,4.445856809616089,0.0
6,0.4,1.0,3.7012760639190674,0.0
6,0.7,1.0,3.663731336593628,0.0
6,1.0,0.5,3.763432264328003,0.5
6,1.4,0.5,1.6916098594665527,0.0
7,0.0,1.0,3.643892765045166,0.0
7,0.2,1.0,4.272780418395996,0.0
7,0.4,1.0,4.144880771636963,0.0
7,0.7,0.5,1.583097219467163,0.0
7,1.0,0.0,1.805042028427124,0.5
7,1.4,1.0,2.1279687881469727,0.0
8,0.0,1.0,3.765141010284424,0.0
8,0.2,1.0,4.020842790603638,0.0
8,0.4,1.0,4.101907253265381,0.0
8,0.7,0.5,3.98663330078125,0.5
8,1.0,0.5,1.2911098003387451,0.0
8,1.4,0.5,0.43779897689819336,0.0
9,0.0,1.0,4.0857648849487305,0.0
9,0.2,1.0,4.953262090682983,0.0
9,0.4,1.0,4.450742244720459,0.0
9,0.7,0.0,4.443469524383545,1.0
9,1.0,1.0,4.840689182281494,0.0
9,1.4,0.5,5.003621816635132,0.5
10,0.0,1.0,5.803320407867432,0.0
10,0.2,1.0,4.457924842834473,0.0
10,0.4,1.0,5.003658294677734,0.0
10,0.7,1.0,3.9007604122161865,0.0
10,1.0,1.0,4.295408487319946,0.0
10,1.4,0.5,4.7520482540130615,0.5
11,0.0,1.0,3.809479236602783,0.0
11,0.2,1.0,4.388251304626465,0.0
11,0.4,1.0,4.33609938621521,0.0
11,0.7,0.0,2.573925733566284,0.5
11,1.0,1.0,2.750391721725464,0.0
11,1.4,0.5,4.669967174530029,0.5
