method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.3333333333333333,0.3779761904761905,1.4,0.35249255952380953,0.4479166666666667
uniform,1,0.5833333333333334,0.5907738095238094,0.99,0.3387276785714285,0.5907738095238094
uniform,2,0.25,0.2455357142857143,1.4,0.32198660714285715,0.5729166666666667
uniform,3,0.0,0.193452380952381,1.4,0.2981770833333333,0.40624999999999994
fixed,0,0.9166666666666666,0.7068452380952381,0.37,0.2589285714285714,0.7068452380952381
fixed,1,0.0,0.49702380952380953,1.4,0.3913690476190476,0.6190476190476191
fixed,2,0.08333333333333333,0.2738095238095238,1.4,0.28757440476190477,0.474702380952381
fixed,3,0.0,0.24702380952380953,1.4,0.36216517857142866,0.48809523809523814
failure_only,0,0.0,0.05208333333333333,1.4,0.19308035714285712,0.3080357142857143
failure_only,1,0.6666666666666666,0.47321428571428575,0.64,0.23772321428571433,0.47321428571428575
failure_only,2,0.08333333333333333,0.34375,1.4,0.27250744047619047,0.4880952380952381
failure_only,3,0.75,0.5714285714285714,0.52,0.3800223214285714,0.5714285714285714
td_loss,0,0.3333333333333333,0.32440476190476186,1.4,0.17020089285714285,0.32440476190476186
td_loss,1,0.3333333333333333,0.3645833333333333,1.4,0.1742931547619048,0.3645833333333333
td_loss,2,0.08333333333333333,0.17410714285714285,1.4,0.35918898809523814,0.6041666666666667
td_loss,3,0.5,0.5624999999999999,0.84,0.40048363095238093,0.5624999999999999
bgr_uniform_radius,0,0.16666666666666666,0.28869047619047616,1.4,0.4696800595238095,0.6636904761904763
bgr_uniform_radius,1,0.25,0.2693452380952381,1.4,0.3837425595238095,0.6369047619047619
bgr_uniform_radius,2,0.0,0.10714285714285712,1.4,0.30803571428571425,0.6532738095238094
bgr_uniform_radius,3,0.75,0.5252976190476191,0.26,0.33482142857142855,0.5252976190476191
bgr_coverage,0,0.3333333333333333,0.32291666666666663,1.4,0.29724702380952384,0.5476190476190478
bgr_coverage,1,0.0,0.19196428571428575,1.4,0.304873511904762,0.6711309523809523
bgr_coverage,2,0.6666666666666666,0.3541666666666667,0.15999999999999998,0.25669642857142855,0.3541666666666667
bgr_coverage,3,0.0,0.21726190476190477,1.4,0.35137648809523814,0.5357142857142857
bgr,0,0.0,0.05208333333333333,1.4,0.24590773809523808,0.37946428571428564
bgr,1,0.0,0.3779761904761904,1.4,0.29650297619047616,0.6755952380952381
bgr,2,0.75,0.6279761904761905,0.37,0.4029017857142856,0.6279761904761905
bgr,3,0.3333333333333333,0.43898809523809523,1.4,0.3236607142857143,0.47321428571428575
