method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.8107638888888888,1.0,0.662109375,0.9114583333333334
uniform,1,1.0,0.8897569444444444,1.0,0.7290581597222221,0.8897569444444444
uniform,2,1.0,0.8845486111111112,1.0,0.6891276041666666,0.8845486111111112
uniform,3,1.0,0.7699652777777778,0.775,0.6880425347222223,0.9704861111111112
uniform,4,1.0,0.9375,1.0,0.761501736111111,0.9375
uniform,5,1.0,0.9357638888888888,1.0,0.6744791666666667,0.9357638888888888
uniform,6,1.0,0.9557291666666666,1.0,0.551540798611111,0.9557291666666666
uniform,7,1.0,0.8298611111111112,0.775,0.5944010416666667,0.8298611111111112
uniform,8,1.0,0.6588541666666666,0.475,0.6713324652777778,0.9704861111111112
uniform,9,1.0,0.8862847222222222,1.0,0.6606987847222222,0.9079861111111112
uniform,10,1.0,0.7855902777777778,0.775,0.5919053819444444,0.8984375
uniform,11,1.0,0.8072916666666666,0.8875,0.6263020833333333,0.8359375
uniform,12,1.0,0.9583333333333334,1.0,0.7007378472222221,0.9583333333333334
uniform,13,1.0,0.9322916666666666,1.0,0.6221788194444444,0.9322916666666666
uniform,14,1.0,0.7092013888888888,0.6625000000000001,0.5936414930555556,0.8689236111111112
uniform,15,1.0,0.9661458333333334,1.0,0.6433376736111112,0.9661458333333334
uniform,16,1.0,0.9678819444444444,1.0,0.5506727430555556,0.9678819444444444
uniform,17,1.0,0.875,1.0,0.646267361111111,0.875
uniform,18,1.0,0.984375,1.0,0.849826388888889,0.984375
uniform,19,1.0,0.6944444444444444,0.775,0.6195746527777778,0.8914930555555556
uniform,20,1.0,0.9774305555555556,1.0,0.5355902777777779,0.9774305555555556
uniform,21,1.0,0.9730902777777778,1.0,0.7110460069444444,0.9730902777777778
uniform,22,1.0,0.7751736111111112,0.7875000000000001,0.6396484375,0.8732638888888888
uniform,23,1.0,0.9270833333333334,1.0,0.7786458333333334,0.9270833333333334
uniform,24,1.0,0.8142361111111112,0.7875000000000001,0.5462239583333334,0.8142361111111112
uniform,25,1.0,0.9635416666666666,1.0,0.603298611111111,0.9635416666666666
uniform,26,1.0,0.9001736111111112,1.0,0.6758897569444444,0.9001736111111112
uniform,27,1.0,0.8576388888888888,1.0,0.552517361111111,0.8576388888888888
uniform,28,1.0,0.9505208333333334,1.0,0.6837022569444444,0.9678819444444444
uniform,29,1.0,0.9678819444444444,1.0,0.6682942708333333,0.9678819444444444
fixed,0,1.0,0.7126736111111112,0.775,0.7659505208333334,0.9774305555555556
fixed,1,1.0,0.796875,0.775,0.5750868055555556,0.796875
fixed,2,1.0,0.796875,0.775,0.6549479166666666,0.796875
fixed,3,1.0,0.8003472222222222,0.775,0.6449652777777778,0.8090277777777778
fixed,4,1.0,0.9487847222222222,1.0,0.7550998263888888,0.9487847222222222
fixed,5,1.0,0.9383680555555556,1.0,0.6873914930555556,0.9522569444444444
fixed,6,1.0,0.8645833333333334,1.0,0.6762152777777779,0.8671875
fixed,7,1.0,0.8125,0.775,0.6634114583333333,0.8125
fixed,8,1.0,0.7821180555555556,0.775,0.6214192708333334,0.7821180555555556
fixed,9,1.0,0.9383680555555556,1.0,0.7240668402777779,0.9383680555555556
fixed,10,1.0,0.8194444444444444,0.8875,0.570529513888889,0.8194444444444444
fixed,11,1.0,0.8125,0.775,0.7063802083333333,0.9184027777777778
fixed,12,1.0,0.9375,1.0,0.6640625,0.9375
fixed,13,1.0,0.8125,0.7875000000000001,0.65234375,0.8984375
fixed,14,1.0,0.8923611111111112,1.0,0.615017361111111,0.8923611111111112
fixed,15,1.0,0.6501736111111112,0.65,0.6567925347222223,0.9817708333333334
