method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.7,0.13125,0.15,0.103125,0.13125
uniform,1,0.5,0.09375,0.575,0.0703125,0.09375
uniform,2,1.0,0.1875,0.15,0.17578125,0.1875
uniform,3,0.0,0.0,1.0,0.0,0.0
fixed,0,0.1,0.01875,1.0,0.01875,0.01875
fixed,1,0.1,0.01875,1.0,0.01875,0.01875
fixed,2,0.5,0.09375,0.575,0.09375,0.09375
fixed,3,0.0,0.0,1.0,0.0,0.0
failure_only,0,0.7,0.13125,0.15,0.084375,0.13125
failure_only,1,0.5,0.09375,0.575,0.065625,0.09375
failure_only,2,0.6,0.1125,0.15,0.12421875,0.13125
failure_only,3,0.0,0.0,1.0,0.0,0.0
td_loss,0,0.9,0.16875,0.15,0.0703125,0.16875
td_loss,1,1.0,0.1875,0.15,0.12421875,0.1875
td_loss,2,0.0,0.0,1.0,0.01171875,0.09375
td_loss,3,0.0,0.0,1.0,0.0,0.0
bgr_uniform_radius,0,0.4,0.075,1.0,0.02578125,0.075
bgr_uniform_radius,1,1.0,0.1875,0.15,0.12421875,0.1875
bgr_uniform_radius,2,0.9,0.16875,0.15,0.1453125,0.16875
bgr_uniform_radius,3,0.0,0.0,1.0,0.0,0.0
bgr_coverage,0,1.0,0.1875,0.15,0.11015625,0.1875
bgr_coverage,1,1.0,0.1875,0.15,0.09609375,0.1875
bgr_coverage,2,1.0,0.1875,0.15,0.15703125,0.1875
bgr_coverage,3,0.4,0.075,1.0,0.028125,0.075
bgr,0,0.7,0.13125,0.15,0.084375,0.13125
bgr,1,1.0,0.1875,0.15,0.06328125,0.1875
bgr,2,1.0,0.1875,0.15,0.17109375,0.1875
bgr,3,0.7,0.13125,0.15,0.10546875,0.13125
