method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.1875,0.15,0.121875,0.1875
uniform,1,0.6,0.1125,0.15,0.028125,0.1125
uniform,2,0.0,0.0,1.0,0.0,0.0
uniform,3,0.2,0.0375,1.0,0.0046875,0.0375
fixed,0,0.2,0.0375,1.0,0.0375,0.0375
fixed,1,0.0,0.0,1.0,0.0,0.0
fixed,2,0.0,0.0,1.0,0.0,0.0
fixed,3,0.0,0.0,1.0,0.0,0.0
failure_only,0,1.0,0.1875,0.15,0.159375,0.1875
failure_only,1,0.0,0.0,1.0,0.0,0.0
failure_only,2,0.3,0.05625,1.0,0.03515625,0.05625
failure_only,3,0.0,0.0,1.0,0.0,0.0
td_loss,0,1.0,0.1875,0.15,0.16875,0.1875
td_loss,1,0.0,0.0,1.0,0.0,0.0
td_loss,2,0.1,0.01875,1.0,0.00234375,0.01875
td_loss,3,1.0,0.1875,0.15,0.09375,0.1875
bgr_uniform_radius,0,1.0,0.1875,0.15,0.16875,0.1875
bgr_uniform_radius,1,0.9,0.16875,0.15,0.13828125,0.16875
bgr_uniform_radius,2,0.8,0.15,0.15,0.05625,0.15
bgr_uniform_radius,3,0.0,0.0,1.0,0.0,0.0
bgr_coverage,0,0.9,0.16875,0.15,0.13828125,0.16875
bgr_coverage,1,0.0,0.0,1.0,0.0,0.0
bgr_coverage,2,0.0,0.0,1.0,0.0,0.0
bgr_coverage,3,0.9,0.16875,0.15,0.06796875,0.16875
bgr,0,0.8,0.15,0.15,0.1359375,0.15
bgr,1,0.9,0.16875,0.15,0.04453125,0.16875
bgr,2,0.0,0.0,1.0,0.0,0.0
bgr,3,0.7,0.13125,0.15,0.11015625,0.13125
