method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.3333333333333333,0.054861111111111104,1.0,0.09438657407407408,0.3190972222222222
uniform,1,0.2916666666666667,0.044444444444444446,1.0,0.09890046296296294,0.3190972222222222
uniform,2,0.3333333333333333,0.05347222222222222,1.0,0.09600694444444445,0.321875
uniform,3,0.3333333333333333,0.04583333333333333,1.0,0.08859953703703702,0.3190972222222222
fixed,0,0.5,0.14375,0.75,0.1763310185185185,0.3190972222222222
fixed,1,0.5208333333333334,0.10868055555555556,0.36666666666666664,0.1398148148148148,0.3190972222222222
fixed,2,0.5625,0.18437499999999998,0.37777777777777777,0.25752314814814814,0.321875
fixed,3,0.5,0.13125,0.7083333333333333,0.14346064814814816,0.3190972222222222
failure_only,0,0.3958333333333333,0.06701388888888889,1.0,0.10740740740740741,0.3190972222222222
failure_only,1,0.4166666666666667,0.08194444444444444,1.0,0.11846064814814815,0.3190972222222222
failure_only,2,0.3125,0.051736111111111115,1.0,0.10428240740740741,0.321875
failure_only,3,0.375,0.06041666666666667,1.0,0.10538194444444443,0.3190972222222222
td_loss,0,0.3333333333333333,0.05208333333333332,1.0,0.09924768518518517,0.3190972222222222
td_loss,1,0.3125,0.04131944444444444,1.0,0.09513888888888887,0.3190972222222222
td_loss,2,0.3125,0.04548611111111111,1.0,0.09016203703703704,0.321875
td_loss,3,0.2708333333333333,0.03993055555555555,1.0,0.0886574074074074,0.3190972222222222
bgr_uniform_radius,0,0.3333333333333333,0.05138888888888888,1.0,0.09890046296296294,0.3190972222222222
bgr_uniform_radius,1,0.3125,0.05104166666666666,1.0,0.0980324074074074,0.3190972222222222
bgr_uniform_radius,2,0.375,0.06597222222222222,1.0,0.10040509259259259,0.321875
bgr_uniform_radius,3,0.3333333333333333,0.054861111111111104,1.0,0.09947916666666666,0.3190972222222222
bgr_coverage,0,0.3958333333333333,0.06493055555555555,1.0,0.09826388888888889,0.3190972222222222
bgr_coverage,1,0.2916666666666667,0.041666666666666664,1.0,0.09635416666666666,0.3190972222222222
bgr_coverage,2,0.3541666666666667,0.057986111111111106,1.0,0.10775462962962963,0.321875
bgr_coverage,3,0.3541666666666667,0.05659722222222222,1.0,0.09328703703703703,0.3190972222222222
bgr,0,0.2916666666666667,0.04652777777777778,1.0,0.09265046296296298,0.3190972222222222
bgr,1,0.3541666666666667,0.05729166666666666,1.0,0.0997685185185185,0.3190972222222222
bgr,2,0.3541666666666667,0.055208333333333325,1.0,0.10532407407407406,0.321875
bgr,3,0.3541666666666667,0.05381944444444444,1.0,0.09895833333333333,0.3190972222222222
