method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.983467261904762,1.0,0.88473792989418,0.994404761904762
uniform,1,1.0,0.994404761904762,1.0,0.9275421626984127,0.994404761904762
uniform,2,1.0,1.0,1.0,0.9723983134920634,1.0
uniform,3,1.0,1.0,1.0,0.9944890873015875,1.0
fixed,0,1.0,1.0,1.0,0.8925826719576722,1.0
fixed,1,1.0,1.0,1.0,0.9303397817460317,1.0
fixed,2,1.0,1.0,1.0,0.9798040674603175,1.0
fixed,3,1.0,1.0,1.0,0.9893998015873016,1.0
failure_only,0,1.0,1.0,1.0,0.899958664021164,1.0
failure_only,1,1.0,1.0,1.0,0.9339856150793651,1.0
failure_only,2,1.0,1.0,1.0,0.9847792658730159,1.0
failure_only,3,1.0,1.0,1.0,1.0,1.0
td_loss,0,1.0,1.0,1.0,0.8773148148148148,1.0
td_loss,1,1.0,1.0,1.0,0.9303397817460317,1.0
td_loss,2,1.0,1.0,1.0,0.9866443452380952,1.0
td_loss,3,1.0,1.0,1.0,0.9981349206349207,1.0
bgr_uniform_radius,0,1.0,0.994404761904762,1.0,0.8971610449735451,1.0
bgr_uniform_radius,1,1.0,0.994404761904762,1.0,0.9311879960317461,0.994404761904762
bgr_uniform_radius,2,1.0,0.994404761904762,1.0,0.9963120039682541,1.0
bgr_uniform_radius,3,1.0,1.0,1.0,0.9893998015873016,1.0
bgr_coverage,0,1.0,0.983467261904762,1.0,0.8394122023809523,1.0
bgr_coverage,1,1.0,0.994404761904762,1.0,0.9115153769841269,0.994404761904762
bgr_coverage,2,1.0,0.994404761904762,1.0,0.9925818452380953,0.994404761904762
bgr_coverage,3,1.0,0.983467261904762,1.0,0.9917336309523809,1.0
bgr,0,1.0,0.983467261904762,1.0,0.861097056878307,0.994404761904762
bgr,1,1.0,0.983467261904762,1.0,0.9064980158730159,0.983467261904762
bgr,2,1.0,1.0,1.0,0.9822098214285714,1.0
bgr,3,1.0,1.0,1.0,0.992624007936508,1.0
