method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.8050099206349206,0.29999999999999993,0.41487268518518516,0.8050099206349206
uniform,1,0.5,0.4223908730158731,0.9166666666666666,0.3825785383597884,0.6110119047619048
uniform,2,0.8,0.6690376984126983,0.41388888888888886,0.4488434193121693,0.6690376984126983
uniform,3,0.9,0.6996279761904762,0.29999999999999993,0.3032498346560847,0.6996279761904762
fixed,0,0.85,0.7117658730158729,0.3555555555555555,0.30064318783068783,0.7117658730158729
fixed,1,0.65,0.5451140873015873,0.8916666666666666,0.31679067460317456,0.5451140873015873
fixed,2,0.9,0.8350595238095238,1.0,0.4454621362433863,0.8350595238095238
fixed,3,0.7,0.6111755952380953,0.9015432098765431,0.3382895171957672,0.6111755952380953
failure_only,0,1.0,0.8720882936507935,0.44999999999999996,0.40292245370370366,0.8720882936507935
failure_only,1,1.0,0.9347321428571428,1.0,0.4391906415343916,0.9347321428571428
failure_only,2,0.9,0.8864285714285713,1.0,0.2978530092592593,0.8864285714285713
failure_only,3,1.0,0.9363988095238096,1.0,0.38387070105820104,0.9363988095238096
td_loss,0,0.75,0.5989732142857143,0.29999999999999993,0.4034168320105821,0.6161259920634922
td_loss,1,1.0,0.9572619047619048,1.0,0.43160631613756617,0.9572619047619048
td_loss,2,0.55,0.46295138888888887,0.6416666666666666,0.365790343915344,0.813700396825397
td_loss,3,0.95,0.8278720238095237,0.9833333333333333,0.34489666005291003,0.8278720238095237
bgr_uniform_radius,0,0.5,0.4389136904761905,1.0,0.2315749007936508,0.4389136904761905
bgr_uniform_radius,1,0.7,0.5507837301587302,0.5916666666666666,0.44765955687830683,0.5620138888888888
bgr_uniform_radius,2,0.5,0.45497023809523807,1.0,0.28218171296296296,0.45497023809523807
bgr_uniform_radius,3,0.4,0.3683878968253969,1.0,0.3380299272486773,0.41856150793650804
bgr_coverage,0,0.8,0.6469146825396825,0.29999999999999993,0.2927364417989418,0.6469146825396825
bgr_coverage,1,0.75,0.5684375,0.29999999999999993,0.29018353174603173,0.5684375
bgr_coverage,2,0.6,0.5549454365079367,1.0,0.22736441798941803,0.5549454365079367
bgr_coverage,3,0.8,0.6646230158730159,0.37499999999999994,0.2101388888888889,0.6646230158730159
bgr,0,0.55,0.5053571428571428,1.0,0.52005291005291,0.7580853174603174
bgr,1,0.75,0.6004365079365079,0.3555555555555555,0.48049355158730156,0.6004365079365079
bgr,2,0.6,0.496235119047619,0.4111111111111111,0.304631283068783,0.496235119047619
bgr,3,0.45,0.35788194444444443,1.0,0.17325314153439156,0.35788194444444443
