method,seed,probes_per_state,r80_mae,r80_bias,rauc_mae,boundary_hit_rate,mean_uncertainty
coarse,0,17,0.07163094787269896,0.004041831570491915,0.06037592959218774,0.669921875,0.520708313223025
coarse,1,17,0.0689946585311361,-0.0017752503695470526,0.05975316391338038,0.66796875,0.5205807336429202
coarse,2,17,0.07152777716472933,0.006038972930252623,0.05799069605320309,0.646484375,0.5206198848348146
coarse,3,17,0.07172494023460917,-0.0003520134278476106,0.062306590251305194,0.6484375,0.5207317445506364
coarse,4,17,0.0746657729138138,0.009064683406667546,0.05877497983242844,0.634765625,0.5209246541343024
uniform,0,17,0.11210878090010157,0.07070984109140244,0.06512988816921762,0.619140625,0.7071067811865477
uniform,1,17,0.1025915219558283,0.06312599202003155,0.06538176862052639,0.6328125,0.7071067811865477
uniform,2,17,0.10662479856986173,0.05923797777328063,0.06353394292737291,0.6015625,0.7071067811865477
uniform,3,17,0.10239128657309322,0.05891907904944153,0.06480190302303346,0.625,0.7071067811865477
uniform,4,17,0.1042613698498677,0.06550754920363347,0.0644948966670221,0.59765625,0.7071067811865477
active,0,17,0.07748838251606846,0.022535944324332136,0.0674568890686152,0.6875,0.6565878182419038
active,1,17,0.07958384906231412,0.030305710203622493,0.06284164809463814,0.693359375,0.6588229483582054
active,2,17,0.07888188740550152,0.02541662613181487,0.06684907512452438,0.671875,0.6587284881993783
active,3,17,0.07671527763259489,0.023366185761182597,0.0673246712479302,0.67578125,0.6574022895365408
active,4,17,0.08091102119118973,0.027949523273692017,0.06312557368799429,0.68359375,0.6588017160576969
