method,seed,probes_per_state,r80_mae,r80_bias,rauc_mae,boundary_hit_rate,mean_uncertainty
uniform,0,17,0.11210878090010157,0.07070984109140244,0.06512988816921762,0.619140625,0.7071067811865477
uniform,1,17,0.1025915219558283,0.06312599202003155,0.06538176862052639,0.6328125,0.7071067811865477
uniform,2,17,0.10662479856986173,0.05923797777328063,0.06353394292737291,0.6015625,0.7071067811865477
uniform,3,17,0.10239128657309322,0.05891907904944153,0.06480190302303346,0.625,0.7071067811865477
uniform,4,17,0.1042613698498677,0.06550754920363347,0.0644948966670221,0.59765625,0.7071067811865477
uniform,5,17,0.09257797762956094,0.05252754346481963,0.06353625047132601,0.626953125,0.7071067811865477
uniform,6,17,0.10583207962452712,0.06611816403131801,0.06913175345376055,0.5859375,0.7070962380641221
uniform,7,17,0.10304700105119594,0.06313496809323559,0.06376200163527074,0.609375,0.7071067811865477
uniform,8,17,0.12086161021230221,0.07933355350367916,0.06738132353089143,0.55859375,0.7071067811865477
uniform,9,17,0.10670995595801382,0.06006616288978557,0.06585433281981037,0.568359375,0.7071067811865477
uniform,10,17,0.11423767086983055,0.06725447909057955,0.06309382580983688,0.58203125,0.7071067811865477
uniform,11,17,0.1075873915997553,0.0665070734673327,0.06796252937869522,0.609375,0.7071067811865477
uniform,12,17,0.10714504235002274,0.06283234333806646,0.06478012350805636,0.626953125,0.7070962380641221
uniform,13,17,0.09835981391301102,0.054399076770987,0.06664388130869514,0.59375,0.7071067811865477
uniform,14,17,0.11232117588267945,0.0699943641599941,0.06882546661571942,0.572265625,0.7071067811865477
active,0,17,0.07748838251606846,0.022535944324332136,0.0674568890686152,0.6875,0.6565878182419038
active,1,17,0.07958384906231412,0.030305710203622493,0.06284164809463814,0.693359375,0.6588229483582054
active,2,17,0.07888188740550152,0.02541662613181487,0.06684907512452438,0.671875,0.6587284881993783
active,3,17,0.07671527763259489,0.023366185761182597,0.0673246712479302,0.67578125,0.6574022895365408
active,4,17,0.08091102119118973,0.027949523273692017,0.06312557368799429,0.68359375,0.6588017160576969
active,5,17,0.07759245869271209,0.02853595552459742,0.06192490919179782,0.69140625,0.6590472066544264
active,6,17,0.08076319532424558,0.031099589364279857,0.06271451303102774,0.685546875,0.6561203030848861
active,7,17,0.08783135647141788,0.031290845441556685,0.0675832191667694,0.630859375,0.6573719969590174
active,8,17,0.0799374588954689,0.020035889109009334,0.06370860076976864,0.65234375,0.6566497785135852
active,9,17,0.06999686435722367,0.014456280281813151,0.06405689012465016,0.67578125,0.6597578102729799
active,10,17,0.07834954284994503,0.028593254642113458,0.06267764244184064,0.7109375,0.6602456713062488
active,11,17,0.09377162894413299,0.04220266426255276,0.06367305461719394,0.64453125,0.6566069372683255
active,12,17,0.07045383489115928,0.016591270694688947,0.06377564313536936,0.689453125,0.6580817390882095
active,13,17,0.07891660054286717,0.03443586680808756,0.06590204096982064,0.736328125,0.6577857287697446
active,14,17,0.08702274099722436,0.028549691167886092,0.06391946784591736,0.6328125,0.6571453146351769
