seed,replay_index,sigma,trials,successes,recovery
0,0,0.0,8,0,0.0
0,0,0.03,8,0,0.0
0,0,0.06,8,0,0.0
0,0,0.09,8,2,0.25
0,0,0.12,8,0,0.0
0,0,0.15,8,0,0.0
0,1,0.0,8,0,0.0
0,1,0.03,8,0,0.0
0,1,0.06,8,0,0.0
0,1,0.09,8,1,0.125
0,1,0.12,8,0,0.0
0,1,0.15,8,1,0.125
0,2,0.0,8,8,1.0
0,2,0.03,8,8,1.0
0,2,0.06,8,8,1.0
0,2,0.09,8,3,0.375
0,2,0.12,8,4,0.5
0,2,0.15,8,1,0.125
0,3,0.0,8,8,1.0
0,3,0.03,8,8,1.0
0,3,0.06,8,0,0.0
0,3,0.09,8,1,0.125
0,3,0.12,8,0,0.0
0,3,0.15,8,0,0.0
1,0,0.0,8,0,0.0
1,0,0.03,8,0,0.0
1,0,0.06,8,0,0.0
1,0,0.09,8,2,0.25
1,0,0.12,8,0,0.0
1,0,0.15,8,1,0.125
1,1,0.0,8,0,0.0
1,1,0.03,8,0,0.0
1,1,0.06,8,1,0.125
1,1,0.09,8,0,0.0
1,1,0.12,8,0,0.0
1,1,0.15,8,0,0.0
1,2,0.0,8,0,0.0
1,2,0.03,8,1,0.125
1,2,0.06,8,2,0.25
1,2,0.09,8,0,0.0
1,2,0.12,8,0,0.0
1,2,0.15,8,2,0.25
1,3,0.0,8,8,1.0
1,3,0.03,8,6,0.75
1,3,0.06,8,0,0.0
1,3,0.09,8,1,0.125
1,3,0.12,8,0,0.0
1,3,0.15,8,1,0.125
