method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.6,0.093,0.41875,0.6
uniform,1,1.0,0.9750000000000001,0.15,0.51875,0.9750000000000001
uniform,2,0.75,0.4,0.108,0.175,0.4
uniform,3,1.0,0.75,0.123,0.5,0.75
fixed,0,1.0,0.6,0.093,0.43125,0.6
fixed,1,1.0,0.7,0.123,0.425,0.7
fixed,2,0.75,0.55,0.123,0.225,0.55
fixed,3,1.0,0.7250000000000001,0.111,0.48125,0.7250000000000001
failure_only,0,1.0,0.775,0.15,0.4875,0.775
failure_only,1,1.0,0.9750000000000001,0.15,0.58125,0.9750000000000001
failure_only,2,1.0,0.575,0.066,0.23125,0.575
failure_only,3,1.0,0.9750000000000001,0.15,0.55625,0.9750000000000001
td_loss,0,1.0,0.775,0.15,0.6,0.775
td_loss,1,1.0,1.0,0.15,0.775,1.0
td_loss,2,1.0,1.0,0.15,0.75,1.0
td_loss,3,1.0,1.0,0.15,0.8,1.0
bgr_uniform_radius,0,0.5,0.275,0.15,0.2125,0.275
bgr_uniform_radius,1,0.75,0.6000000000000001,0.138,0.4,0.6000000000000001
bgr_uniform_radius,2,1.0,0.525,0.066,0.19375,0.525
bgr_uniform_radius,3,0.75,0.675,0.15,0.45625,0.675
bgr_coverage,0,0.5,0.275,0.15,0.2125,0.275
bgr_coverage,1,0.75,0.5,0.123,0.3375,0.5
bgr_coverage,2,0.75,0.45,0.108,0.2,0.45
bgr_coverage,3,1.0,0.625,0.096,0.45625,0.625
bgr,0,0.75,0.3,0.078,0.21875,0.3
bgr,1,0.75,0.6000000000000001,0.138,0.375,0.6000000000000001
bgr,2,0.75,0.4,0.108,0.1875,0.4
bgr,3,0.75,0.47500000000000003,0.111,0.33125,0.47500000000000003
