method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.775,0.15,0.6,0.775
uniform,1,1.0,1.0,0.15,0.775,1.0
uniform,2,1.0,1.0,0.15,0.7375,1.0
uniform,3,1.0,1.0,0.15,0.8,1.0
fixed,0,1.0,0.775,0.15,0.6,0.775
fixed,1,1.0,1.0,0.15,0.775,1.0
fixed,2,1.0,1.0,0.15,0.75,1.0
fixed,3,1.0,1.0,0.15,0.8,1.0
failure_only,0,1.0,0.825,0.15,0.6125,0.825
failure_only,1,1.0,1.0,0.15,0.775,1.0
failure_only,2,1.0,1.0,0.15,0.7375,1.0
failure_only,3,1.0,1.0,0.15,0.8,1.0
td_loss,0,1.0,0.775,0.15,0.6,0.775
td_loss,1,1.0,1.0,0.15,0.775,1.0
td_loss,2,1.0,0.9750000000000001,0.15,0.7312500000000002,0.9750000000000001
td_loss,3,1.0,1.0,0.15,0.8,1.0
bgr_uniform_radius,0,1.0,0.775,0.15,0.5,0.775
bgr_uniform_radius,1,1.0,0.875,0.15,0.63125,0.875
bgr_uniform_radius,2,1.0,0.9750000000000001,0.15,0.74375,1.0
bgr_uniform_radius,3,1.0,1.0,0.15,0.7125,1.0
bgr_coverage,0,1.0,0.775,0.15,0.3625,0.775
bgr_coverage,1,1.0,0.825,0.15,0.60625,0.825
bgr_coverage,2,1.0,1.0,0.15,0.75,1.0
bgr_coverage,3,1.0,1.0,0.15,0.7125,1.0
bgr,0,1.0,0.775,0.15,0.5125,0.775
bgr,1,1.0,0.825,0.15,0.60625,0.825
bgr,2,1.0,0.9750000000000001,0.15,0.74375,1.0
bgr,3,1.0,1.0,0.15,0.675,1.0
