method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.9642857142857143,0.9541738395533039,1.0,0.7352005284831736,0.9541738395533039
uniform,1,1.0,0.993866438620903,1.0,0.7050733299128946,0.993866438620903
uniform,2,1.0,0.9748110892084106,1.0,0.7327068330974582,0.9748110892084106
uniform,3,1.0,0.9881040958049887,1.0,0.7658030895196074,0.9881040958049887
fixed,0,1.0,0.9908769615800865,1.0,0.759048020431949,0.9908769615800865
fixed,1,1.0,0.9956154336734694,1.0,0.7390623304337032,0.9956154336734694
fixed,2,0.9642857142857143,0.9889112004067362,1.0,0.7352990526958161,0.9889112004067362
fixed,3,0.9642857142857143,0.9845266340802057,1.0,0.7625845895795674,0.9845266340802057
failure_only,0,1.0,1.0,1.0,0.87352602831816,1.0
failure_only,1,1.0,0.9976482780612245,1.0,0.8358046885530145,1.0
failure_only,2,1.0,1.0,1.0,0.8380156936937071,1.0
failure_only,3,1.0,1.0,1.0,0.7970986819480123,1.0
td_loss,0,1.0,1.0,1.0,0.805826599151097,1.0
td_loss,1,1.0,0.9930865575396826,1.0,0.7763309080552384,0.9930865575396826
td_loss,2,1.0,0.9949776785714286,1.0,0.796717044736018,0.9949776785714286
td_loss,3,1.0,0.9949776785714286,1.0,0.7721818096957606,0.9949776785714286
bgr_uniform_radius,0,1.0,0.9711104991238918,1.0,0.7986288629215526,0.9711104991238918
bgr_uniform_radius,1,0.9642857142857143,0.9593534193980622,1.0,0.7123800299093267,0.9593534193980622
bgr_uniform_radius,2,1.0,0.9793397946299731,1.0,0.7266337426214657,0.9793397946299731
bgr_uniform_radius,3,1.0,0.9887285643424036,1.0,0.7044174072145613,0.9887285643424036
bgr_coverage,0,1.0,0.9759291737528343,1.0,0.7982407442507888,0.9759291737528343
bgr_coverage,1,1.0,0.9353160170682492,0.825,0.715822924904956,0.9353160170682492
bgr_coverage,2,1.0,0.9910537131519275,1.0,0.7030005925374228,0.9910537131519275
bgr_coverage,3,1.0,0.9756013579674294,1.0,0.6872616625685822,0.9756013579674294
bgr,0,1.0,0.9976482780612245,1.0,0.7824911540592345,0.9976482780612245
bgr,1,0.9642857142857143,0.959379992527314,1.0,0.6514785677801861,0.959379992527314
bgr,2,1.0,0.960112766697588,1.0,0.6810023728131986,0.960112766697588
bgr,3,1.0,0.9514640988971346,1.0,0.6780150637433005,0.9814519557823129
