method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.9922839506172839,1.0,0.8784722222222222,0.9922839506172839
uniform,1,1.0,0.9822530864197532,1.0,0.8685699588477366,0.9837962962962963
uniform,2,1.0,0.9876543209876544,1.0,0.8764146090534979,0.9876543209876544
fixed,0,1.0,0.9853395061728395,1.0,0.8837448559670784,0.9907407407407407
fixed,1,1.0,0.988425925925926,1.0,0.8713991769547327,0.988425925925926
fixed,2,1.0,0.9830246913580246,1.0,0.880272633744856,0.9830246913580246
failure_only,0,1.0,0.9953703703703705,1.0,0.8831018518518519,0.9953703703703705
failure_only,1,1.0,0.9915123456790123,1.0,0.8768004115226338,0.9915123456790123
failure_only,2,1.0,0.9915123456790123,1.0,0.875514403292181,0.9915123456790123
plr_loss,0,1.0,0.9953703703703705,1.0,0.8851594650205761,0.9953703703703705
plr_loss,1,1.0,0.9969135802469135,1.0,0.880787037037037,0.9969135802469135
plr_loss,2,1.0,0.988425925925926,1.0,0.8770576131687243,0.988425925925926
bgr,0,0.9444444444444444,0.9413580246913581,1.0,0.7609310699588478,0.9413580246913581
bgr,1,0.9629629629629629,0.9205246913580246,1.0,0.7741769547325102,0.9205246913580246
bgr,2,0.9537037037037036,0.9104938271604939,0.9333333333333332,0.7462705761316872,0.9104938271604939
