method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8985375271260447,0.3963889033762574,0.33198601213104867,0.31378355856868667,0.3963889033762574
uniform,1,0.8943460875896007,0.3963557986701493,0.3290356589499679,0.31115049390412525,0.3963557986701493
uniform,2,0.8969079928846045,0.39649801726336953,0.33186749943550486,0.3134135528178421,0.39649801726336953
uniform,3,0.8932133777474036,0.39834081383541126,0.3320320573176955,0.31628766202274433,0.39834081383541126
uniform,4,0.9012584240993871,0.40178554711273906,0.33630712029912013,0.3180518751060598,0.40178554711273906
bgr,0,0.9509545843930017,0.4332402230129616,0.34097236909938955,0.35217815501707916,0.4332402230129616
bgr,1,0.944771758284687,0.4342801094886023,0.3430655247917094,0.35100019579225755,0.4342801094886023
bgr,2,0.9494165133437191,0.43391140872362494,0.3381938364303523,0.3529784521075929,0.43391140872362494
bgr,3,0.941520414460285,0.4377715637446681,0.3509381254626842,0.35741742498578705,0.4377715637446681
bgr,4,0.9502158352492794,0.4359323779626976,0.34769055585715236,0.3552465872913795,0.4359323779626976
bgr_no_uncertainty,0,0.9486217150330485,0.4344133233433256,0.33944612670108587,0.35268844124800114,0.4344133233433256
bgr_no_uncertainty,1,0.9449981757782596,0.43498807842148984,0.345603236327126,0.3514926415819548,0.43498807842148984
bgr_no_uncertainty,2,0.9484593512340843,0.43546840045728935,0.34097844449239667,0.3539116946207253,0.43546840045728935
bgr_no_uncertainty,3,0.9418255985662477,0.43735656226524916,0.34502416853466294,0.35703735087241995,0.43735656226524916
bgr_no_uncertainty,4,0.9498387333292342,0.435713754476431,0.3436924740458225,0.35517226860131196,0.435713754476431
bgr_no_sharpness,0,0.9511976502688185,0.43409983593942336,0.34019510233841577,0.352773491981348,0.43409983593942336
bgr_no_sharpness,1,0.9456684482879244,0.43372775774961897,0.34442020776144106,0.3510426450377433,0.43372775774961897
bgr_no_sharpness,2,0.9498030671513719,0.4348820947607289,0.3395513603859728,0.3532028185499426,0.4348820947607289
bgr_no_sharpness,3,0.9420250981659755,0.4375314918147515,0.35164851452287305,0.3572463057595577,0.4375314918147515
bgr_no_sharpness,4,0.9506373145195245,0.4372652784687849,0.34882998686552413,0.3552958906483936,0.4372652784687849
bgr_uniform_radius,0,0.8951213092660849,0.38526006743477786,0.3214692297374464,0.3070204231778192,0.38526006743477786
bgr_uniform_radius,1,0.8927818217718273,0.38185226084226637,0.32035267453720706,0.3023887970650405,0.38185226084226637
bgr_uniform_radius,2,0.8934438595747369,0.3840121310821212,0.32207490022968455,0.3060103954348554,0.3840121310821212
bgr_uniform_radius,3,0.8911210405215849,0.3858288050655709,0.32650177986990647,0.30956770041025683,0.3858288050655709
bgr_uniform_radius,4,0.8968269308561087,0.38578972279759527,0.32697196921126,0.3090590218319073,0.38578972279759527
