method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8985375271260447,0.3963889033762574,0.33198601213104867,0.31378355856868667,0.3963889033762574
uniform,1,0.8943460875896007,0.3963557986701493,0.3290356589499679,0.3111504939041253,0.3963557986701493
uniform,2,0.8969079928846045,0.39649801726336953,0.33186749943550486,0.3134135528178421,0.39649801726336953
uniform,3,0.8932133777474036,0.39834081383541126,0.3320320573176955,0.31628766202274433,0.39834081383541126
uniform,4,0.9012584240993871,0.40178554711273906,0.33630712029912013,0.3180518751060598,0.40178554711273906
uniform,5,0.8910782894246454,0.3973563294699581,0.33232031527666755,0.31460337774416924,0.3973563294699581
uniform,6,0.8956752909792044,0.39791491343395363,0.3345098244048248,0.31436238744078954,0.39791491343395363
uniform,7,0.8936510163717837,0.3929924437730043,0.3272900432200891,0.30982269831292114,0.3929924437730043
uniform,8,0.8937728588446205,0.39447685904640234,0.3304680318205042,0.30983062010594775,0.39447685904640234
uniform,9,0.8942529678924841,0.39571458285578287,0.3336410316581607,0.3127574155317131,0.39571458285578287
uniform,10,0.891528628617166,0.3952310803681314,0.33160188784750816,0.31085843196982343,0.3952310803681314
uniform,11,0.8917651365093479,0.3957350729312162,0.3354762184368888,0.3140437235056352,0.3957350729312162
uniform,12,0.8918880029193951,0.3963323710431639,0.3326031085028357,0.31350760296930674,0.3963323710431639
uniform,13,0.8919617077545646,0.39329086196589874,0.3272075966556298,0.31127233659246856,0.39329086196589874
uniform,14,0.8944533980942354,0.39350254780301047,0.3313005954073739,0.30979282514184653,0.39350254780301047
fixed,0,0.7979438397862272,0.21073443058674526,0.1357469920759094,0.21379373441401797,0.2168581466261583
fixed,1,0.7908030805594535,0.20533098258079907,0.13040861264030346,0.20835667108422556,0.21138405815493633
fixed,2,0.7967822721459553,0.20918998754028453,0.13430279291129793,0.21225621457001898,0.21531497892875595
fixed,3,0.7996443091537837,0.214699995393032,0.1393966824169952,0.21781192652600714,0.22092261015031953
fixed,4,0.8055627186438509,0.2134932508970993,0.1373129131629734,0.21658861057216816,0.21968505486570208
fixed,5,0.7914271395311592,0.2108724227963108,0.14036518548799612,0.21395530413607106,0.217036095829194
fixed,6,0.7950626652675767,0.21165019939446947,0.14088842374185356,0.21471009383349687,0.2177702847003113
fixed,7,0.7940802025174176,0.2071431158640858,0.13000489433564516,0.21019909975798717,0.21326874365587253
fixed,8,0.7917425612987816,0.20494758364433377,0.1304034986827997,0.20798427972630365,0.21101659439609624
fixed,9,0.7904551772458274,0.20869723509318036,0.13570113605560924,0.21172963958089092,0.214767007248224
fixed,10,0.7919432986280649,0.20574341272644622,0.13441401313922924,0.2087860600573608,0.21182768429486892
fixed,11,0.7949022113907593,0.21034858699978723,0.13824366991995965,0.2134052133833244,0.2164565096652703
fixed,12,0.7954234702014714,0.20992531145179036,0.1384793950012933,0.21300961581720987,0.21608305771968744
fixed,13,0.7909801791050255,0.20960575021409064,0.1404263597042564,0.21266738732030718,0.21577341385041832
fixed,14,0.7914378564177157,0.20806068944091444,0.13048808355957378,0.21108517006769667,0.21410892988657132
failure_only,0,0.848412633028794,0.2910649354234271,0.22791309930368814,0.2550478537653422,0.2910649354234271
failure_only,1,0.8440892608547409,0.287313705676277,0.22625305289714315,0.2499114760071303,0.287313705676277
failure_only,2,0.8470862826082874,0.2906173249860898,0.22629552366928252,0.2536922659523149,0.2906173249860898
failure_only,3,0.8460432637480677,0.29601630535426926,0.2326391528456142,0.25906699893929164,0.29601630535426926
failure_only,4,0.8520187627887784,0.2943976746518147,0.23226810659831304,0.2569665626947746,0.2943976746518147
failure_only,5,0.8415141396219022,0.29204502044457664,0.23184310669123337,0.25505476895739443,0.29204502044457664
failure_only,6,0.8471356542745238,0.29395118587738983,0.23451536166845466,0.2566668269846883,0.29395118587738983
failure_only,7,0.844000828945832,0.28670704870251484,0.22657998111989958,0.24967845020235344,0.28670704870251484
failure_only,8,0.8457632052362365,0.2896435005439786,0.2272640304243133,0.25115528671343706,0.2896435005439786
failure_only,9,0.8453262124711859,0.2910125930816961,0.23698704436605955,0.25319445901871346,0.2910125930816961
failure_only,10,0.8427046386576592,0.28827217003952266,0.23295194600034885,0.2504368001960957,0.28827217003952266
failure_only,11,0.84365509216255,0.2920716215031272,0.23406130484743026,0.2546494867239586,0.2920716215031272
failure_only,12,0.842791653676942,0.28981841905342937,0.23115217636123497,0.2532729087635712,0.28981841905342937
failure_only,13,0.8427104099248759,0.28995740997070285,0.2318233297250944,0.2531837076026171,0.28995740997070285
failure_only,14,0.8467291921624022,0.2916922526844963,0.22859697613795718,0.2539991012080939,0.2916922526844963
plr_loss,0,0.8005263319923701,0.2118122681444741,0.1366117269764675,0.21400087842560936,0.2168581466261583
plr_loss,1,0.7935653072546794,0.2060414384711152,0.13208047599342837,0.20836614091952768,0.21138405815493633
plr_loss,2,0.8007514411336585,0.21049049328840688,0.13656275976956173,0.21253597841266264,0.21531497892875595
plr_loss,3,0.8016338965610149,0.21548091523259838,0.14014580340236343,0.2178101086397672,0.22092261015031953
plr_loss,4,0.8075207050950741,0.2144853124678914,0.1380890531947766,0.21678523465246846,0.21968505486570208
plr_loss,5,0.7952605499076781,0.21260182889429352,0.1407675439401084,0.2143890900955497,0.217036095829194
plr_loss,6,0.7976569314670201,0.2124516589420606,0.14210581786625737,0.21469678816664778,0.2177702847003113
plr_loss,7,0.7977552705202824,0.20861806476092973,0.13070641042097297,0.21056781952448106,0.21326874365587253
plr_loss,8,0.7948246392589324,0.205739225997472,0.13201373139034234,0.20796437871510456,0.21101659439609624
plr_loss,9,0.7945114756749503,0.21044031985822803,0.1364565831646985,0.21221938485881872,0.214767007248224
plr_loss,10,0.7932071786185277,0.20649817389359712,0.13560968167612303,0.2088451116944022,0.21182768429486892
plr_loss,11,0.7984667254072565,0.21181313035433774,0.13859070526514897,0.21376627422623665,0.2164565096652703
plr_loss,12,0.7986042209818054,0.21168002713417933,0.1401897148538501,0.21351133090903124,0.21608305771968744
