method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8985375271260447,0.3963889033762574,0.33198601213104867,0.31378355856868667,0.3963889033762574
uniform,1,0.8943460875896007,0.3963557986701493,0.3290356589499679,0.31115049390412525,0.3963557986701493
uniform,2,0.8969079928846045,0.39649801726336953,0.33186749943550486,0.3134135528178421,0.39649801726336953
uniform,3,0.8932133777474036,0.39834081383541126,0.3320320573176955,0.31628766202274433,0.39834081383541126
uniform,4,0.9012584240993871,0.40178554711273906,0.33630712029912013,0.3180518751060598,0.40178554711273906
fixed,0,0.7979438397862272,0.21073443058674526,0.1357469920759094,0.21379373441401797,0.2168581466261583
fixed,1,0.7908030805594535,0.20533098258079907,0.13040861264030346,0.20835667108422556,0.21138405815493627
fixed,2,0.7967822721459553,0.20918998754028453,0.13430279291129793,0.21225621457001903,0.21531497892875595
fixed,3,0.7996443091537837,0.214699995393032,0.1393966824169952,0.21781192652600714,0.22092261015031953
fixed,4,0.8055627186438509,0.2134932508970993,0.13731291316297334,0.21658861057216816,0.21968505486570208
failure_only,0,0.848412633028794,0.2910649354234271,0.22791309930368817,0.2550478537653422,0.2910649354234271
failure_only,1,0.8440892608547409,0.287313705676277,0.22625305289714318,0.2499114760071303,0.287313705676277
failure_only,2,0.8470862826082872,0.2906173249860898,0.22629552366928252,0.2536922659523149,0.2906173249860898
failure_only,3,0.8460432637480677,0.29601630535426926,0.2326391528456142,0.25906699893929164,0.29601630535426926
failure_only,4,0.8520187627887784,0.2943976746518147,0.23226810659831304,0.2569665626947746,0.2943976746518147
plr_loss,0,0.8005263319923701,0.2118122681444741,0.1366117269764675,0.21400087842560936,0.2168581466261583
plr_loss,1,0.7935653072546794,0.2060414384711152,0.13208047599342837,0.20836614091952763,0.21138405815493627
plr_loss,2,0.8007514411336585,0.21049049328840688,0.13656275976956173,0.21253597841266264,0.21531497892875595
plr_loss,3,0.8016338965610149,0.21548091523259838,0.14014580340236343,0.2178101086397672,0.22092261015031953
plr_loss,4,0.8075207050950742,0.2144853124678914,0.1380890531947766,0.21678523465246846,0.21968505486570208
bgr,0,0.9509545843930017,0.4332402230129616,0.34097236909938955,0.35217815501707916,0.4332402230129616
bgr,1,0.944771758284687,0.4342801094886023,0.3430655247917094,0.35100019579225755,0.4342801094886023
bgr,2,0.9494165133437191,0.43391140872362494,0.3381938364303523,0.3529784521075929,0.43391140872362494
bgr,3,0.941520414460285,0.4377715637446681,0.3509381254626842,0.35741742498578705,0.4377715637446681
bgr,4,0.9502158352492794,0.4359323779626976,0.34769055585715236,0.3552465872913795,0.4359323779626976
