scenario,seed,attempted_samples,accepted_samples,accepted_fraction,true_valid_accept_rate,invalid_accept_rate,boundary_hit_accept_rate,true_boundary_recall,mean_abs_boundary_error,clean,rauc,median_r80
exact,0,8640,8634,0.9993055555555556,1.0,0.0,0.6819550613852212,1.0,0.06713697355360163,0.8235085987812095,0.2168581466261583,0.13567799205731898
exact,1,8640,8638,0.9997685185185186,1.0,0.0,0.6952998379254457,1.0,0.06487606750280785,0.8166062605043111,0.21138405815493633,0.1303386952916626
exact,2,8640,8636,0.999537037037037,1.0,0.0,0.6853867531264475,1.0,0.06539857419486513,0.8224524960448769,0.21531497892875595,0.1342491309212696
exact,3,8640,8639,0.9998842592592593,1.0,0.0,0.6647760157425628,1.0,0.06783732676444335,0.8251272322151327,0.22092261015031953,0.1393438698305997
exact,4,8640,8637,0.9996527777777777,1.0,0.0,0.6687507236308904,1.0,0.06791516418837748,0.8312112581614072,0.21968505486570208,0.13723275229017307
exact,5,8640,8636,0.999537037037037,1.0,0.0,0.6775127373784159,1.0,0.06694691092311751,0.8169105601684311,0.217036095829194,0.1402921192522012
exact,6,8640,8639,0.9998842592592593,1.0,0.0,0.6864220395879153,1.0,0.0660274257063191,0.8205535056456341,0.2177702847003113,0.14080089122699113
exact,7,8640,8639,0.9998842592592593,1.0,0.0,0.6852644982058108,1.0,0.06540603661181636,0.8198879832128239,0.21326874365587253,0.12995056182418363
exact,8,8640,8640,1.0,1.0,0.0,0.6912037037037037,1.0,0.06517886274180387,0.817595282463813,0.21101659439609624,0.1303532716798291
exact,9,8640,8640,1.0,1.0,0.0,0.6891203703703703,1.0,0.06614705986464786,0.8159363306386347,0.214767007248224,0.13564801148036426
exact,10,8640,8639,0.9998842592592593,1.0,0.0,0.6807500868156037,1.0,0.0664569525794916,0.8177722215559847,0.21182768429486892,0.13433889704098118
exact,11,8640,8639,0.9998842592592593,1.0,0.0,0.6780877416367636,1.0,0.06718531545215162,0.8205736444199782,0.2164565096652703,0.13816417838396156
exact,12,8640,8638,0.9997685185185186,1.0,0.0,0.6821023385042834,1.0,0.06640364629144764,0.8211051240711564,0.21608305771968744,0.13842362704092706
exact,13,8640,8638,0.9997685185185186,1.0,0.0,0.6870803426719148,1.0,0.06631168404936756,0.8165203419233047,0.21577341385041832,0.14037985862415503
