method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.9947916666666666,0.9700520833333334,1.0,0.7779676649305557,0.9700520833333334
uniform,1,0.9973958333333334,0.962890625,0.9666666666666666,0.792697482638889,0.962890625
uniform,2,0.9973958333333334,0.9594184027777778,0.9833333333333333,0.7805989583333335,0.9594184027777778
fixed,0,0.9973958333333334,0.9809027777777777,1.0,0.7910970052083333,0.9809027777777777
fixed,1,0.9869791666666666,0.978298611111111,1.0,0.8127983940972223,0.978298611111111
fixed,2,0.9947916666666666,0.9720052083333334,1.0,0.7959526909722221,0.9720052083333334
plr_loss,0,1.0,0.9815538194444445,1.0,0.7987196180555556,0.9815538194444445
plr_loss,1,0.9973958333333334,0.9776475694444443,1.0,0.7921006944444444,0.9776475694444443
plr_loss,2,1.0,0.9765625,1.0,0.7970648871527779,0.9765625
bgr,0,0.9088541666666666,0.88671875,0.7999999999999999,0.6394585503472221,0.88671875
bgr,1,0.921875,0.8828125,0.7999999999999999,0.6534016927083335,0.8828125
bgr,2,0.8854166666666666,0.849609375,0.7999999999999999,0.6416015624999999,0.849609375
bgr_mixed,0,0.9661458333333334,0.916015625,0.7999999999999999,0.6836480034722223,0.916015625
bgr_mixed,1,0.953125,0.9136284722222223,0.9333333333333332,0.6912163628472223,0.9136284722222223
bgr_mixed,2,0.9583333333333334,0.9055989583333334,0.9666666666666666,0.6993272569444443,0.9055989583333334
