method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.9947916666666666,0.9700520833333334,1.0,0.7779676649305557,0.9700520833333334
uniform,1,0.9973958333333334,0.962890625,0.9666666666666666,0.792697482638889,0.962890625
uniform,2,0.9973958333333334,0.9594184027777778,0.9833333333333333,0.7805989583333335,0.9594184027777778
fixed,0,0.9973958333333334,0.9809027777777777,1.0,0.7910970052083333,0.9809027777777777
fixed,1,0.9869791666666666,0.978298611111111,1.0,0.8127983940972223,0.978298611111111
fixed,2,0.9947916666666666,0.9720052083333334,1.0,0.7959526909722221,0.9720052083333334
plr_loss,0,1.0,0.9815538194444445,1.0,0.7987196180555556,0.9815538194444445
plr_loss,1,0.9973958333333334,0.9776475694444443,1.0,0.7921006944444444,0.9776475694444443
plr_loss,2,1.0,0.9765625,1.0,0.7970648871527779,0.9765625
bgr,0,0.7317708333333334,0.681640625,0.7416666666666666,0.5243055555555556,0.681640625
bgr,1,0.7578125,0.7131076388888888,0.7999999999999999,0.5579698350694444,0.7131076388888888
bgr,2,0.7838541666666666,0.7339409722222223,0.7333333333333333,0.5595974392361112,0.7339409722222223
