seed,sigma,success,crashed,on_road,steps
0,0.0,1,0,1,40
0,1.0,1,0,1,40
0,2.0,1,0,1,40
0,3.0,0,1,1,13
0,4.0,0,1,1,13
0,5.0,0,1,1,14
0,6.0,0,1,1,14
1,0.0,1,0,1,40
1,1.0,1,0,1,40
1,2.0,1,0,1,40
1,3.0,1,0,1,40
1,4.0,1,0,1,40
1,5.0,1,0,1,40
1,6.0,1,0,1,40
2,0.0,1,0,1,40
2,1.0,1,0,1,40
2,2.0,1,0,1,40
2,3.0,1,0,1,40
2,4.0,1,0,1,40
2,5.0,1,0,1,40
2,6.0,1,0,1,40
3,0.0,1,0,1,40
3,1.0,1,0,1,40
3,2.0,1,0,1,40
3,3.0,1,0,1,40
3,4.0,1,0,1,40
3,5.0,1,0,1,40
3,6.0,1,0,1,40
4,0.0,0,1,1,34
4,1.0,0,1,1,34
4,2.0,0,1,1,34
4,3.0,0,1,1,35
4,4.0,0,1,1,35
4,5.0,0,1,1,35
4,6.0,0,1,1,35
5,0.0,0,1,1,29
5,1.0,0,1,1,29
5,2.0,0,1,1,29
5,3.0,0,1,1,29
5,4.0,0,1,1,30
5,5.0,0,1,1,30
5,6.0,0,1,1,30
6,0.0,1,0,1,40
6,1.0,1,0,1,40
6,2.0,1,0,1,40
6,3.0,1,0,1,40
6,4.0,1,0,1,40
6,5.0,1,0,1,40
6,6.0,1,0,1,40
7,0.0,1,0,1,40
7,1.0,1,0,1,40
7,2.0,1,0,1,40
7,3.0,1,0,1,40
7,4.0,1,0,1,40
7,5.0,1,0,1,40
7,6.0,1,0,1,40
8,0.0,1,0,1,40
8,1.0,1,0,1,40
8,2.0,1,0,1,40
8,3.0,1,0,1,40
8,4.0,1,0,1,40
8,5.0,1,0,1,40
8,6.0,1,0,1,40
9,0.0,1,0,1,40
9,1.0,1,0,1,40
9,2.0,1,0,1,40
9,3.0,1,0,1,40
9,4.0,1,0,1,40
9,5.0,1,0,1,40
9,6.0,1,0,1,40
10,0.0,0,1,1,31
10,1.0,0,1,1,31
10,2.0,0,1,1,31
10,3.0,0,1,1,31
10,4.0,0,1,1,32
10,5.0,0,1,1,32
10,6.0,0,1,1,32
11,0.0,0,1,1,28
11,1.0,0,1,1,28
11,2.0,0,1,1,28
11,3.0,0,1,1,28
11,4.0,0,1,1,28
11,5.0,0,1,1,28
11,6.0,0,1,1,29
