seed,sigma,success,crashed,steps
0,0.0,0,1,24
0,1.0,0,1,26
0,2.0,0,1,29
0,3.0,0,1,39
0,4.0,0,0,80
0,5.0,0,1,59
0,6.0,0,1,57
0,8.0,0,1,42
0,10.0,0,1,19
1,0.0,1,0,24
1,1.0,1,0,15
1,2.0,1,0,14
1,3.0,1,0,14
1,4.0,1,0,15
1,5.0,1,0,15
1,6.0,1,0,15
1,8.0,1,0,16
1,10.0,1,0,17
2,0.0,0,1,19
2,1.0,0,1,19
2,2.0,0,1,19
2,3.0,0,1,18
2,4.0,0,1,18
2,5.0,0,1,18
2,6.0,0,1,39
2,8.0,1,0,39
2,10.0,1,0,37
3,0.0,0,1,31
3,1.0,0,1,35
3,2.0,1,0,41
3,3.0,1,0,43
3,4.0,0,0,80
3,5.0,1,0,53
3,6.0,1,0,52
3,8.0,0,0,80
3,10.0,0,1,23
4,0.0,0,1,18
4,1.0,0,1,18
4,2.0,0,1,18
4,3.0,1,0,16
4,4.0,1,0,16
4,5.0,1,0,25
4,6.0,1,0,33
4,8.0,1,1,43
4,10.0,0,1,52
5,0.0,0,1,31
5,1.0,0,1,25
5,2.0,0,1,22
5,3.0,0,1,21
5,4.0,0,1,19
5,5.0,0,1,18
5,6.0,0,1,19
5,8.0,1,0,74
5,10.0,0,0,80
6,0.0,0,0,80
6,1.0,0,0,80
6,2.0,0,0,80
6,3.0,0,0,80
6,4.0,0,0,80
6,5.0,0,0,80
6,6.0,0,0,80
6,8.0,0,1,24
6,10.0,0,1,24
7,0.0,0,1,17
7,1.0,0,1,17
7,2.0,0,1,17
7,3.0,0,1,16
7,4.0,0,1,16
7,5.0,0,1,16
7,6.0,0,1,16
7,8.0,0,1,16
7,10.0,0,1,16
8,0.0,1,0,13
8,1.0,1,0,12
8,2.0,1,0,12
8,3.0,1,0,11
8,4.0,1,0,11
8,5.0,1,0,12
8,6.0,1,0,12
8,8.0,1,0,25
8,10.0,0,1,31
9,0.0,0,1,20
9,1.0,0,1,20
9,2.0,0,1,20
9,3.0,0,1,21
9,4.0,0,1,21
9,5.0,0,1,21
9,6.0,0,1,22
9,8.0,0,1,22
9,10.0,0,1,23
10,0.0,1,0,22
10,1.0,1,0,37
10,2.0,1,0,36
10,3.0,1,0,38
10,4.0,0,1,42
10,5.0,0,1,47
10,6.0,0,1,53
10,8.0,0,1,59
10,10.0,1,0,52
11,0.0,1,0,38
11,1.0,1,0,29
11,2.0,1,0,27
11,3.0,1,0,22
11,4.0,1,0,20
11,5.0,1,0,16
11,6.0,0,1,15
11,8.0,0,1,14
11,10.0,0,1,15
