method,seed,step,clean,rauc,median_r80
uniform,0,0.0,1.0,0.26851851851851855,0.13
uniform,0,20.0,0.0,0.0,0.9
uniform,0,40.0,0.0,0.0,0.9
uniform,0,60.0,0.0,0.0,0.9
uniform,0,80.0,0.08333333333333333,0.013888888888888888,0.9
uniform,1,0.0,1.0,0.2824074074074074,0.14
uniform,1,20.0,0.0,0.0,0.9
uniform,1,40.0,0.0,0.0,0.9
uniform,1,60.0,0.0,0.0,0.9
uniform,1,80.0,0.0,0.0,0.9
uniform,2,0.0,1.0,0.26851851851851855,0.13
uniform,2,20.0,0.0,0.0,0.9
uniform,2,40.0,0.0,0.0,0.9
uniform,2,60.0,0.0,0.0,0.9
uniform,2,80.0,0.0,0.0,0.9
uniform,3,0.0,1.0,0.2638888888888889,0.14
uniform,3,20.0,0.0,0.0,0.9
uniform,3,40.0,0.0,0.0,0.9
uniform,3,60.0,0.0,0.0,0.9
uniform,3,80.0,0.0,0.0,0.9
fixed,0,0.0,1.0,0.26851851851851855,0.13
fixed,0,20.0,0.0,0.0,0.9
fixed,0,40.0,0.0,0.0,0.9
fixed,0,60.0,0.0,0.0,0.9
fixed,0,80.0,0.0,0.0,0.9
fixed,1,0.0,1.0,0.2824074074074074,0.14
fixed,1,20.0,0.0,0.0,0.9
fixed,1,40.0,0.0,0.0,0.9
fixed,1,60.0,0.0,0.0,0.9
fixed,1,80.0,0.0,0.0,0.9
fixed,2,0.0,1.0,0.26851851851851855,0.13
fixed,2,20.0,0.0,0.0,0.9
fixed,2,40.0,0.0,0.0,0.9
fixed,2,60.0,0.0,0.0,0.9
fixed,2,80.0,0.0,0.0,0.9
fixed,3,0.0,1.0,0.2638888888888889,0.14
fixed,3,20.0,0.0,0.0,0.9
fixed,3,40.0,0.0,0.0,0.9
fixed,3,60.0,0.0,0.0,0.9
fixed,3,80.0,0.0,0.0,0.9
failure_only,0,0.0,1.0,0.26851851851851855,0.13
failure_only,0,20.0,0.0,0.0,0.9
failure_only,0,40.0,0.0,0.0,0.9
failure_only,0,60.0,0.0,0.0,0.9
failure_only,0,80.0,0.0,0.0,0.9
failure_only,1,0.0,1.0,0.2824074074074074,0.14
failure_only,1,20.0,0.0,0.0,0.9
failure_only,1,40.0,0.0,0.0,0.9
failure_only,1,60.0,0.0,0.0,0.9
failure_only,1,80.0,0.0,0.0,0.9
failure_only,2,0.0,1.0,0.26851851851851855,0.13
failure_only,2,20.0,0.0,0.0,0.9
failure_only,2,40.0,0.0,0.0,0.9
failure_only,2,60.0,0.0,0.0,0.9
failure_only,2,80.0,0.0,0.0,0.9
failure_only,3,0.0,1.0,0.2638888888888889,0.14
