method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.08333333333333333,0.013888888888888888,0.9,0.03530092592592593,0.26851851851851855
uniform,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
uniform,2,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
uniform,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
fixed,0,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
fixed,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
fixed,2,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
fixed,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
failure_only,0,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
failure_only,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
failure_only,2,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
failure_only,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
td_loss,0,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
td_loss,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
td_loss,2,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
td_loss,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
bgr_uniform_radius,0,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
bgr_uniform_radius,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
bgr_uniform_radius,2,0.0,0.0,0.9,0.05324074074074074,0.26851851851851855
bgr_uniform_radius,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
bgr_coverage,0,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
bgr_coverage,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
bgr_coverage,2,0.0,0.0,0.9,0.03356481481481482,0.26851851851851855
bgr_coverage,3,0.0,0.0,0.9,0.03298611111111111,0.2638888888888889
bgr,0,1.0,0.3333333333333334,0.14,0.14699074074074076,0.3333333333333334
bgr,1,0.0,0.0,0.9,0.03530092592592592,0.2824074074074074
bgr,2,0.0,0.0,0.9,0.03819444444444445,0.26851851851851855
bgr,3,0.0,0.0,0.9,0.034143518518518524,0.2638888888888889
