method,seed,step,clean,rauc,median_r80
uniform,0,0.0,1.0,0.35000000000000003,0.10400000000000001
uniform,0,20.0,1.0,0.3861111111111111,0.088
uniform,0,40.0,1.0,0.75,0.21000000000000002
uniform,0,60.0,1.0,0.75,0.21000000000000002
uniform,0,80.0,1.0,0.75,0.21000000000000002
uniform,1,0.0,1.0,0.34722222222222227,0.10400000000000001
uniform,1,20.0,1.0,0.75,0.21000000000000002
uniform,1,40.0,1.0,0.75,0.21000000000000002
uniform,1,60.0,1.0,0.75,0.21000000000000002
uniform,1,80.0,1.0,0.75,0.21000000000000002
uniform,2,0.0,1.0,0.35277777777777786,0.10400000000000001
uniform,2,20.0,1.0,0.75,0.21000000000000002
uniform,2,40.0,1.0,0.75,0.21000000000000002
uniform,2,60.0,1.0,0.75,0.21000000000000002
uniform,2,80.0,1.0,0.75,0.21000000000000002
uniform,3,0.0,1.0,0.34166666666666673,0.088
uniform,3,20.0,1.0,0.75,0.21000000000000002
uniform,3,40.0,1.0,0.75,0.21000000000000002
uniform,3,60.0,1.0,0.75,0.21000000000000002
uniform,3,80.0,1.0,0.75,0.21000000000000002
fixed,0,0.0,1.0,0.35000000000000003,0.10400000000000001
fixed,0,20.0,1.0,0.6875,0.176
fixed,0,40.0,1.0,0.75,0.21000000000000002
fixed,0,60.0,1.0,0.75,0.21000000000000002
fixed,0,80.0,1.0,0.75,0.21000000000000002
fixed,1,0.0,1.0,0.34722222222222227,0.10400000000000001
fixed,1,20.0,1.0,0.75,0.21000000000000002
fixed,1,40.0,1.0,0.75,0.21000000000000002
fixed,1,60.0,1.0,0.75,0.21000000000000002
fixed,1,80.0,1.0,0.75,0.21000000000000002
fixed,2,0.0,1.0,0.35277777777777786,0.10400000000000001
fixed,2,20.0,1.0,0.75,0.21000000000000002
fixed,2,40.0,1.0,0.75,0.21000000000000002
fixed,2,60.0,1.0,0.75,0.21000000000000002
fixed,2,80.0,1.0,0.75,0.21000000000000002
fixed,3,0.0,1.0,0.34166666666666673,0.088
fixed,3,20.0,1.0,0.75,0.21000000000000002
fixed,3,40.0,1.0,0.75,0.21000000000000002
fixed,3,60.0,1.0,0.75,0.21000000000000002
fixed,3,80.0,1.0,0.75,0.21000000000000002
failure_only,0,0.0,1.0,0.35000000000000003,0.10400000000000001
failure_only,0,20.0,1.0,0.75,0.21000000000000002
failure_only,0,40.0,1.0,0.75,0.21000000000000002
failure_only,0,60.0,1.0,0.75,0.21000000000000002
failure_only,0,80.0,1.0,0.75,0.21000000000000002
failure_only,1,0.0,1.0,0.34722222222222227,0.10400000000000001
failure_only,1,20.0,1.0,0.75,0.21000000000000002
failure_only,1,40.0,1.0,0.75,0.21000000000000002
failure_only,1,60.0,1.0,0.75,0.21000000000000002
failure_only,1,80.0,1.0,0.75,0.21000000000000002
failure_only,2,0.0,1.0,0.35277777777777786,0.10400000000000001
failure_only,2,20.0,0.0,0.0,0.3
failure_only,2,40.0,1.0,0.75,0.21000000000000002
failure_only,2,60.0,1.0,0.75,0.21000000000000002
failure_only,2,80.0,1.0,0.75,0.21000000000000002
failure_only,3,0.0,1.0,0.34166666666666673,0.088
failure_only,3,20.0,1.0,0.75,0.21000000000000002
failure_only,3,40.0,1.0,0.75,0.21000000000000002
failure_only,3,60.0,1.0,0.69375,0.21000000000000002
failure_only,3,80.0,1.0,0.75,0.21000000000000002
td_loss,0,0.0,1.0,0.35000000000000003,0.10400000000000001
td_loss,0,20.0,0.0,0.0,0.3
td_loss,0,40.0,1.0,0.6687499999999998,0.176
td_loss,0,60.0,1.0,0.75,0.21000000000000002
td_loss,0,80.0,1.0,0.75,0.21000000000000002
td_loss,1,0.0,1.0,0.34722222222222227,0.10400000000000001
td_loss,1,20.0,1.0,0.75,0.21000000000000002
td_loss,1,40.0,1.0,0.75,0.21000000000000002
td_loss,1,60.0,1.0,0.75,0.21000000000000002
td_loss,1,80.0,1.0,0.75,0.21000000000000002
td_loss,2,0.0,1.0,0.35277777777777786,0.10400000000000001
td_loss,2,20.0,0.0,0.0,0.3
td_loss,2,40.0,1.0,0.75,0.21000000000000002
td_loss,2,60.0,1.0,0.75,0.21000000000000002
td_loss,2,80.0,1.0,0.75,0.21000000000000002
td_loss,3,0.0,1.0,0.34166666666666673,0.088
td_loss,3,20.0,1.0,0.69375,0.176
td_loss,3,40.0,1.0,0.75,0.21000000000000002
td_loss,3,60.0,1.0,0.75,0.21000000000000002
td_loss,3,80.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,0,0.0,1.0,0.35000000000000003,0.10400000000000001
bgr_uniform_radius,0,20.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,0,40.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,0,60.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,0,80.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,1,0.0,1.0,0.34722222222222227,0.10400000000000001
bgr_uniform_radius,1,20.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,1,40.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,1,60.0,1.0,0.75,0.21000000000000002
bgr_uniform_radius,1,80.0,1.0,0.75,0.21000000000000002
