method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.75,0.21000000000000002,0.6090277777777777,0.75
uniform,1,1.0,0.75,0.21000000000000002,0.6996527777777778,0.75
uniform,2,1.0,0.75,0.21000000000000002,0.7003472222222222,0.75
uniform,3,1.0,0.75,0.21000000000000002,0.6989583333333333,0.75
fixed,0,1.0,0.75,0.21000000000000002,0.684375,0.75
fixed,1,1.0,0.75,0.21000000000000002,0.6996527777777778,0.75
fixed,2,1.0,0.75,0.21000000000000002,0.7003472222222222,0.75
fixed,3,1.0,0.75,0.21000000000000002,0.6989583333333333,0.75
failure_only,0,1.0,0.75,0.21000000000000002,0.7,0.75
failure_only,1,1.0,0.75,0.21000000000000002,0.6996527777777778,0.75
failure_only,2,1.0,0.75,0.21000000000000002,0.5128472222222222,0.75
failure_only,3,1.0,0.75,0.21000000000000002,0.6848958333333334,0.75
td_loss,0,1.0,0.75,0.21000000000000002,0.4921874999999999,0.75
td_loss,1,1.0,0.75,0.21000000000000002,0.6996527777777778,0.75
td_loss,2,1.0,0.75,0.21000000000000002,0.5128472222222222,0.75
td_loss,3,1.0,0.75,0.21000000000000002,0.6848958333333333,0.75
bgr_uniform_radius,0,1.0,0.75,0.21000000000000002,0.7,0.75
bgr_uniform_radius,1,1.0,0.75,0.21000000000000002,0.6996527777777778,0.75
bgr_uniform_radius,2,1.0,0.75,0.21000000000000002,0.7003472222222222,0.75
bgr_uniform_radius,3,1.0,0.75,0.21000000000000002,0.6989583333333333,0.75
bgr_coverage,0,1.0,0.75,0.21000000000000002,0.696875,0.75
bgr_coverage,1,1.0,0.75,0.21000000000000002,0.6855902777777778,0.75
bgr_coverage,2,1.0,0.75,0.21000000000000002,0.6878472222222223,0.75
bgr_coverage,3,1.0,0.75,0.21000000000000002,0.6817708333333334,0.75
bgr,0,1.0,0.75,0.21000000000000002,0.7,0.75
bgr,1,1.0,0.75,0.21000000000000002,0.6809027777777777,0.75
bgr,2,1.0,0.75,0.21000000000000002,0.7003472222222222,0.75
bgr,3,1.0,0.75,0.21000000000000002,0.6973958333333334,0.75
