seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
0,0,0.0,1,0,120,182.96186748617333,0.23755521774291993,0.2327019548416137
0,1,0.0,1,0,120,182.96186748617333,0.23755521774291993,0.2327019548416137
0,2,0.0,1,0,120,182.96186748617333,0.23755521774291993,0.2327019548416137
0,0,0.5,1,0,143,177.2316381522112,0.23755521774291993,0.2327019548416137
0,1,0.5,1,0,103,188.48343383841313,0.23755521774291993,0.2327019548416137
0,2,0.5,1,0,106,175.7697250711783,0.23755521774291993,0.2327019548416137
0,0,1.0,1,0,182,203.5298140100367,0.23755521774291993,0.2327019548416137
0,1,1.0,1,0,73,202.79868659473226,0.23755521774291993,0.2327019548416137
0,2,1.0,1,0,71,182.0380078030446,0.23755521774291993,0.2327019548416137
0,0,1.5,1,0,178,225.97788896464044,0.23755521774291993,0.2327019548416137
0,1,1.5,0,1,11,-40.35205644143464,0.23755521774291993,0.2327019548416137
0,2,1.5,1,0,234,184.07229806360036,0.23755521774291993,0.2327019548416137
0,0,2.0,1,0,230,271.67070628763827,0.23755521774291993,0.2327019548416137
0,1,2.0,0,1,7,-88.58418899693301,0.23755521774291993,0.2327019548416137
0,2,2.0,0,1,13,-44.79748656436384,0.23755521774291993,0.2327019548416137
0,0,2.5,0,1,24,-42.03028097824432,0.23755521774291993,0.2327019548416137
0,1,2.5,0,1,8,-83.53600926141681,0.23755521774291993,0.2327019548416137
0,2,2.5,0,1,8,-77.38127660670452,0.23755521774291993,0.2327019548416137
0,0,3.0,0,1,20,-92.73194972040726,0.23755521774291993,0.2327019548416137
0,1,3.0,0,1,8,-86.16163083147532,0.23755521774291993,0.2327019548416137
0,2,3.0,0,1,7,-81.33327615459513,0.23755521774291993,0.2327019548416137
1,0,0.0,1,0,110,219.85642483512717,-0.13206052780151367,0.42657059192657465
1,1,0.0,1,0,110,219.85642483512717,-0.13206052780151367,0.42657059192657465
1,2,0.0,1,0,110,219.85642483512717,-0.13206052780151367,0.42657059192657465
1,0,0.5,1,0,114,207.82297036561343,-0.13206052780151367,0.42657059192657465
1,1,0.5,1,0,100,203.51005789962667,-0.13206052780151367,0.42657059192657465
1,2,0.5,0,1,29,11.677229148132284,-0.13206052780151367,0.42657059192657465
1,0,1.0,1,0,201,218.61868927638258,-0.13206052780151367,0.42657059192657465
1,1,1.0,1,0,101,182.1423745219103,-0.13206052780151367,0.42657059192657465
1,2,1.0,0,1,15,-16.334184222671396,-0.13206052780151367,0.42657059192657465
1,0,1.5,1,0,261,224.2059931713548,-0.13206052780151367,0.42657059192657465
1,1,1.5,0,1,124,-326.04260455631817,-0.13206052780151367,0.42657059192657465
1,2,1.5,0,1,10,-35.55780727406216,-0.13206052780151367,0.42657059192657465
1,0,2.0,1,0,453,239.07413082668498,-0.13206052780151367,0.42657059192657465
1,1,2.0,0,1,63,-449.4558327805982,-0.13206052780151367,0.42657059192657465
1,2,2.0,0,1,7,-57.81897213250814,-0.13206052780151367,0.42657059192657465
1,0,2.5,0,1,78,-135.49111805528852,-0.13206052780151367,0.42657059192657465
1,1,2.5,0,1,38,-370.09139502029933,-0.13206052780151367,0.42657059192657465
1,2,2.5,0,1,6,-55.48333270858117,-0.13206052780151367,0.42657059192657465
1,0,3.0,0,1,64,-198.05032763934773,-0.13206052780151367,0.42657059192657465
1,1,3.0,0,1,32,-334.5445133140995,-0.13206052780151367,0.42657059192657465
1,2,3.0,0,1,4,-80.40803549367291,-0.13206052780151367,0.42657059192657465
2,0,0.0,1,0,99,195.85638026105363,-0.050778865814208984,0.36253295898437493
2,1,0.0,1,0,99,195.85638026105363,-0.050778865814208984,0.36253295898437493
2,2,0.0,1,0,99,195.85638026105363,-0.050778865814208984,0.36253295898437493
2,0,0.5,1,0,110,209.27928364303125,-0.050778865814208984,0.36253295898437493
2,1,0.5,1,0,199,179.8772980518421,-0.050778865814208984,0.36253295898437493
2,2,0.5,1,0,109,219.7251287963455,-0.050778865814208984,0.36253295898437493
2,0,1.0,1,0,208,200.77924333019786,-0.050778865814208984,0.36253295898437493
2,1,1.0,0,1,14,-64.7851351035366,-0.050778865814208984,0.36253295898437493
2,2,1.0,1,0,107,249.0713627066651,-0.050778865814208984,0.36253295898437493
2,0,1.5,0,1,133,-218.10005904601422,-0.050778865814208984,0.36253295898437493
2,1,1.5,0,1,4,-94.136013411017,-0.050778865814208984,0.36253295898437493
2,2,1.5,0,1,51,57.16815731871657,-0.050778865814208984,0.36253295898437493
2,0,2.0,0,1,43,-349.2741147781067,-0.050778865814208984,0.36253295898437493
2,1,2.0,0,1,1,-100.0,-0.050778865814208984,0.36253295898437493
2,2,2.0,0,1,37,50.573790575171984,-0.050778865814208984,0.36253295898437493
2,0,2.5,0,1,34,-311.2225809909787,-0.050778865814208984,0.36253295898437493
2,1,2.5,0,1,1,-100.0,-0.050778865814208984,0.36253295898437493
2,2,2.5,0,1,32,7.759706047914705,-0.050778865814208984,0.36253295898437493
2,0,3.0,0,1,27,-335.00999453985446,-0.050778865814208984,0.36253295898437493
2,1,3.0,0,1,1,-100.0,-0.050778865814208984,0.36253295898437493
2,2,3.0,0,1,29,-1.5062315269275217,-0.050778865814208984,0.36253295898437493
3,0,0.0,1,0,101,185.80972289040733,-0.044736194610595706,0.30973700046539304
3,1,0.0,1,0,101,185.80972289040733,-0.044736194610595706,0.30973700046539304
3,2,0.0,1,0,101,185.80972289040733,-0.044736194610595706,0.30973700046539304
3,0,0.5,1,0,118,201.86822324972294,-0.044736194610595706,0.30973700046539304
3,1,0.5,1,0,112,165.4066914914939,-0.044736194610595706,0.30973700046539304
3,2,0.5,1,0,136,168.83592953127786,-0.044736194610595706,0.30973700046539304
3,0,1.0,1,0,117,223.33272265229726,-0.044736194610595706,0.30973700046539304
3,1,1.0,1,0,428,152.08053668252643,-0.044736194610595706,0.30973700046539304
3,2,1.0,1,0,205,186.81014206009507,-0.044736194610595706,0.30973700046539304
3,0,1.5,1,0,136,252.19952556668792,-0.044736194610595706,0.30973700046539304
3,1,1.5,1,0,111,160.9330266047632,-0.044736194610595706,0.30973700046539304
3,2,1.5,1,0,341,209.31407863135087,-0.044736194610595706,0.30973700046539304
3,0,2.0,1,0,154,277.3816074373968,-0.044736194610595706,0.30973700046539304
3,1,2.0,0,1,1,-100.0,-0.044736194610595706,0.30973700046539304
3,2,2.0,0,0,500,126.7100700476741,-0.044736194610595706,0.30973700046539304
3,0,2.5,1,0,149,262.02799266749116,-0.044736194610595706,0.30973700046539304
3,1,2.5,0,1,1,-100.0,-0.044736194610595706,0.30973700046539304
3,2,2.5,0,1,61,-113.26287220702154,-0.044736194610595706,0.30973700046539304
3,0,3.0,0,1,82,-22.748794091727333,-0.044736194610595706,0.30973700046539304
3,1,3.0,0,1,5,-85.59319721074064,-0.044736194610595706,0.30973700046539304
3,2,3.0,0,1,47,-124.29272063690003,-0.044736194610595706,0.30973700046539304
4,0,0.0,1,0,109,201.34895509564484,-0.03493070602416992,0.4232036685943603
4,1,0.0,1,0,109,201.34895509564484,-0.03493070602416992,0.4232036685943603
4,2,0.0,1,0,109,201.34895509564484,-0.03493070602416992,0.4232036685943603
4,0,0.5,1,0,179,190.44403569894547,-0.03493070602416992,0.4232036685943603
4,1,0.5,1,0,128,202.7235875243084,-0.03493070602416992,0.4232036685943603
4,2,0.5,1,0,114,207.46337334482226,-0.03493070602416992,0.4232036685943603
4,0,1.0,1,0,241,203.04834607976335,-0.03493070602416992,0.4232036685943603
4,1,1.0,1,0,151,207.73116515300714,-0.03493070602416992,0.4232036685943603
4,2,1.0,1,0,184,193.57827251791272,-0.03493070602416992,0.4232036685943603
4,0,1.5,0,1,94,-118.8410122206142,-0.03493070602416992,0.4232036685943603
4,1,1.5,1,0,182,226.35747100179668,-0.03493070602416992,0.4232036685943603
4,2,1.5,1,0,186,208.10573941284557,-0.03493070602416992,0.4232036685943603
4,0,2.0,0,1,74,-227.50568324328927,-0.03493070602416992,0.4232036685943603
4,1,2.0,1,0,191,247.30997210014695,-0.03493070602416992,0.4232036685943603
4,2,2.0,1,0,425,206.16181634495234,-0.03493070602416992,0.4232036685943603
4,0,2.5,0,1,55,-555.292283328544,-0.03493070602416992,0.4232036685943603
4,1,2.5,1,0,251,281.3011240972121,-0.03493070602416992,0.4232036685943603
4,2,2.5,0,0,500,140.16844973795622,-0.03493070602416992,0.4232036685943603
4,0,3.0,0,1,45,-546.9988358815974,-0.03493070602416992,0.4232036685943603
4,1,3.0,1,0,294,288.92867648415074,-0.03493070602416992,0.4232036685943603
4,2,3.0,0,1,55,-128.955475560167,-0.03493070602416992,0.4232036685943603
5,0,0.0,1,0,109,239.89596150681118,-0.05327033996582031,0.5509212350845336
5,1,0.0,1,0,109,239.89596150681118,-0.05327033996582031,0.5509212350845336
