method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.875,0.4270833333333333,0.6000000000000001,0.46875,0.5729166666666666
uniform,1,1.0,0.5416666666666666,1.6,0.5546875,0.59375
uniform,2,0.75,0.3125,0.6000000000000001,0.40234375,0.6145833333333334
uniform,3,1.0,0.6770833333333334,1.6,0.5807291666666667,0.6770833333333334
fixed,0,1.0,0.6979166666666666,2.1,0.47916666666666663,0.6979166666666666
fixed,1,0.25,0.20833333333333334,3.0,0.33854166666666663,0.53125
fixed,2,1.0,0.625,1.6,0.5924479166666666,0.7604166666666666
fixed,3,0.875,0.375,0.6,0.5455729166666666,0.6354166666666666
failure_only,0,1.0,0.6458333333333334,1.6,0.5481770833333334,0.6458333333333334
failure_only,1,0.875,0.4479166666666667,1.1,0.43098958333333337,0.6145833333333334
failure_only,2,1.0,0.5208333333333334,1.1,0.53515625,0.625
failure_only,3,0.875,0.4583333333333333,1.1,0.5143229166666666,0.6041666666666666
td_loss,0,0.0,0.0,3.0,0.5013020833333333,0.6666666666666666
td_loss,1,1.0,0.625,1.35,0.5234375,0.625
td_loss,2,1.0,0.5729166666666666,1.6,0.5000000000000001,0.6458333333333334
td_loss,3,1.0,0.6354166666666666,1.85,0.5078125,0.6354166666666666
bgr_uniform_radius,0,0.75,0.5416666666666666,2.1,0.4049479166666667,0.5833333333333334
bgr_uniform_radius,1,0.75,0.46875,0.6,0.4622395833333333,0.6666666666666666
bgr_uniform_radius,2,1.0,0.4375,1.1,0.5143229166666666,0.6041666666666666
bgr_uniform_radius,3,0.875,0.4479166666666667,1.35,0.45052083333333337,0.5520833333333334
bgr_coverage,0,1.0,0.7395833333333334,1.85,0.3619791666666667,0.7395833333333334
bgr_coverage,1,0.875,0.6666666666666666,2.1,0.5520833333333334,0.7291666666666666
bgr_coverage,2,1.0,0.59375,1.35,0.6015625000000001,0.8020833333333334
bgr_coverage,3,0.875,0.6666666666666666,1.6,0.54296875,0.6979166666666666
bgr,0,0.25,0.3958333333333333,3.0,0.5768229166666667,0.6458333333333334
bgr,1,1.0,0.5833333333333334,1.6,0.5572916666666667,0.6770833333333334
bgr,2,1.0,0.5416666666666666,1.35,0.48046875,0.71875
bgr,3,1.0,0.6354166666666666,1.6,0.6328125,0.7395833333333334
