method,seed,clean,rauc,median_r80,step
bgr,0,0.875,0.4479166666666667,1.35,0.0
bgr,0,0.875,0.625,1.85,20.0
bgr,0,1.0,0.6458333333333334,1.85,40.0
bgr,0,1.0,0.6145833333333334,1.6,60.0
bgr,0,0.25,0.3958333333333333,3.0,80.0
bgr,1,0.75,0.3958333333333333,0.8500000000000001,0.0
bgr,1,0.875,0.6770833333333334,2.1,20.0
bgr,1,0.875,0.6041666666666666,1.35,40.0
bgr,1,1.0,0.4583333333333333,1.1,60.0
bgr,1,1.0,0.5833333333333334,1.6,80.0
bgr,2,0.875,0.46875,1.35,0.0
bgr,2,0.0,0.0,3.0,20.0
bgr,2,1.0,0.71875,2.1,40.0
bgr,2,1.0,0.6979166666666666,1.85,60.0
bgr,2,1.0,0.5416666666666666,1.35,80.0
bgr,3,0.875,0.53125,1.35,0.0
bgr,3,0.875,0.6875,1.85,20.0
bgr,3,0.75,0.5208333333333334,1.85,40.0
bgr,3,1.0,0.7395833333333334,2.35,60.0
bgr,3,1.0,0.6354166666666666,1.6,80.0
