method,seed,clean,rauc,median_r80,step
bgr_coverage,0,0.875,0.4479166666666667,1.35,0.0
bgr_coverage,0,0.125,0.010416666666666666,3.0,20.0
bgr_coverage,0,0.875,0.65625,1.85,40.0
bgr_coverage,0,0.375,0.1875,3.0,60.0
bgr_coverage,0,1.0,0.7395833333333334,1.85,80.0
bgr_coverage,1,0.75,0.3958333333333333,0.8500000000000001,0.0
bgr_coverage,1,1.0,0.7291666666666666,1.85,20.0
bgr_coverage,1,0.875,0.5520833333333334,1.1,40.0
bgr_coverage,1,0.75,0.3958333333333333,0.35,60.0
bgr_coverage,1,0.875,0.6666666666666666,2.1,80.0
bgr_coverage,2,0.875,0.46875,1.35,0.0
bgr_coverage,2,1.0,0.4479166666666667,1.35,20.0
bgr_coverage,2,1.0,0.625,1.6,40.0
bgr_coverage,2,1.0,0.8020833333333334,2.1,60.0
bgr_coverage,2,1.0,0.59375,1.35,80.0
bgr_coverage,3,0.875,0.53125,1.35,0.0
bgr_coverage,3,0.875,0.4583333333333333,1.1,20.0
bgr_coverage,3,1.0,0.6979166666666666,1.85,40.0
bgr_coverage,3,0.5,0.4166666666666667,2.8,60.0
bgr_coverage,3,0.875,0.6666666666666666,1.6,80.0
