method,seed,clean,rauc,median_r80,step
bgr_uniform_radius,0,0.875,0.4479166666666667,1.35,0.0
bgr_uniform_radius,0,0.0,0.041666666666666664,3.0,20.0
bgr_uniform_radius,0,1.0,0.5,0.6,40.0
bgr_uniform_radius,0,1.0,0.5833333333333334,1.6,60.0
bgr_uniform_radius,0,0.75,0.5416666666666666,2.1,80.0
bgr_uniform_radius,1,0.75,0.3958333333333333,0.8500000000000001,0.0
bgr_uniform_radius,1,0.25,0.16666666666666666,3.0,20.0
bgr_uniform_radius,1,0.875,0.5833333333333334,1.6,40.0
bgr_uniform_radius,1,1.0,0.6666666666666666,1.6,60.0
bgr_uniform_radius,1,0.75,0.46875,0.6,80.0
bgr_uniform_radius,2,0.875,0.46875,1.35,0.0
bgr_uniform_radius,2,1.0,0.6041666666666666,1.1,20.0
bgr_uniform_radius,2,0.875,0.5625,1.6,40.0
bgr_uniform_radius,2,0.875,0.4375,1.1,60.0
bgr_uniform_radius,2,1.0,0.4375,1.1,80.0
bgr_uniform_radius,3,0.875,0.53125,1.35,0.0
bgr_uniform_radius,3,0.875,0.5520833333333334,1.6,20.0
bgr_uniform_radius,3,0.5,0.40625,2.55,40.0
bgr_uniform_radius,3,1.0,0.3541666666666667,0.6,60.0
bgr_uniform_radius,3,0.875,0.4479166666666667,1.35,80.0
