method,seed,clean,rauc,median_r80,step
failure_only,0,0.875,0.4479166666666667,1.35,0.0
failure_only,0,1.0,0.6145833333333334,1.35,20.0
failure_only,0,0.875,0.4583333333333333,0.8500000000000001,40.0
failure_only,0,1.0,0.5729166666666666,0.8500000000000001,60.0
failure_only,0,1.0,0.6458333333333334,1.6,80.0
failure_only,1,0.75,0.3958333333333333,0.8500000000000001,0.0
failure_only,1,0.875,0.3958333333333333,0.6000000000000001,20.0
failure_only,1,0.875,0.6145833333333334,1.85,40.0
failure_only,1,0.75,0.2916666666666667,0.6,60.0
failure_only,1,0.875,0.4479166666666667,1.1,80.0
failure_only,2,0.875,0.46875,1.35,0.0
failure_only,2,1.0,0.5625,1.6,20.0
failure_only,2,0.75,0.4583333333333333,1.85,40.0
failure_only,2,1.0,0.625,1.6,60.0
failure_only,2,1.0,0.5208333333333334,1.1,80.0
failure_only,3,0.875,0.53125,1.35,0.0
failure_only,3,0.875,0.3645833333333333,1.1,20.0
failure_only,3,1.0,0.6041666666666666,1.35,40.0
failure_only,3,1.0,0.59375,1.35,60.0
failure_only,3,0.875,0.4583333333333333,1.1,80.0
