method,seed,clean,rauc,median_r80,step
fixed,0,0.875,0.4479166666666667,1.35,0.0
fixed,0,0.75,0.4166666666666667,1.6,20.0
fixed,0,0.875,0.4895833333333333,1.1,40.0
fixed,0,0.75,0.4375,1.1,60.0
fixed,0,1.0,0.6979166666666666,2.1,80.0
fixed,1,0.75,0.3958333333333333,0.8500000000000001,0.0
fixed,1,0.875,0.4375,1.1,20.0
fixed,1,1.0,0.53125,1.1,40.0
fixed,1,0.0,0.08333333333333333,3.0,60.0
fixed,1,0.25,0.20833333333333334,3.0,80.0
fixed,2,0.875,0.46875,1.35,0.0
fixed,2,1.0,0.3958333333333333,0.6,20.0
fixed,2,1.0,0.6666666666666666,1.85,40.0
fixed,2,1.0,0.7604166666666666,2.1,60.0
fixed,2,1.0,0.625,1.6,80.0
fixed,3,0.875,0.53125,1.35,0.0
fixed,3,1.0,0.53125,1.1,20.0
fixed,3,1.0,0.5625,1.35,40.0
fixed,3,1.0,0.6354166666666666,1.6,60.0
fixed,3,0.875,0.375,0.6,80.0
