method,seed,clean,rauc,median_r80,step
td_loss,0,0.875,0.4479166666666667,1.35,0.0
td_loss,0,0.875,0.5520833333333334,1.6,20.0
td_loss,0,0.875,0.6666666666666666,1.85,40.0
td_loss,0,0.875,0.5625,1.35,60.0
td_loss,0,0.0,0.0,3.0,80.0
td_loss,1,0.75,0.3958333333333333,0.8500000000000001,0.0
td_loss,1,1.0,0.5,1.35,20.0
td_loss,1,0.875,0.5208333333333334,1.6,40.0
td_loss,1,1.0,0.5625,1.6,60.0
td_loss,1,1.0,0.625,1.35,80.0
td_loss,2,0.875,0.46875,1.35,0.0
td_loss,2,1.0,0.6145833333333334,1.35,20.0
td_loss,2,0.625,0.21875,0.09999999999999998,40.0
td_loss,2,1.0,0.6458333333333334,1.35,60.0
td_loss,2,1.0,0.5729166666666666,1.6,80.0
td_loss,3,0.875,0.53125,1.35,0.0
td_loss,3,0.875,0.3020833333333333,0.8500000000000001,20.0
td_loss,3,0.875,0.6145833333333334,1.85,40.0
td_loss,3,0.875,0.53125,1.35,60.0
td_loss,3,1.0,0.6354166666666666,1.85,80.0
