method,seed,clean,rauc,median_r80,step
uniform,0,0.875,0.4479166666666667,1.35,0.0
uniform,0,1.0,0.5729166666666666,1.1,20.0
uniform,0,0.625,0.34375,1.6,40.0
uniform,0,1.0,0.5208333333333334,1.35,60.0
uniform,0,0.875,0.4270833333333333,0.6000000000000001,80.0
uniform,1,0.75,0.3958333333333333,0.8500000000000001,0.0
uniform,1,1.0,0.59375,1.6,20.0
uniform,1,0.875,0.5729166666666666,1.6,40.0
uniform,1,1.0,0.5833333333333334,1.6,60.0
uniform,1,1.0,0.5416666666666666,1.6,80.0
uniform,2,0.875,0.46875,1.35,0.0
uniform,2,0.5,0.2708333333333333,2.55,20.0
uniform,2,1.0,0.6145833333333334,1.85,40.0
uniform,2,0.75,0.3333333333333333,1.6,60.0
uniform,2,0.75,0.3125,0.6000000000000001,80.0
uniform,3,0.875,0.53125,1.35,0.0
uniform,3,1.0,0.6145833333333334,1.85,20.0
uniform,3,0.875,0.5625,1.6,40.0
uniform,3,1.0,0.5416666666666666,1.6,60.0
uniform,3,1.0,0.6770833333333334,1.6,80.0
