seed,trial,sigma,success,crashed,steps,total_reward,checkpoint_x,checkpoint_y
0,0,0.0,1,0,61,152.84901635806796,0.12368621826171874,-0.01894546985626224
0,1,0.0,1,0,61,152.84901635806796,0.12368621826171874,-0.01894546985626224
0,2,0.0,1,0,61,152.84901635806796,0.12368621826171874,-0.01894546985626224
0,0,0.2,1,0,78,156.0500968897606,0.12368621826171874,-0.01894546985626224
0,1,0.2,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,2,0.2,1,0,95,156.35640591746008,0.12368621826171874,-0.01894546985626224
0,0,0.4,1,0,90,150.01255501309203,0.12368621826171874,-0.01894546985626224
0,1,0.4,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,2,0.4,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,0,0.6,0,1,9,-77.4572725546865,0.12368621826171874,-0.01894546985626224
0,1,0.6,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,2,0.6,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,0,0.8,0,1,10,-75.39981546014955,0.12368621826171874,-0.01894546985626224
0,1,0.8,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,2,0.8,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,0,1.0,0,1,10,-91.84623723634331,0.12368621826171874,-0.01894546985626224
0,1,1.0,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
0,2,1.0,0,1,1,-100.0,0.12368621826171874,-0.01894546985626224
1,0,0.0,1,0,115,195.7296598417654,-0.10204734802246093,0.28834863662719723
1,1,0.0,1,0,115,195.7296598417654,-0.10204734802246093,0.28834863662719723
1,2,0.0,1,0,115,195.7296598417654,-0.10204734802246093,0.28834863662719723
1,0,0.2,1,0,113,192.74238278054952,-0.10204734802246093,0.28834863662719723
1,1,0.2,1,0,108,182.87034293506946,-0.10204734802246093,0.28834863662719723
1,2,0.2,1,0,115,199.5052800428611,-0.10204734802246093,0.28834863662719723
1,0,0.4,1,0,132,194.3607387287469,-0.10204734802246093,0.28834863662719723
1,1,0.4,1,0,95,194.23990362756956,-0.10204734802246093,0.28834863662719723
1,2,0.4,0,1,24,-10.691816847526738,-0.10204734802246093,0.28834863662719723
1,0,0.6,1,0,193,189.59794811251888,-0.10204734802246093,0.28834863662719723
1,1,0.6,1,0,92,190.7261510641681,-0.10204734802246093,0.28834863662719723
1,2,0.6,0,1,16,-25.51174960676458,-0.10204734802246093,0.28834863662719723
