method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.7777777777777778,0.5199999999999999,0.4972222222222221,0.7777777777777778
uniform,1,0.9166666666666666,0.7583333333333333,0.5199999999999999,0.570486111111111,0.7638888888888888
uniform,2,1.0,0.7194444444444444,0.31999999999999995,0.5989583333333334,0.7611111111111111
uniform,3,1.0,0.7416666666666666,0.31999999999999995,0.5392361111111111,0.7416666666666666
uniform,4,1.0,0.6694444444444444,0.21999999999999995,0.5930555555555554,0.7027777777777777
uniform,5,0.16666666666666666,0.16944444444444445,1.0,0.49409722222222224,0.7555555555555555
uniform,6,0.9166666666666666,0.6944444444444443,0.38999999999999996,0.5847222222222221,0.7499999999999999
uniform,7,1.0,0.7388888888888888,0.31999999999999995,0.6347222222222222,0.7611111111111111
uniform,8,0.9166666666666666,0.75,0.52,0.31423611111111105,0.75
uniform,9,0.8333333333333334,0.5055555555555555,0.11999999999999995,0.5513888888888888,0.6611111111111112
uniform,10,1.0,0.7055555555555556,0.11999999999999995,0.5993055555555555,0.7472222222222222
uniform,11,1.0,0.788888888888889,0.5199999999999999,0.5944444444444444,0.788888888888889
uniform,12,0.9166666666666666,0.7138888888888888,0.31999999999999995,0.5718749999999999,0.7333333333333333
uniform,13,0.8333333333333334,0.688888888888889,0.41999999999999993,0.5934027777777777,0.7277777777777777
uniform,14,1.0,0.7444444444444445,0.31999999999999995,0.5625,0.7444444444444445
uniform,15,0.9166666666666666,0.7138888888888889,0.31999999999999995,0.5767361111111111,0.7138888888888889
uniform,16,0.9166666666666666,0.75,0.41999999999999993,0.646875,0.7611111111111111
uniform,17,1.0,0.7694444444444445,0.31999999999999995,0.571875,0.7694444444444445
uniform,18,0.9166666666666666,0.6916666666666667,0.31999999999999995,0.4267361111111111,0.725
uniform,19,1.0,0.7638888888888891,0.5199999999999999,0.5760416666666667,0.7638888888888891
uniform,20,1.0,0.7555555555555555,0.31999999999999995,0.5902777777777778,0.7555555555555555
uniform,21,0.9166666666666666,0.7166666666666667,0.41999999999999993,0.54375,0.7166666666666667
uniform,22,0.9166666666666666,0.75,0.41999999999999993,0.5666666666666667,0.75
uniform,23,1.0,0.7833333333333333,0.41999999999999993,0.6,0.7833333333333333
uniform,24,0.8333333333333334,0.6916666666666667,0.41999999999999993,0.6052083333333333,0.7555555555555555
uniform,25,1.0,0.775,0.31999999999999995,0.560763888888889,0.775
uniform,26,0.9166666666666666,0.6916666666666667,0.31999999999999995,0.5871527777777776,0.6972222222222222
