method,seed,clean,rauc,median_r80,step
bgr,0,0.0,0.02222222222222222,1.0,0.0
bgr,0,0.6666666666666666,0.4888888888888889,0.6199999999999999,20.0
bgr,0,0.9166666666666666,0.7111111111111111,0.41999999999999993,40.0
bgr,0,0.9166666666666666,0.6833333333333332,0.31999999999999995,60.0
bgr,0,0.75,0.5416666666666667,0.31999999999999995,80.0
bgr,1,0.0,0.0,1.0,0.0
bgr,1,0.9166666666666666,0.6694444444444444,0.31999999999999995,20.0
bgr,1,0.9166666666666666,0.6805555555555555,0.18999999999999997,40.0
bgr,1,0.6666666666666666,0.4472222222222222,0.21999999999999995,60.0
bgr,1,1.0,0.7194444444444444,0.31999999999999995,80.0
bgr,2,0.0,0.0,1.0,0.0
bgr,2,0.3333333333333333,0.3138888888888889,1.0,20.0
bgr,2,0.75,0.5111111111111111,0.21999999999999995,40.0
bgr,2,0.08333333333333333,0.18055555555555555,1.0,60.0
bgr,2,1.0,0.6888888888888889,0.31999999999999995,80.0
bgr,3,0.0,0.0,1.0,0.0
bgr,3,1.0,0.625,0.11999999999999995,20.0
bgr,3,0.75,0.6083333333333334,0.72,40.0
bgr,3,0.9166666666666666,0.6944444444444444,0.11999999999999995,60.0
bgr,3,0.9166666666666666,0.6916666666666667,0.31999999999999995,80.0
bgr,4,0.25,0.15833333333333333,1.0,0.0
bgr,4,0.6666666666666666,0.4083333333333333,0.41999999999999993,20.0
bgr,4,0.5,0.5722222222222222,0.96,40.0
bgr,4,0.75,0.65,0.52,60.0
bgr,4,1.0,0.7472222222222222,0.48999999999999994,80.0
bgr,5,0.08333333333333333,0.03333333333333333,1.0,0.0
bgr,5,0.8333333333333334,0.6138888888888889,0.27999999999999997,20.0
bgr,5,0.8333333333333334,0.6583333333333333,0.48999999999999994,40.0
bgr,5,0.9166666666666666,0.738888888888889,0.5899999999999999,60.0
bgr,5,0.4166666666666667,0.33888888888888885,1.0,80.0
bgr,6,0.0,0.01111111111111111,1.0,0.0
bgr,6,0.0,0.019444444444444445,1.0,20.0
bgr,6,0.9166666666666666,0.7055555555555555,0.31999999999999995,40.0
bgr,6,0.3333333333333333,0.3888888888888889,1.0,60.0
bgr,6,1.0,0.7194444444444446,0.31999999999999995,80.0
bgr,7,0.0,0.01111111111111111,1.0,0.0
bgr,7,0.25,0.16388888888888886,1.0,20.0
bgr,7,0.75,0.34722222222222227,0.11999999999999995,40.0
bgr,7,1.0,0.7555555555555555,0.31999999999999995,60.0
bgr,7,1.0,0.7111111111111111,0.31999999999999995,80.0
bgr,8,0.0,0.019444444444444445,1.0,0.0
bgr,8,0.9166666666666666,0.6416666666666667,0.26,20.0
bgr,8,0.08333333333333333,0.05277777777777778,1.0,40.0
bgr,8,0.9166666666666666,0.7388888888888889,0.41999999999999993,60.0
bgr,8,0.5833333333333334,0.5777777777777777,0.96,80.0
bgr,9,0.08333333333333333,0.06111111111111111,1.0,0.0
bgr,9,0.75,0.5472222222222223,0.21999999999999995,20.0
bgr,9,1.0,0.7444444444444444,0.48999999999999994,40.0
bgr,9,0.9166666666666666,0.763888888888889,0.41999999999999993,60.0
bgr,9,1.0,0.7777777777777779,0.5199999999999999,80.0
bgr,10,0.0,0.027777777777777776,1.0,0.0
bgr,10,0.08333333333333333,0.1861111111111111,1.0,20.0
bgr,10,0.8333333333333334,0.5916666666666668,0.31999999999999995,40.0
bgr,10,1.0,0.7027777777777778,0.31999999999999995,60.0
bgr,10,0.8333333333333334,0.686111111111111,0.31999999999999995,80.0
bgr,11,0.0,0.0,1.0,0.0
bgr,11,1.0,0.7055555555555555,0.31999999999999995,20.0
bgr,11,1.0,0.7583333333333333,0.31999999999999995,40.0
bgr,11,0.6666666666666666,0.55,0.21999999999999995,60.0
bgr,11,0.8333333333333334,0.711111111111111,0.31999999999999995,80.0
bgr,12,0.0,0.01111111111111111,1.0,0.0
bgr,12,0.08333333333333333,0.175,1.0,20.0
bgr,12,0.75,0.611111111111111,0.48,40.0
bgr,12,1.0,0.6333333333333334,0.11999999999999995,60.0
bgr,12,0.9166666666666666,0.663888888888889,0.31999999999999995,80.0
bgr,13,0.08333333333333333,0.04722222222222222,1.0,0.0
bgr,13,0.5833333333333334,0.5666666666666668,0.83,20.0
bgr,13,0.9166666666666666,0.6027777777777779,0.31999999999999995,40.0
bgr,13,0.8333333333333334,0.6583333333333333,0.11999999999999995,60.0
bgr,13,1.0,0.7472222222222222,0.31999999999999995,80.0
bgr,14,0.08333333333333333,0.05555555555555555,1.0,0.0
bgr,14,0.5833333333333334,0.375,0.6599999999999999,20.0
bgr,14,0.9166666666666666,0.6500000000000001,0.26,40.0
bgr,14,0.9166666666666666,0.6444444444444444,0.21999999999999995,60.0
bgr,14,0.9166666666666666,0.6916666666666668,0.31999999999999995,80.0
bgr,15,0.08333333333333333,0.03888888888888888,1.0,0.0
bgr,15,0.16666666666666666,0.23055555555555554,1.0,20.0
bgr,15,0.8333333333333334,0.6611111111111111,0.41999999999999993,40.0
bgr,15,0.9166666666666666,0.7222222222222222,0.31999999999999995,60.0
bgr,15,0.9166666666666666,0.725,0.38999999999999996,80.0
bgr,16,0.0,0.025,1.0,0.0
bgr,16,0.25,0.15,1.0,20.0
bgr,16,0.8333333333333334,0.6777777777777778,0.31999999999999995,40.0
bgr,16,1.0,0.7555555555555556,0.48999999999999994,60.0
bgr,16,0.8333333333333334,0.6777777777777778,0.21999999999999995,80.0
bgr,17,0.0,0.022222222222222223,1.0,0.0
bgr,17,0.9166666666666666,0.625,0.29,20.0
bgr,17,1.0,0.7027777777777777,0.31999999999999995,40.0
bgr,17,0.75,0.6611111111111111,0.82,60.0
bgr,17,0.4166666666666667,0.41111111111111115,1.0,80.0
bgr,18,0.0,0.0,1.0,0.0
bgr,18,0.5833333333333334,0.3777777777777777,0.21999999999999995,20.0
bgr,18,0.6666666666666666,0.5527777777777778,0.52,40.0
bgr,18,1.0,0.7805555555555556,0.31999999999999995,60.0
bgr,18,0.8333333333333334,0.6361111111111112,0.31999999999999995,80.0
bgr,19,0.0,0.0,1.0,0.0
bgr,19,0.5833333333333334,0.5722222222222222,0.52,20.0
bgr,19,0.3333333333333333,0.25277777777777777,1.0,40.0
bgr,19,1.0,0.7138888888888889,0.29,60.0
bgr,19,0.9166666666666666,0.6888888888888888,0.11999999999999995,80.0
bgr,20,0.0,0.016666666666666666,1.0,0.0
bgr,20,0.6666666666666666,0.6166666666666667,0.79,20.0
bgr,20,0.9166666666666666,0.7111111111111111,0.5199999999999999,40.0
bgr,20,0.6666666666666666,0.45833333333333326,0.18999999999999997,60.0
bgr,20,0.9166666666666666,0.7277777777777777,0.5199999999999999,80.0
bgr,21,0.0,0.0,1.0,0.0
bgr,21,1.0,0.736111111111111,0.5199999999999999,20.0
bgr,21,0.9166666666666666,0.6833333333333333,0.31999999999999995,40.0
bgr,21,0.08333333333333333,0.06111111111111111,1.0,60.0
bgr,21,1.0,0.763888888888889,0.31999999999999995,80.0
bgr,22,0.0,0.005555555555555556,1.0,0.0
bgr,22,0.3333333333333333,0.4083333333333334,1.0,20.0
bgr,22,0.8333333333333334,0.65,0.6199999999999999,40.0
bgr,22,0.5833333333333334,0.5416666666666667,0.42,60.0
bgr,22,1.0,0.7305555555555555,0.31999999999999995,80.0
bgr,23,0.0,0.0,1.0,0.0
bgr,23,0.25,0.3361111111111111,1.0,20.0
bgr,23,0.75,0.6,0.52,40.0
bgr,23,1.0,0.7388888888888888,0.31999999999999995,60.0
bgr,23,0.9166666666666666,0.7333333333333334,0.31999999999999995,80.0
bgr,24,0.08333333333333333,0.08888888888888888,1.0,0.0
bgr,24,0.6666666666666666,0.46944444444444444,0.48999999999999994,20.0
bgr,24,0.9166666666666666,0.638888888888889,0.29,40.0
bgr,24,0.75,0.5722222222222222,0.5899999999999999,60.0
bgr,24,1.0,0.7388888888888889,0.31999999999999995,80.0
bgr,25,0.0,0.0,1.0,0.0
bgr,25,0.6666666666666666,0.5333333333333333,0.41999999999999993,20.0
bgr,25,0.9166666666666666,0.6916666666666668,0.38999999999999996,40.0
bgr,25,0.8333333333333334,0.6833333333333333,0.6199999999999999,60.0
bgr,25,1.0,0.7555555555555555,0.41999999999999993,80.0
bgr,26,0.0,0.0,1.0,0.0
bgr,26,0.6666666666666666,0.4777777777777778,0.21999999999999995,20.0
bgr,26,1.0,0.6611111111111112,0.31999999999999995,40.0
bgr,26,0.9166666666666666,0.6416666666666667,0.21999999999999995,60.0
bgr,26,0.75,0.5916666666666668,0.31999999999999995,80.0
bgr,27,0.0,0.0,1.0,0.0
bgr,27,0.75,0.45833333333333337,0.11999999999999995,20.0
bgr,27,1.0,0.7,0.18999999999999997,40.0
bgr,27,0.9166666666666666,0.6305555555555555,0.18999999999999997,60.0
bgr,27,0.9166666666666666,0.6888888888888889,0.41999999999999993,80.0
bgr,28,0.0,0.0,1.0,0.0
bgr,28,0.4166666666666667,0.45833333333333326,1.0,20.0
bgr,28,0.3333333333333333,0.22499999999999998,1.0,40.0
bgr,28,0.8333333333333334,0.6722222222222222,0.41999999999999993,60.0
bgr,28,1.0,0.7611111111111112,0.41999999999999993,80.0
bgr,29,0.0,0.005555555555555556,1.0,0.0
bgr,29,0.5833333333333334,0.5444444444444444,0.78,20.0
bgr,29,0.5833333333333334,0.5194444444444445,0.9199999999999999,40.0
bgr,29,0.8333333333333334,0.7194444444444444,0.5899999999999999,60.0
bgr,29,0.75,0.5805555555555556,0.5199999999999999,80.0
bgr_coverage,0,0.0,0.02222222222222222,1.0,0.0
bgr_coverage,0,0.08333333333333333,0.07777777777777778,1.0,20.0
bgr_coverage,0,0.9166666666666666,0.6166666666666668,0.11999999999999995,40.0
bgr_coverage,0,0.8333333333333334,0.6527777777777778,0.42,60.0
bgr_coverage,0,1.0,0.75,0.31999999999999995,80.0
bgr_coverage,1,0.0,0.0,1.0,0.0
bgr_coverage,1,0.5833333333333334,0.425,0.72,20.0
bgr_coverage,1,0.3333333333333333,0.29166666666666663,1.0,40.0
bgr_coverage,1,1.0,0.7472222222222222,0.5199999999999999,60.0
bgr_coverage,1,0.9166666666666666,0.6666666666666666,0.29,80.0
bgr_coverage,2,0.0,0.0,1.0,0.0
bgr_coverage,2,0.8333333333333334,0.43611111111111117,0.16,20.0
bgr_coverage,2,0.25,0.4722222222222222,1.0,40.0
bgr_coverage,2,0.8333333333333334,0.7055555555555556,0.31999999999999995,60.0
bgr_coverage,2,1.0,0.7638888888888888,0.38999999999999996,80.0
bgr_coverage,3,0.0,0.0,1.0,0.0
bgr_coverage,3,0.9166666666666666,0.6027777777777779,0.11999999999999995,20.0
bgr_coverage,3,0.9166666666666666,0.7333333333333333,0.5199999999999999,40.0
bgr_coverage,3,1.0,0.7222222222222222,0.29,60.0
bgr_coverage,3,0.9166666666666666,0.7083333333333334,0.31999999999999995,80.0
bgr_coverage,4,0.25,0.15833333333333333,1.0,0.0
bgr_coverage,4,0.9166666666666666,0.575,0.21999999999999995,20.0
bgr_coverage,4,0.9166666666666666,0.7388888888888888,0.5199999999999999,40.0
bgr_coverage,4,0.9166666666666666,0.7194444444444446,0.5199999999999999,60.0
bgr_coverage,4,0.9166666666666666,0.7444444444444444,0.41999999999999993,80.0
bgr_coverage,5,0.08333333333333333,0.03333333333333333,1.0,0.0
bgr_coverage,5,0.8333333333333334,0.6222222222222222,0.29,20.0
bgr_coverage,5,0.9166666666666666,0.6916666666666668,0.52,40.0
bgr_coverage,5,0.9166666666666666,0.6888888888888889,0.41999999999999993,60.0
bgr_coverage,5,0.9166666666666666,0.6944444444444444,0.31999999999999995,80.0
bgr_coverage,6,0.0,0.01111111111111111,1.0,0.0
bgr_coverage,6,0.9166666666666666,0.6555555555555556,0.5199999999999999,20.0
bgr_coverage,6,1.0,0.6111111111111112,0.11999999999999995,40.0
bgr_coverage,6,0.8333333333333334,0.6416666666666667,0.58,60.0
bgr_coverage,6,1.0,0.7416666666666666,0.31999999999999995,80.0
bgr_coverage,7,0.0,0.01111111111111111,1.0,0.0
bgr_coverage,7,0.08333333333333333,0.06666666666666667,1.0,20.0
bgr_coverage,7,0.3333333333333333,0.21388888888888885,1.0,40.0
bgr_coverage,7,0.75,0.7277777777777779,0.31999999999999995,60.0
bgr_coverage,7,1.0,0.7166666666666667,0.31999999999999995,80.0
bgr_coverage,8,0.0,0.019444444444444445,1.0,0.0
bgr_coverage,8,0.9166666666666666,0.6972222222222222,0.31999999999999995,20.0
bgr_coverage,8,0.9166666666666666,0.7027777777777776,0.18999999999999997,40.0
bgr_coverage,8,0.9166666666666666,0.6777777777777777,0.38999999999999996,60.0
bgr_coverage,8,0.75,0.575,0.5199999999999999,80.0
bgr_coverage,9,0.08333333333333333,0.06111111111111111,1.0,0.0
bgr_coverage,9,0.5,0.4166666666666667,0.6599999999999999,20.0
bgr_coverage,9,1.0,0.6777777777777777,0.31999999999999995,40.0
bgr_coverage,9,1.0,0.7250000000000001,0.31999999999999995,60.0
bgr_coverage,9,0.9166666666666666,0.7611111111111111,0.41999999999999993,80.0
bgr_coverage,10,0.0,0.027777777777777776,1.0,0.0
bgr_coverage,10,0.5833333333333334,0.3861111111111111,0.11999999999999995,20.0
bgr_coverage,10,0.75,0.6194444444444445,0.52,40.0
bgr_coverage,10,1.0,0.7444444444444444,0.31999999999999995,60.0
bgr_coverage,10,0.5833333333333334,0.44166666666666665,0.45999999999999996,80.0
bgr_coverage,11,0.0,0.0,1.0,0.0
bgr_coverage,11,0.8333333333333334,0.4416666666666667,0.11999999999999995,20.0
bgr_coverage,11,0.08333333333333333,0.125,1.0,40.0
bgr_coverage,11,1.0,0.7361111111111112,0.31999999999999995,60.0
bgr_coverage,11,0.9166666666666666,0.7527777777777778,0.41999999999999993,80.0
bgr_coverage,12,0.0,0.01111111111111111,1.0,0.0
bgr_coverage,12,0.8333333333333334,0.42500000000000004,0.11999999999999995,20.0
bgr_coverage,12,1.0,0.7083333333333334,0.31999999999999995,40.0
bgr_coverage,12,1.0,0.6972222222222222,0.31999999999999995,60.0
bgr_coverage,12,0.9166666666666666,0.7166666666666667,0.31999999999999995,80.0
bgr_coverage,13,0.08333333333333333,0.04722222222222222,1.0,0.0
bgr_coverage,13,0.25,0.3,1.0,20.0
bgr_coverage,13,0.5,0.33055555555555555,0.5599999999999999,40.0
bgr_coverage,13,1.0,0.763888888888889,0.5199999999999999,60.0
bgr_coverage,13,1.0,0.7250000000000001,0.21999999999999995,80.0
bgr_coverage,14,0.08333333333333333,0.05555555555555555,1.0,0.0
bgr_coverage,14,1.0,0.6833333333333333,0.31999999999999995,20.0
bgr_coverage,14,0.9166666666666666,0.6527777777777778,0.31999999999999995,40.0
bgr_coverage,14,0.9166666666666666,0.7055555555555556,0.41999999999999993,60.0
bgr_coverage,14,0.9166666666666666,0.7138888888888889,0.38999999999999996,80.0
bgr_coverage,15,0.08333333333333333,0.03888888888888888,1.0,0.0
bgr_coverage,15,0.4166666666666667,0.3361111111111111,1.0,20.0
bgr_coverage,15,0.75,0.6361111111111112,0.82,40.0
bgr_coverage,15,0.6666666666666666,0.6555555555555556,0.6199999999999999,60.0
bgr_coverage,15,1.0,0.7416666666666667,0.41999999999999993,80.0
bgr_coverage,16,0.0,0.025,1.0,0.0
bgr_coverage,16,0.75,0.5000000000000001,0.29,20.0
bgr_coverage,16,0.9166666666666666,0.6722222222222222,0.31999999999999995,40.0
bgr_coverage,16,1.0,0.8166666666666667,0.72,60.0
bgr_coverage,16,0.9166666666666666,0.7527777777777778,0.41999999999999993,80.0
bgr_coverage,17,0.0,0.022222222222222223,1.0,0.0
bgr_coverage,17,0.6666666666666666,0.5666666666666667,0.6199999999999999,20.0
bgr_coverage,17,0.5,0.41944444444444445,0.86,40.0
bgr_coverage,17,0.6666666666666666,0.6472222222222221,0.72,60.0
bgr_coverage,17,1.0,0.775,0.41999999999999993,80.0
bgr_coverage,18,0.0,0.0,1.0,0.0
bgr_coverage,18,0.5,0.3611111111111111,0.76,20.0
bgr_coverage,18,1.0,0.7222222222222222,0.31999999999999995,40.0
bgr_coverage,18,0.6666666666666666,0.6138888888888889,0.6599999999999999,60.0
bgr_coverage,18,1.0,0.7611111111111111,0.31999999999999995,80.0
bgr_coverage,19,0.0,0.0,1.0,0.0
bgr_coverage,19,0.5833333333333334,0.47777777777777775,0.59,20.0
bgr_coverage,19,0.9166666666666666,0.7111111111111111,0.41999999999999993,40.0
bgr_coverage,19,1.0,0.7138888888888889,0.31999999999999995,60.0
bgr_coverage,19,1.0,0.7555555555555555,0.31999999999999995,80.0
bgr_coverage,20,0.0,0.016666666666666666,1.0,0.0
bgr_coverage,20,0.6666666666666666,0.638888888888889,0.9199999999999999,20.0
bgr_coverage,20,0.9166666666666666,0.6277777777777778,0.31999999999999995,40.0
bgr_coverage,20,0.9166666666666666,0.6583333333333333,0.29,60.0
bgr_coverage,20,1.0,0.7138888888888888,0.29,80.0
bgr_coverage,21,0.0,0.0,1.0,0.0
bgr_coverage,21,0.5833333333333334,0.4916666666666667,0.6199999999999999,20.0
bgr_coverage,21,0.75,0.5861111111111111,0.59,40.0
bgr_coverage,21,0.9166666666666666,0.736111111111111,0.41999999999999993,60.0
bgr_coverage,21,1.0,0.7111111111111111,0.31999999999999995,80.0
bgr_coverage,22,0.0,0.005555555555555556,1.0,0.0
bgr_coverage,22,0.9166666666666666,0.5805555555555556,0.21999999999999995,20.0
bgr_coverage,22,0.9166666666666666,0.6916666666666665,0.31999999999999995,40.0
bgr_coverage,22,1.0,0.7694444444444444,0.31999999999999995,60.0
bgr_coverage,22,0.9166666666666666,0.736111111111111,0.31999999999999995,80.0
bgr_coverage,23,0.0,0.0,1.0,0.0
bgr_coverage,23,0.75,0.5750000000000001,0.41999999999999993,20.0
bgr_coverage,23,0.5,0.513888888888889,0.96,40.0
bgr_coverage,23,0.8333333333333334,0.6055555555555556,0.41999999999999993,60.0
bgr_coverage,23,1.0,0.7472222222222221,0.31999999999999995,80.0
bgr_coverage,24,0.08333333333333333,0.08888888888888888,1.0,0.0
bgr_coverage,24,0.6666666666666666,0.5555555555555556,0.48999999999999994,20.0
bgr_coverage,24,0.9166666666666666,0.7,0.31999999999999995,40.0
bgr_coverage,24,1.0,0.7555555555555554,0.48999999999999994,60.0
bgr_coverage,24,1.0,0.75,0.31999999999999995,80.0
bgr_coverage,25,0.0,0.0,1.0,0.0
bgr_coverage,25,0.5833333333333334,0.513888888888889,0.72,20.0
bgr_coverage,25,0.9166666666666666,0.725,0.31999999999999995,40.0
bgr_coverage,25,0.9166666666666666,0.7194444444444444,0.48999999999999994,60.0
bgr_coverage,25,0.9166666666666666,0.7,0.38,80.0
bgr_coverage,26,0.0,0.0,1.0,0.0
bgr_coverage,26,0.08333333333333333,0.1611111111111111,1.0,20.0
bgr_coverage,26,0.8333333333333334,0.6833333333333332,0.52,40.0
bgr_coverage,26,0.8333333333333334,0.6583333333333333,0.31999999999999995,60.0
bgr_coverage,26,1.0,0.725,0.31999999999999995,80.0
bgr_coverage,27,0.0,0.0,1.0,0.0
bgr_coverage,27,0.8333333333333334,0.575,0.31999999999999995,20.0
bgr_coverage,27,0.6666666666666666,0.5416666666666666,0.21999999999999995,40.0
bgr_coverage,27,1.0,0.7444444444444444,0.31999999999999995,60.0
bgr_coverage,27,1.0,0.7638888888888888,0.31999999999999995,80.0
bgr_coverage,28,0.0,0.0,1.0,0.0
bgr_coverage,28,0.4166666666666667,0.20833333333333334,1.0,20.0
bgr_coverage,28,1.0,0.6916666666666667,0.29,40.0
bgr_coverage,28,0.9166666666666666,0.6666666666666666,0.11999999999999995,60.0
bgr_coverage,28,0.9166666666666666,0.6944444444444444,0.41999999999999993,80.0
bgr_coverage,29,0.0,0.005555555555555556,1.0,0.0
bgr_coverage,29,1.0,0.7027777777777778,0.31999999999999995,20.0
bgr_coverage,29,1.0,0.736111111111111,0.41999999999999993,40.0
bgr_coverage,29,0.75,0.6055555555555555,0.6199999999999999,60.0
bgr_coverage,29,1.0,0.7777777777777779,0.5899999999999999,80.0
bgr_uniform_radius,0,0.0,0.02222222222222222,1.0,0.0
bgr_uniform_radius,0,1.0,0.7166666666666667,0.31999999999999995,20.0
bgr_uniform_radius,0,0.08333333333333333,0.1138888888888889,1.0,40.0
bgr_uniform_radius,0,0.9166666666666666,0.7555555555555554,0.5199999999999999,60.0
bgr_uniform_radius,0,0.9166666666666666,0.75,0.52,80.0
bgr_uniform_radius,1,0.0,0.0,1.0,0.0
bgr_uniform_radius,1,0.5833333333333334,0.45555555555555555,0.21999999999999995,20.0
bgr_uniform_radius,1,0.9166666666666666,0.7111111111111111,0.48,40.0
bgr_uniform_radius,1,0.9166666666666666,0.7694444444444444,0.6199999999999999,60.0
bgr_uniform_radius,1,1.0,0.7472222222222222,0.31999999999999995,80.0
bgr_uniform_radius,2,0.0,0.0,1.0,0.0
bgr_uniform_radius,2,0.9166666666666666,0.6166666666666667,0.41999999999999993,20.0
bgr_uniform_radius,2,1.0,0.7055555555555556,0.31999999999999995,40.0
bgr_uniform_radius,2,1.0,0.7694444444444445,0.31999999999999995,60.0
bgr_uniform_radius,2,1.0,0.7472222222222222,0.41999999999999993,80.0
bgr_uniform_radius,3,0.0,0.0,1.0,0.0
bgr_uniform_radius,3,0.08333333333333333,0.05833333333333333,1.0,20.0
bgr_uniform_radius,3,0.75,0.5777777777777778,0.6199999999999999,40.0
bgr_uniform_radius,3,1.0,0.7611111111111112,0.18999999999999997,60.0
bgr_uniform_radius,3,0.8333333333333334,0.6833333333333332,0.41999999999999993,80.0
bgr_uniform_radius,4,0.25,0.15833333333333333,1.0,0.0
bgr_uniform_radius,4,0.5,0.4333333333333333,0.86,20.0
bgr_uniform_radius,4,0.9166666666666666,0.6972222222222222,0.5199999999999999,40.0
bgr_uniform_radius,4,0.9166666666666666,0.775,0.5199999999999999,60.0
bgr_uniform_radius,4,1.0,0.7194444444444444,0.38999999999999996,80.0
bgr_uniform_radius,5,0.08333333333333333,0.03333333333333333,1.0,0.0
bgr_uniform_radius,5,0.8333333333333334,0.5972222222222222,0.31999999999999995,20.0
bgr_uniform_radius,5,1.0,0.7555555555555555,0.48999999999999994,40.0
bgr_uniform_radius,5,0.9166666666666666,0.7361111111111112,0.52,60.0
