method,seed,clean,rauc,median_r80,step
uniform,0,0.0,0.02222222222222222,1.0,0.0
uniform,0,0.4166666666666667,0.3638888888888889,1.0,20.0
uniform,0,0.3333333333333333,0.3527777777777778,1.0,40.0
uniform,0,0.25,0.2722222222222222,1.0,60.0
uniform,0,1.0,0.7361111111111112,0.29,80.0
uniform,1,0.0,0.0,1.0,0.0
uniform,1,0.5833333333333334,0.49444444444444446,0.59,20.0
uniform,1,0.75,0.5611111111111111,0.41999999999999993,40.0
uniform,1,1.0,0.7277777777777777,0.31999999999999995,60.0
uniform,1,0.9166666666666666,0.7805555555555556,0.31999999999999995,80.0
uniform,2,0.0,0.0,1.0,0.0
uniform,2,0.5,0.5416666666666667,0.86,20.0
uniform,2,0.75,0.5277777777777778,0.11999999999999995,40.0
uniform,2,1.0,0.6583333333333333,0.18999999999999997,60.0
uniform,2,0.16666666666666666,0.19722222222222222,1.0,80.0
uniform,3,0.0,0.0,1.0,0.0
uniform,3,0.75,0.5694444444444444,0.11999999999999995,20.0
uniform,3,0.9166666666666666,0.638888888888889,0.31999999999999995,40.0
uniform,3,0.9166666666666666,0.7083333333333334,0.31999999999999995,60.0
uniform,3,1.0,0.775,0.31999999999999995,80.0
fixed,0,0.0,0.02222222222222222,1.0,0.0
fixed,0,1.0,0.7388888888888889,0.31999999999999995,20.0
fixed,0,0.16666666666666666,0.3111111111111111,1.0,40.0
fixed,0,0.8333333333333334,0.6361111111111112,0.5199999999999999,60.0
fixed,0,1.0,0.7777777777777778,0.41999999999999993,80.0
fixed,1,0.0,0.0,1.0,0.0
fixed,1,1.0,0.6361111111111111,0.11999999999999995,20.0
fixed,1,0.8333333333333334,0.6805555555555555,0.41999999999999993,40.0
fixed,1,0.6666666666666666,0.5555555555555556,0.36,60.0
fixed,1,0.75,0.7111111111111111,0.41999999999999993,80.0
fixed,2,0.0,0.0,1.0,0.0
fixed,2,0.8333333333333334,0.6055555555555556,0.31999999999999995,20.0
fixed,2,0.9166666666666666,0.7555555555555555,0.31999999999999995,40.0
fixed,2,0.9166666666666666,0.7027777777777778,0.41999999999999993,60.0
fixed,2,1.0,0.7305555555555556,0.11999999999999995,80.0
fixed,3,0.0,0.0,1.0,0.0
fixed,3,1.0,0.6972222222222222,0.31999999999999995,20.0
fixed,3,0.8333333333333334,0.6194444444444445,0.31999999999999995,40.0
fixed,3,0.9166666666666666,0.6916666666666665,0.29,60.0
fixed,3,0.9166666666666666,0.7305555555555555,0.41999999999999993,80.0
failure_only,0,0.0,0.02222222222222222,1.0,0.0
failure_only,0,0.6666666666666666,0.5611111111111111,0.31999999999999995,20.0
failure_only,0,0.9166666666666666,0.6555555555555556,0.21999999999999995,40.0
failure_only,0,0.5833333333333334,0.46944444444444444,0.41999999999999993,60.0
failure_only,0,1.0,0.7027777777777778,0.21999999999999995,80.0
failure_only,1,0.0,0.0,1.0,0.0
failure_only,1,0.6666666666666666,0.638888888888889,0.6199999999999999,20.0
failure_only,1,0.9166666666666666,0.6388888888888888,0.21999999999999995,40.0
failure_only,1,0.75,0.4416666666666667,0.18999999999999997,60.0
failure_only,1,0.9166666666666666,0.6416666666666666,0.21999999999999995,80.0
failure_only,2,0.0,0.0,1.0,0.0
failure_only,2,0.5,0.5888888888888889,0.9299999999999999,20.0
failure_only,2,0.25,0.22222222222222218,1.0,40.0
failure_only,2,1.0,0.7166666666666667,0.31999999999999995,60.0
failure_only,2,0.8333333333333334,0.675,0.41999999999999993,80.0
failure_only,3,0.0,0.0,1.0,0.0
failure_only,3,0.8333333333333334,0.5555555555555556,0.31999999999999995,20.0
failure_only,3,1.0,0.6916666666666665,0.11999999999999995,40.0
failure_only,3,1.0,0.7416666666666667,0.31999999999999995,60.0
failure_only,3,1.0,0.7000000000000001,0.29,80.0
td_loss,0,0.0,0.02222222222222222,1.0,0.0
td_loss,0,1.0,0.6777777777777777,0.21999999999999995,20.0
td_loss,0,0.6666666666666666,0.6000000000000001,0.72,40.0
td_loss,0,0.6666666666666666,0.40277777777777773,0.11999999999999995,60.0
td_loss,0,0.8333333333333334,0.7166666666666668,0.5199999999999999,80.0
td_loss,1,0.0,0.0,1.0,0.0
td_loss,1,0.8333333333333334,0.6138888888888889,0.48999999999999994,20.0
td_loss,1,1.0,0.6972222222222222,0.41999999999999993,40.0
td_loss,1,0.5833333333333334,0.5333333333333334,0.59,60.0
td_loss,1,0.9166666666666666,0.6805555555555555,0.29,80.0
td_loss,2,0.0,0.0,1.0,0.0
td_loss,2,0.8333333333333334,0.5694444444444445,0.11999999999999995,20.0
td_loss,2,0.6666666666666666,0.4611111111111111,0.21999999999999995,40.0
td_loss,2,1.0,0.7583333333333333,0.31999999999999995,60.0
td_loss,2,1.0,0.7555555555555555,0.48,80.0
td_loss,3,0.0,0.0,1.0,0.0
td_loss,3,1.0,0.6805555555555556,0.21999999999999995,20.0
td_loss,3,0.75,0.625,0.41999999999999993,40.0
td_loss,3,1.0,0.7111111111111111,0.21999999999999995,60.0
td_loss,3,0.9166666666666666,0.7166666666666668,0.31999999999999995,80.0
bgr_uniform_radius,0,0.0,0.02222222222222222,1.0,0.0
bgr_uniform_radius,0,0.9166666666666666,0.725,0.31999999999999995,20.0
bgr_uniform_radius,0,1.0,0.6694444444444445,0.31999999999999995,40.0
bgr_uniform_radius,0,1.0,0.736111111111111,0.31999999999999995,60.0
bgr_uniform_radius,0,1.0,0.7611111111111112,0.31999999999999995,80.0
bgr_uniform_radius,1,0.0,0.0,1.0,0.0
bgr_uniform_radius,1,0.5833333333333334,0.44444444444444453,0.41999999999999993,20.0
bgr_uniform_radius,1,0.75,0.5611111111111111,0.69,40.0
bgr_uniform_radius,1,0.8333333333333334,0.7166666666666667,0.31999999999999995,60.0
bgr_uniform_radius,1,0.75,0.6972222222222223,0.5199999999999999,80.0
bgr_uniform_radius,2,0.0,0.0,1.0,0.0
bgr_uniform_radius,2,0.75,0.6,0.21999999999999995,20.0
bgr_uniform_radius,2,0.75,0.6194444444444445,0.58,40.0
bgr_uniform_radius,2,0.75,0.7,0.78,60.0
bgr_uniform_radius,2,0.9166666666666666,0.7083333333333333,0.31999999999999995,80.0
bgr_uniform_radius,3,0.0,0.0,1.0,0.0
bgr_uniform_radius,3,0.9166666666666666,0.6472222222222221,0.31999999999999995,20.0
bgr_uniform_radius,3,0.9166666666666666,0.6,0.11999999999999995,40.0
bgr_uniform_radius,3,1.0,0.7277777777777777,0.31999999999999995,60.0
bgr_uniform_radius,3,1.0,0.6972222222222221,0.21999999999999995,80.0
bgr_coverage,0,0.0,0.02222222222222222,1.0,0.0
bgr_coverage,0,0.9166666666666666,0.5777777777777778,0.11999999999999995,20.0
bgr_coverage,0,1.0,0.6888888888888889,0.31999999999999995,40.0
bgr_coverage,0,0.8333333333333334,0.6333333333333333,0.31999999999999995,60.0
bgr_coverage,0,1.0,0.75,0.31999999999999995,80.0
bgr_coverage,1,0.0,0.0,1.0,0.0
bgr_coverage,1,0.75,0.4472222222222222,0.21999999999999995,20.0
bgr_coverage,1,0.5,0.33888888888888885,0.76,40.0
bgr_coverage,1,1.0,0.5972222222222223,0.11999999999999995,60.0
bgr_coverage,1,1.0,0.7305555555555555,0.41999999999999993,80.0
bgr_coverage,2,0.0,0.0,1.0,0.0
bgr_coverage,2,0.9166666666666666,0.5972222222222222,0.11999999999999995,20.0
bgr_coverage,2,0.6666666666666666,0.4583333333333333,0.21999999999999995,40.0
bgr_coverage,2,0.9166666666666666,0.7333333333333334,0.31999999999999995,60.0
bgr_coverage,2,1.0,0.763888888888889,0.41999999999999993,80.0
bgr_coverage,3,0.0,0.0,1.0,0.0
bgr_coverage,3,0.25,0.24166666666666667,1.0,20.0
bgr_coverage,3,1.0,0.6583333333333333,0.21999999999999995,40.0
bgr_coverage,3,1.0,0.6805555555555556,0.29,60.0
bgr_coverage,3,0.9166666666666666,0.7555555555555555,0.5199999999999999,80.0
bgr,0,0.0,0.02222222222222222,1.0,0.0
bgr,0,0.75,0.6361111111111112,0.52,20.0
bgr,0,0.8333333333333334,0.7138888888888889,0.5899999999999999,40.0
bgr,0,0.8333333333333334,0.6777777777777777,0.41999999999999993,60.0
bgr,0,0.75,0.5611111111111111,0.41999999999999993,80.0
bgr,1,0.0,0.0,1.0,0.0
bgr,1,0.9166666666666666,0.5916666666666667,0.18999999999999997,20.0
bgr,1,1.0,0.6749999999999999,0.11999999999999995,40.0
bgr,1,0.6666666666666666,0.6222222222222223,0.69,60.0
bgr,1,1.0,0.7527777777777777,0.41999999999999993,80.0
bgr,2,0.0,0.0,1.0,0.0
bgr,2,0.5833333333333334,0.5361111111111111,0.6199999999999999,20.0
bgr,2,0.6666666666666666,0.6333333333333333,0.79,40.0
bgr,2,1.0,0.7305555555555555,0.41999999999999993,60.0
bgr,2,0.9166666666666666,0.713888888888889,0.31999999999999995,80.0
bgr,3,0.0,0.0,1.0,0.0
bgr,3,1.0,0.7416666666666667,0.48,20.0
bgr,3,0.8333333333333334,0.6027777777777779,0.21999999999999995,40.0
bgr,3,1.0,0.7305555555555555,0.21999999999999995,60.0
bgr,3,0.75,0.5638888888888889,0.38999999999999996,80.0
