method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.7361111111111112,0.29,0.3420138888888889,0.7361111111111112
uniform,1,0.9166666666666666,0.7805555555555556,0.31999999999999995,0.5434027777777777,0.7805555555555556
uniform,2,0.16666666666666666,0.19722222222222222,1.0,0.4565972222222222,0.6583333333333333
uniform,3,1.0,0.775,0.31999999999999995,0.5760416666666667,0.775
fixed,0,1.0,0.7777777777777778,0.41999999999999993,0.5215277777777778,0.7777777777777778
fixed,1,0.75,0.7111111111111111,0.41999999999999993,0.5569444444444444,0.7111111111111111
fixed,2,1.0,0.7305555555555556,0.11999999999999995,0.6072916666666667,0.7555555555555555
fixed,3,0.9166666666666666,0.7305555555555555,0.41999999999999993,0.5934027777777777,0.7305555555555555
failure_only,0,1.0,0.7027777777777778,0.21999999999999995,0.5121527777777778,0.7027777777777778
failure_only,1,0.9166666666666666,0.6416666666666666,0.21999999999999995,0.5100694444444445,0.6416666666666666
failure_only,2,0.8333333333333334,0.675,0.41999999999999993,0.46631944444444445,0.7166666666666667
failure_only,3,1.0,0.7000000000000001,0.29,0.5847222222222224,0.7416666666666667
td_loss,0,0.8333333333333334,0.7166666666666668,0.5199999999999999,0.5125,0.7166666666666668
td_loss,1,0.9166666666666666,0.6805555555555555,0.29,0.5461805555555556,0.6972222222222222
td_loss,2,1.0,0.7555555555555555,0.48,0.5416666666666667,0.7583333333333333
td_loss,3,0.9166666666666666,0.7166666666666668,0.31999999999999995,0.59375,0.7166666666666668
bgr_uniform_radius,0,1.0,0.7611111111111112,0.31999999999999995,0.6305555555555554,0.7611111111111112
bgr_uniform_radius,1,0.75,0.6972222222222223,0.5199999999999999,0.5177083333333334,0.7166666666666667
bgr_uniform_radius,2,0.9166666666666666,0.7083333333333333,0.31999999999999995,0.5684027777777778,0.7083333333333333
bgr_uniform_radius,3,1.0,0.6972222222222221,0.21999999999999995,0.5809027777777778,0.7277777777777777
bgr_coverage,0,1.0,0.75,0.31999999999999995,0.5715277777777777,0.75
bgr_coverage,1,1.0,0.7305555555555555,0.41999999999999993,0.4371527777777778,0.7305555555555555
bgr_coverage,2,1.0,0.763888888888889,0.41999999999999993,0.5427083333333333,0.763888888888889
bgr_coverage,3,0.9166666666666666,0.7555555555555555,0.5199999999999999,0.48958333333333337,0.7555555555555555
bgr,0,0.75,0.5611111111111111,0.41999999999999993,0.579861111111111,0.7138888888888889
bgr,1,1.0,0.7527777777777777,0.41999999999999993,0.5663194444444445,0.7527777777777777
bgr,2,0.9166666666666666,0.713888888888889,0.31999999999999995,0.564236111111111,0.7305555555555555
bgr,3,0.75,0.5638888888888889,0.38999999999999996,0.5892361111111112,0.7416666666666667
