seed,sigma,success,terminal,steps,reward,checkpoint_player_x,checkpoint_player_y,perturbed_player_x,perturbed_player_y
0,0.0,1,0,60,2,5,5,5,5
0,1.0,1,0,60,2,5,5,6,5
0,2.0,1,0,60,2,5,5,6,4
0,3.0,1,0,60,2,5,5,2,4
0,4.0,1,0,60,2,5,5,4,1
0,5.0,1,0,60,2,5,5,5,1
0,6.0,0,1,11,0,5,5,0,8
0,7.0,1,0,60,2,5,5,9,1
0,8.0,0,1,11,0,5,5,1,8
1,0.0,1,0,60,1,8,3,8,3
1,1.0,1,0,60,1,8,3,9,3
1,2.0,1,0,60,1,8,3,9,1
1,3.0,1,0,60,1,8,3,9,5
1,4.0,1,0,60,1,8,3,9,6
1,5.0,1,0,60,1,8,3,3,4
1,6.0,1,0,60,1,8,3,9,1
1,7.0,1,0,60,1,8,3,9,1
1,8.0,0,1,41,0,8,3,0,5
2,0.0,0,0,60,0,8,5,8,5
2,1.0,0,0,60,0,8,5,9,5
2,2.0,0,0,60,0,8,5,9,5
2,3.0,0,1,21,0,8,5,9,7
2,4.0,0,0,60,0,8,5,9,1
2,5.0,0,0,60,0,8,5,4,3
2,6.0,0,0,60,0,8,5,2,4
2,7.0,0,0,60,0,8,5,8,1
2,8.0,0,0,60,0,8,5,4,1
3,0.0,1,0,60,2,5,5,5,5
3,1.0,0,1,21,1,5,5,4,5
3,2.0,0,1,21,1,5,5,3,5
3,3.0,1,0,60,2,5,5,8,5
3,4.0,1,0,60,2,5,5,7,2
3,5.0,0,1,21,1,5,5,0,3
3,6.0,0,1,21,1,5,5,0,6
3,7.0,1,0,60,3,5,5,9,6
3,8.0,0,1,1,0,5,5,9,4
4,0.0,1,0,60,3,5,5,5,5
4,1.0,1,0,60,3,5,5,5,6
4,2.0,1,0,60,3,5,5,7,6
4,3.0,1,0,60,3,5,5,2,6
4,4.0,1,0,60,3,5,5,1,6
4,5.0,1,0,60,3,5,5,6,8
4,6.0,1,0,60,3,5,5,8,8
4,7.0,1,0,60,3,5,5,9,7
4,8.0,1,0,60,3,5,5,2,1
5,0.0,1,0,60,1,5,5,5,5
5,1.0,1,0,60,1,5,5,4,5
5,2.0,1,0,60,1,5,5,7,5
5,3.0,1,0,60,1,5,5,3,7
5,4.0,1,0,60,1,5,5,8,2
5,5.0,1,0,60,1,5,5,8,1
5,6.0,0,1,1,0,5,5,0,2
5,7.0,1,0,60,1,5,5,6,8
5,8.0,1,0,60,1,5,5,9,1
6,0.0,1,0,60,2,5,5,5,5
6,1.0,1,0,60,2,5,5,5,4
6,2.0,1,0,60,2,5,5,4,3
6,3.0,1,0,60,2,5,5,6,8
6,4.0,0,1,21,0,5,5,8,7
6,5.0,1,0,60,2,5,5,0,3
6,6.0,1,0,60,2,5,5,9,4
6,7.0,1,0,60,2,5,5,9,8
6,8.0,1,0,60,2,5,5,7,8
7,0.0,1,0,60,3,5,5,5,5
7,1.0,1,0,60,3,5,5,4,6
7,2.0,1,0,60,3,5,5,7,4
7,3.0,1,0,60,3,5,5,7,3
7,4.0,1,0,60,3,5,5,4,1
7,5.0,1,0,60,3,5,5,0,6
7,6.0,1,0,60,3,5,5,0,7
7,7.0,1,0,60,3,5,5,9,3
7,8.0,1,0,60,3,5,5,9,1
8,0.0,1,0,60,3,5,5,5,5
8,1.0,1,0,60,3,5,5,6,5
8,2.0,1,0,60,3,5,5,6,7
8,3.0,1,0,60,3,5,5,4,2
8,4.0,1,0,60,3,5,5,7,8
8,5.0,1,0,60,3,5,5,0,5
8,6.0,1,0,60,3,5,5,8,8
8,7.0,1,0,60,3,5,5,0,8
8,8.0,1,0,60,3,5,5,4,8
9,0.0,1,0,60,1,5,5,5,5
9,1.0,1,0,60,1,5,5,6,5
9,2.0,1,0,60,1,5,5,4,7
9,3.0,0,0,60,0,5,5,5,2
9,4.0,1,0,60,1,5,5,2,8
9,5.0,1,0,60,1,5,5,6,1
9,6.0,0,0,60,0,5,5,2,1
9,7.0,1,0,60,1,5,5,1,8
9,8.0,0,0,60,0,5,5,0,1
10,0.0,0,0,60,0,8,7,8,7
10,1.0,0,0,60,0,8,7,8,8
10,2.0,0,0,60,0,8,7,9,6
10,3.0,0,0,60,0,8,7,9,6
10,4.0,0,0,60,0,8,7,5,5
10,5.0,0,0,60,0,8,7,9,8
10,6.0,0,0,60,0,8,7,9,5
10,7.0,0,0,60,0,8,7,4,8
10,8.0,0,0,60,0,8,7,9,8
11,0.0,1,0,60,2,5,5,5,5
11,1.0,1,0,60,2,5,5,5,6
11,2.0,1,0,60,2,5,5,7,4
11,3.0,1,0,60,2,5,5,4,8
11,4.0,1,0,60,2,5,5,7,8
11,5.0,1,0,60,2,5,5,0,7
11,6.0,1,0,60,2,5,5,0,2
11,7.0,1,0,60,2,5,5,2,8
11,8.0,1,0,60,2,5,5,3,8
