method,seed,step,clean,rauc,median_r80
uniform,0,0.0,0.9,0.76875,6.6
uniform,0,20.0,0.9,0.73125,3.7
uniform,0,40.0,0.7,0.71875,6.6
uniform,0,60.0,1.0,0.85,6.2
uniform,0,80.0,1.0,0.85,6.2
uniform,1,0.0,1.0,0.75625,4.7
uniform,1,20.0,1.0,0.8125,4.7
uniform,1,40.0,0.9,0.76875,5.2
uniform,1,60.0,1.0,0.85,6.2
uniform,1,80.0,1.0,0.85,6.2
uniform,2,0.0,0.9,0.75625,6.6
uniform,2,20.0,1.0,0.8375,5.2
uniform,2,40.0,1.0,0.825,5.2
uniform,2,60.0,1.0,0.8,5.2
uniform,2,80.0,1.0,0.85,5.2
uniform,3,0.0,1.0,0.775,6.2
uniform,3,20.0,1.0,0.8375,5.2
uniform,3,40.0,0.9,0.78125,6.6
uniform,3,60.0,1.0,0.8125,6.2
uniform,3,80.0,1.0,0.74375,4.2
fixed,0,0.0,0.9,0.76875,6.6
fixed,0,20.0,1.0,0.7875,5.2
fixed,0,40.0,1.0,0.8,2.2
fixed,0,60.0,0.9,0.73125,3.7
fixed,0,80.0,1.0,0.8,2.2
fixed,1,0.0,1.0,0.75625,4.7
fixed,1,20.0,0.9,0.75625,5.2
fixed,1,40.0,1.0,0.8375,5.2
fixed,1,60.0,1.0,0.825,5.2
fixed,1,80.0,0.9,0.78125,5.2
fixed,2,0.0,0.9,0.75625,6.6
fixed,2,20.0,0.7,0.71875,6.6
fixed,2,40.0,0.7,0.74375,6.6
fixed,2,60.0,0.9,0.75625,3.7
fixed,2,80.0,0.9,0.76875,3.7
fixed,3,0.0,1.0,0.775,6.2
fixed,3,20.0,1.0,0.8375,5.2
fixed,3,40.0,1.0,0.825,4.2
fixed,3,60.0,0.9,0.74375,3.7
fixed,3,80.0,0.9,0.74375,3.7
failure_only,0,0.0,0.9,0.76875,6.6
failure_only,0,20.0,1.0,0.7875,6.2
failure_only,0,40.0,1.0,0.8625,6.2
failure_only,0,60.0,1.0,0.8625,6.2
failure_only,0,80.0,1.0,0.8625,6.2
failure_only,1,0.0,1.0,0.75625,4.7
failure_only,1,20.0,1.0,0.7875,5.2
failure_only,1,40.0,1.0,0.85,6.2
failure_only,1,60.0,1.0,0.79375,6.2
failure_only,1,80.0,1.0,0.8625,6.2
failure_only,2,0.0,0.9,0.75625,6.6
failure_only,2,20.0,0.9,0.78125,6.6
failure_only,2,40.0,1.0,0.85,6.2
failure_only,2,60.0,1.0,0.8625,6.2
failure_only,2,80.0,1.0,0.8625,6.2
failure_only,3,0.0,1.0,0.775,6.2
failure_only,3,20.0,1.0,0.8,6.2
failure_only,3,40.0,1.0,0.8625,6.2
failure_only,3,60.0,0.9,0.78125,7.6
failure_only,3,80.0,1.0,0.8625,6.2
td_loss,0,0.0,0.9,0.76875,6.6
td_loss,0,20.0,1.0,0.8375,6.2
td_loss,0,40.0,1.0,0.8375,6.2
td_loss,0,60.0,1.0,0.825,6.2
td_loss,0,80.0,1.0,0.8,6.2
td_loss,1,0.0,1.0,0.75625,4.7
td_loss,1,20.0,0.7,0.74375,6.6
td_loss,1,40.0,1.0,0.8125,6.2
td_loss,1,60.0,1.0,0.8375,6.2
td_loss,1,80.0,1.0,0.7625,4.7
td_loss,2,0.0,0.9,0.75625,6.6
td_loss,2,20.0,1.0,0.825,6.2
td_loss,2,40.0,1.0,0.8375,6.2
td_loss,2,60.0,1.0,0.8375,6.2
td_loss,2,80.0,1.0,0.8125,5.2
td_loss,3,0.0,1.0,0.775,6.2
td_loss,3,20.0,1.0,0.8125,6.2
td_loss,3,40.0,1.0,0.7875,5.2
td_loss,3,60.0,1.0,0.8,6.2
td_loss,3,80.0,1.0,0.8375,6.2
bgr_uniform_radius,0,0.0,0.9,0.76875,6.6
bgr_uniform_radius,0,20.0,1.0,0.85,5.2
bgr_uniform_radius,0,40.0,0.9,0.75625,5.7
bgr_uniform_radius,0,60.0,1.0,0.8375,6.2
bgr_uniform_radius,0,80.0,1.0,0.8125,6.2
bgr_uniform_radius,1,0.0,1.0,0.75625,4.7
bgr_uniform_radius,1,20.0,1.0,0.825,5.2
bgr_uniform_radius,1,40.0,1.0,0.8375,6.2
bgr_uniform_radius,1,60.0,1.0,0.8375,5.2
bgr_uniform_radius,1,80.0,1.0,0.8375,5.2
bgr_uniform_radius,2,0.0,0.9,0.75625,6.6
bgr_uniform_radius,2,20.0,1.0,0.75625,4.7
bgr_uniform_radius,2,40.0,0.7,0.7375,8.0
bgr_uniform_radius,2,60.0,1.0,0.85,6.2
bgr_uniform_radius,2,80.0,1.0,0.85,6.2
bgr_uniform_radius,3,0.0,1.0,0.775,6.2
bgr_uniform_radius,3,20.0,1.0,0.85,6.2
bgr_uniform_radius,3,40.0,1.0,0.85,6.2
bgr_uniform_radius,3,60.0,1.0,0.85,6.2
bgr_uniform_radius,3,80.0,1.0,0.825,6.2
bgr_coverage,0,0.0,0.9,0.76875,6.6
bgr_coverage,0,20.0,1.0,0.71875,3.2
bgr_coverage,0,40.0,1.0,0.8,6.2
bgr_coverage,0,60.0,1.0,0.8375,6.2
bgr_coverage,0,80.0,1.0,0.8375,6.2
bgr_coverage,1,0.0,1.0,0.75625,4.7
bgr_coverage,1,20.0,0.4,0.4125,8.0
bgr_coverage,1,40.0,0.4,0.4125,8.0
bgr_coverage,1,60.0,1.0,0.825,5.2
bgr_coverage,1,80.0,1.0,0.85,6.2
bgr_coverage,2,0.0,0.9,0.75625,6.6
bgr_coverage,2,20.0,0.5,0.5875,8.0
bgr_coverage,2,40.0,0.9,0.81875,6.2
bgr_coverage,2,60.0,1.0,0.8125,6.2
bgr_coverage,2,80.0,1.0,0.8375,5.2
bgr_coverage,3,0.0,1.0,0.775,6.2
bgr_coverage,3,20.0,0.9,0.71875,5.2
bgr_coverage,3,40.0,1.0,0.8375,5.2
bgr_coverage,3,60.0,1.0,0.85,6.2
bgr_coverage,3,80.0,1.0,0.8375,6.2
bgr,0,0.0,0.9,0.76875,6.6
bgr,0,20.0,1.0,0.8375,5.2
bgr,0,40.0,1.0,0.825,5.2
bgr,0,60.0,1.0,0.7875,4.7
bgr,0,80.0,1.0,0.75625,3.7
bgr,1,0.0,1.0,0.75625,4.7
bgr,1,20.0,1.0,0.78125,5.2
bgr,1,40.0,0.8,0.69375,7.6
bgr,1,60.0,1.0,0.8375,6.2
bgr,1,80.0,1.0,0.825,5.2
bgr,2,0.0,0.9,0.75625,6.6
bgr,2,20.0,0.7,0.74375,7.6
bgr,2,40.0,1.0,0.8375,6.2
bgr,2,60.0,0.9,0.78125,6.2
bgr,2,80.0,1.0,0.8,6.2
bgr,3,0.0,1.0,0.775,6.2
bgr,3,20.0,1.0,0.8375,6.2
bgr,3,40.0,1.0,0.8125,6.2
