method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.85,6.2,0.77734375,0.85
uniform,1,1.0,0.85,6.2,0.80859375,0.85
uniform,2,1.0,0.85,5.2,0.81640625,0.85
uniform,3,1.0,0.74375,4.2,0.79765625,0.8375
fixed,0,1.0,0.8,2.2,0.77578125,0.8
fixed,1,0.9,0.78125,5.2,0.796875,0.8375
fixed,2,0.9,0.76875,3.7,0.7453125,0.76875
fixed,3,0.9,0.74375,3.7,0.79140625,0.8375
failure_only,0,1.0,0.8625,6.2,0.83203125,0.8625
failure_only,1,1.0,0.8625,6.2,0.81015625,0.8625
failure_only,2,1.0,0.8625,6.2,0.82578125,0.8625
failure_only,3,1.0,0.8625,6.2,0.815625,0.8625
td_loss,0,1.0,0.8,6.2,0.82109375,0.8375
td_loss,1,1.0,0.7625,4.7,0.78828125,0.8375
td_loss,2,1.0,0.8125,5.2,0.82109375,0.8375
td_loss,3,1.0,0.8375,6.2,0.8015625,0.8375
bgr_uniform_radius,0,1.0,0.8125,6.2,0.80859375,0.85
bgr_uniform_radius,1,1.0,0.8375,5.2,0.82421875,0.8375
bgr_uniform_radius,2,1.0,0.85,6.2,0.78671875,0.85
bgr_uniform_radius,3,1.0,0.825,6.2,0.8375,0.85
bgr_coverage,0,1.0,0.8375,6.2,0.78984375,0.8375
bgr_coverage,1,1.0,0.85,6.2,0.61328125,0.85
bgr_coverage,2,1.0,0.8375,5.2,0.75390625,0.8375
bgr_coverage,3,1.0,0.8375,6.2,0.803125,0.85
bgr,0,1.0,0.75625,3.7,0.803125,0.8375
bgr,1,1.0,0.825,5.2,0.77578125,0.8375
bgr,2,1.0,0.8,6.2,0.78515625,0.8375
bgr,3,1.0,0.8375,6.2,0.8265625,0.85
