seed,sigma,success,terminal,steps,reward,checkpoint_ball_x,checkpoint_ball_y,checkpoint_paddle_x,perturbed_paddle_x
0,0.0,1,0,80,7,4,7,3,3
0,1.0,1,0,80,7,4,7,3,4
0,2.0,1,0,80,7,4,7,3,5
0,3.0,1,0,80,7,4,7,3,6
0,4.0,1,0,80,7,4,7,3,7
0,5.0,1,0,80,7,4,7,3,8
1,0.0,1,0,80,7,5,7,6,6
1,1.0,1,0,80,7,5,7,6,5
1,2.0,1,0,80,7,5,7,6,4
1,3.0,1,0,80,7,5,7,6,3
1,4.0,1,0,80,7,5,7,6,2
1,5.0,1,0,80,7,5,7,6,1
2,0.0,1,0,80,7,4,7,3,3
2,1.0,1,0,80,7,4,7,3,4
2,2.0,1,0,80,7,4,7,3,5
2,3.0,1,0,80,7,4,7,3,6
2,4.0,1,0,80,7,4,7,3,7
2,5.0,1,0,80,7,4,7,3,8
3,0.0,1,0,80,7,4,7,3,3
3,1.0,0,1,2,0,4,7,3,2
3,2.0,0,1,2,0,4,7,3,1
3,3.0,0,1,2,0,4,7,3,0
3,4.0,0,1,2,0,4,7,3,0
3,5.0,0,1,2,0,4,7,3,0
4,0.0,1,0,80,7,4,7,3,3
4,1.0,1,0,80,7,4,7,3,4
4,2.0,1,0,80,7,4,7,3,5
4,3.0,1,0,80,7,4,7,3,6
4,4.0,1,0,80,7,4,7,3,7
4,5.0,1,0,80,7,4,7,3,8
5,0.0,1,0,80,7,5,7,6,6
5,1.0,1,0,80,7,5,7,6,5
5,2.0,1,0,80,7,5,7,6,4
5,3.0,1,0,80,7,5,7,6,3
5,4.0,1,0,80,7,5,7,6,2
5,5.0,1,0,80,7,5,7,6,1
6,0.0,1,0,80,7,4,7,3,3
6,1.0,1,0,80,7,4,7,3,4
6,2.0,1,0,80,7,4,7,3,5
6,3.0,1,0,80,7,4,7,3,6
6,4.0,1,0,80,7,4,7,3,7
6,5.0,1,0,80,7,4,7,3,8
7,0.0,1,0,80,7,5,7,6,6
7,1.0,1,0,80,7,5,7,6,5
7,2.0,1,0,80,7,5,7,6,4
7,3.0,1,0,80,7,5,7,6,3
7,4.0,1,0,80,7,5,7,6,2
7,5.0,1,0,80,7,5,7,6,1
8,0.0,1,0,80,7,5,7,6,6
8,1.0,0,1,2,0,5,7,6,7
8,2.0,0,1,2,0,5,7,6,8
8,3.0,0,1,2,0,5,7,6,9
8,4.0,0,1,2,0,5,7,6,9
8,5.0,0,1,2,0,5,7,6,9
9,0.0,1,0,80,7,4,7,3,3
9,1.0,0,1,2,0,4,7,3,2
9,2.0,0,1,2,0,4,7,3,1
9,3.0,0,1,2,0,4,7,3,0
9,4.0,0,1,2,0,4,7,3,0
9,5.0,0,1,2,0,4,7,3,0
10,0.0,1,0,80,7,5,7,6,6
10,1.0,0,1,2,0,5,7,6,7
10,2.0,0,1,2,0,5,7,6,8
10,3.0,0,1,2,0,5,7,6,9
10,4.0,0,1,2,0,5,7,6,9
10,5.0,0,1,2,0,5,7,6,9
11,0.0,1,0,80,7,5,7,6,6
11,1.0,1,0,80,7,5,7,6,5
11,2.0,1,0,80,7,5,7,6,4
11,3.0,1,0,80,7,5,7,6,3
11,4.0,1,0,80,7,5,7,6,2
11,5.0,1,0,80,7,5,7,6,1
