method,seed,step,clean,rauc,median_r80
uniform,0,0.0,0.0,0.0,5.0
uniform,0,20.0,1.0,0.8083333333333332,1.4
uniform,0,40.0,1.0,0.9166666666666666,5.0
uniform,0,60.0,1.0,0.9166666666666666,5.0
uniform,0,80.0,1.0,0.9166666666666666,5.0
uniform,1,0.0,0.0,0.0,5.0
uniform,1,20.0,1.0,0.6749999999999999,0.7999999999999999
uniform,1,40.0,1.0,0.8583333333333334,5.0
uniform,1,60.0,1.0,0.8583333333333334,5.0
uniform,1,80.0,1.0,0.8583333333333334,5.0
uniform,2,0.0,0.0,0.0,5.0
uniform,2,20.0,1.0,0.7833333333333333,1.4
uniform,2,40.0,1.0,0.9166666666666666,5.0
uniform,2,60.0,1.0,0.9166666666666666,5.0
uniform,2,80.0,1.0,0.9166666666666666,5.0
uniform,3,0.0,0.0,0.0,5.0
uniform,3,20.0,1.0,0.6749999999999999,1.2
uniform,3,40.0,1.0,0.8666666666666667,5.0
uniform,3,60.0,1.0,0.8666666666666667,5.0
uniform,3,80.0,1.0,0.8666666666666667,5.0
fixed,0,0.0,0.0,0.0,5.0
fixed,0,20.0,1.0,0.8083333333333332,1.4
fixed,0,40.0,1.0,0.8083333333333332,1.4
fixed,0,60.0,1.0,0.8166666666666668,1.4
fixed,0,80.0,1.0,0.8166666666666668,1.4
fixed,1,0.0,0.0,0.0,5.0
fixed,1,20.0,1.0,0.6749999999999999,0.7999999999999999
fixed,1,40.0,1.0,0.8583333333333334,5.0
fixed,1,60.0,1.0,0.8583333333333334,5.0
fixed,1,80.0,1.0,0.8583333333333334,5.0
fixed,2,0.0,0.0,0.0,5.0
fixed,2,20.0,1.0,0.7833333333333333,1.4
fixed,2,40.0,1.0,0.7833333333333333,1.4
fixed,2,60.0,1.0,0.7833333333333333,1.4
fixed,2,80.0,1.0,0.7833333333333333,1.4
fixed,3,0.0,0.0,0.0,5.0
fixed,3,20.0,1.0,0.6749999999999999,1.2
fixed,3,40.0,1.0,0.6916666666666668,1.2
fixed,3,60.0,1.0,0.8666666666666667,5.0
fixed,3,80.0,1.0,0.8666666666666667,5.0
failure_only,0,0.0,0.0,0.0,5.0
failure_only,0,20.0,1.0,0.8166666666666668,1.4
failure_only,0,40.0,1.0,0.9166666666666666,5.0
failure_only,0,60.0,1.0,0.9166666666666666,5.0
failure_only,0,80.0,1.0,0.9166666666666666,5.0
failure_only,1,0.0,0.0,0.0,5.0
failure_only,1,20.0,1.0,0.8583333333333334,5.0
failure_only,1,40.0,1.0,0.8583333333333334,5.0
failure_only,1,60.0,1.0,0.8583333333333334,5.0
failure_only,1,80.0,1.0,0.8583333333333334,5.0
failure_only,2,0.0,0.0,0.0,5.0
failure_only,2,20.0,1.0,0.9166666666666666,5.0
failure_only,2,40.0,1.0,0.9166666666666666,5.0
failure_only,2,60.0,1.0,0.9166666666666666,5.0
failure_only,2,80.0,1.0,0.9166666666666666,5.0
failure_only,3,0.0,0.0,0.0,5.0
failure_only,3,20.0,1.0,0.8666666666666667,5.0
failure_only,3,40.0,1.0,0.8666666666666667,5.0
failure_only,3,60.0,1.0,0.8666666666666667,5.0
failure_only,3,80.0,1.0,0.8666666666666667,5.0
td_loss,0,0.0,0.0,0.0,5.0
td_loss,0,20.0,1.0,0.8083333333333332,1.4
td_loss,0,40.0,1.0,0.8083333333333332,1.4
td_loss,0,60.0,1.0,0.875,1.4
td_loss,0,80.0,1.0,0.8166666666666668,1.4
td_loss,1,0.0,0.0,0.0,5.0
td_loss,1,20.0,1.0,0.6749999999999999,0.7999999999999999
td_loss,1,40.0,1.0,0.7333333333333334,0.7999999999999999
td_loss,1,60.0,1.0,0.8583333333333334,5.0
td_loss,1,80.0,1.0,0.8583333333333334,5.0
td_loss,2,0.0,0.0,0.0,5.0
td_loss,2,20.0,1.0,0.7833333333333333,1.4
td_loss,2,40.0,1.0,0.7833333333333333,1.4
td_loss,2,60.0,1.0,0.7833333333333333,1.4
td_loss,2,80.0,1.0,0.7833333333333333,1.4
td_loss,3,0.0,0.0,0.0,5.0
td_loss,3,20.0,1.0,0.6749999999999999,1.2
td_loss,3,40.0,1.0,0.8666666666666667,5.0
td_loss,3,60.0,1.0,0.8666666666666667,5.0
td_loss,3,80.0,1.0,0.8666666666666667,5.0
bgr_uniform_radius,0,0.0,0.0,0.0,5.0
bgr_uniform_radius,0,20.0,1.0,0.8083333333333332,1.4
bgr_uniform_radius,0,40.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,0,60.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,0,80.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,1,0.0,0.0,0.0,5.0
bgr_uniform_radius,1,20.0,1.0,0.6749999999999999,0.7999999999999999
bgr_uniform_radius,1,40.0,1.0,0.8583333333333334,5.0
bgr_uniform_radius,1,60.0,1.0,0.8583333333333334,5.0
bgr_uniform_radius,1,80.0,1.0,0.8583333333333334,5.0
bgr_uniform_radius,2,0.0,0.0,0.0,5.0
bgr_uniform_radius,2,20.0,1.0,0.7833333333333333,1.4
bgr_uniform_radius,2,40.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,2,60.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,2,80.0,1.0,0.9166666666666666,5.0
bgr_uniform_radius,3,0.0,0.0,0.0,5.0
bgr_uniform_radius,3,20.0,1.0,0.6749999999999999,1.2
bgr_uniform_radius,3,40.0,1.0,0.8666666666666667,5.0
bgr_uniform_radius,3,60.0,1.0,0.8666666666666667,5.0
bgr_uniform_radius,3,80.0,1.0,0.8666666666666667,5.0
bgr_coverage,0,0.0,0.0,0.0,5.0
