method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.9166666666666666,5.0,0.775,0.9166666666666666
uniform,1,1.0,0.8583333333333334,5.0,0.7052083333333334,0.8583333333333334
uniform,2,1.0,0.9166666666666666,5.0,0.76875,0.9166666666666666
uniform,3,1.0,0.8666666666666667,5.0,0.7104166666666667,0.8666666666666667
fixed,0,1.0,0.8166666666666668,1.4,0.7104166666666667,0.8166666666666668
fixed,1,1.0,0.8583333333333334,5.0,0.7052083333333334,0.8583333333333334
fixed,2,1.0,0.7833333333333333,1.4,0.6854166666666666,0.7833333333333333
fixed,3,1.0,0.8666666666666667,5.0,0.6666666666666667,0.8666666666666667
failure_only,0,1.0,0.9166666666666666,5.0,0.7770833333333333,0.9166666666666666
failure_only,1,1.0,0.8583333333333334,5.0,0.7510416666666668,0.8583333333333334
failure_only,2,1.0,0.9166666666666666,5.0,0.8020833333333333,0.9166666666666666
failure_only,3,1.0,0.8666666666666667,5.0,0.7583333333333335,0.8666666666666667
td_loss,0,1.0,0.8166666666666668,1.4,0.725,0.875
td_loss,1,1.0,0.8583333333333334,5.0,0.6739583333333334,0.8583333333333334
td_loss,2,1.0,0.7833333333333333,1.4,0.6854166666666666,0.7833333333333333
td_loss,3,1.0,0.8666666666666667,5.0,0.7104166666666667,0.8666666666666667
bgr_uniform_radius,0,1.0,0.9166666666666666,5.0,0.775,0.9166666666666666
bgr_uniform_radius,1,1.0,0.8583333333333334,5.0,0.7052083333333334,0.8583333333333334
bgr_uniform_radius,2,1.0,0.9166666666666666,5.0,0.76875,0.9166666666666666
bgr_uniform_radius,3,1.0,0.8666666666666667,5.0,0.7104166666666667,0.8666666666666667
bgr_coverage,0,1.0,0.9166666666666666,5.0,0.75,0.9166666666666666
bgr_coverage,1,1.0,0.8583333333333334,5.0,0.6739583333333334,0.8583333333333334
bgr_coverage,2,1.0,0.9166666666666666,5.0,0.76875,0.9166666666666666
bgr_coverage,3,1.0,0.8666666666666667,5.0,0.6937500000000001,0.8666666666666667
bgr,0,1.0,0.9166666666666666,5.0,0.7374999999999999,0.9166666666666666
bgr,1,1.0,0.8583333333333334,5.0,0.659375,0.8583333333333334
bgr,2,1.0,0.9166666666666666,5.0,0.7354166666666666,0.9166666666666666
bgr,3,1.0,0.8666666666666667,5.0,0.6624999999999999,0.8666666666666667
