seed,sigma,success,terminal,steps,reward,checkpoint_pos,perturbed_pos
0,0.0,1,0,30,1,3,3
0,1.0,1,0,30,1,3,4
0,2.0,1,0,30,1,3,5
0,3.0,1,0,30,1,3,6
0,4.0,1,0,30,1,3,7
0,5.0,0,0,30,0,3,8
0,6.0,0,0,30,0,3,9
0,7.0,0,0,30,0,3,9
0,8.0,0,0,30,0,3,9
0,9.0,0,0,30,0,3,9
1,0.0,1,0,30,1,3,3
1,1.0,1,0,30,1,3,4
1,2.0,0,0,30,0,3,5
1,3.0,0,0,30,0,3,6
1,4.0,1,0,30,1,3,7
1,5.0,1,0,30,1,3,8
1,6.0,1,0,30,1,3,9
1,7.0,1,0,30,1,3,9
1,8.0,1,0,30,1,3,9
1,9.0,1,0,30,1,3,9
2,0.0,1,0,30,1,3,3
2,1.0,1,0,30,1,3,4
2,2.0,1,0,30,1,3,5
2,3.0,1,0,30,1,3,6
2,4.0,1,0,30,1,3,7
2,5.0,0,0,30,0,3,8
2,6.0,0,0,30,0,3,9
2,7.0,0,0,30,0,3,9
2,8.0,0,0,30,0,3,9
2,9.0,0,0,30,0,3,9
3,0.0,1,0,30,1,4,4
3,1.0,1,0,30,1,4,5
3,2.0,0,0,30,0,4,6
3,3.0,0,0,30,0,4,7
3,4.0,0,0,30,0,4,8
3,5.0,0,0,30,0,4,9
3,6.0,0,0,30,0,4,9
3,7.0,0,0,30,0,4,9
3,8.0,0,0,30,0,4,9
3,9.0,0,0,30,0,4,9
4,0.0,0,0,30,0,4,4
4,1.0,0,0,30,0,4,5
4,2.0,1,0,30,1,4,6
4,3.0,1,0,30,1,4,7
4,4.0,1,0,30,1,4,8
4,5.0,1,0,30,1,4,9
4,6.0,1,0,30,1,4,9
4,7.0,1,0,30,1,4,9
4,8.0,1,0,30,1,4,9
4,9.0,1,0,30,1,4,9
5,0.0,0,0,30,0,8,8
5,1.0,0,0,30,0,8,9
5,2.0,0,0,30,0,8,9
5,3.0,0,0,30,0,8,9
5,4.0,0,0,30,0,8,9
5,5.0,0,0,30,0,8,9
5,6.0,0,0,30,0,8,9
5,7.0,0,0,30,0,8,9
5,8.0,0,0,30,0,8,9
5,9.0,0,0,30,0,8,9
6,0.0,1,0,30,1,4,4
6,1.0,1,0,30,1,4,5
6,2.0,1,0,30,1,4,6
6,3.0,0,0,30,0,4,7
6,4.0,0,0,30,0,4,8
6,5.0,0,0,30,0,4,9
6,6.0,0,0,30,0,4,9
6,7.0,0,0,30,0,4,9
6,8.0,0,0,30,0,4,9
6,9.0,0,0,30,0,4,9
7,0.0,1,0,30,1,6,6
7,1.0,1,0,30,1,6,7
7,2.0,1,0,30,1,6,8
7,3.0,1,0,30,1,6,9
7,4.0,1,0,30,1,6,9
7,5.0,1,0,30,1,6,9
7,6.0,1,0,30,1,6,9
7,7.0,1,0,30,1,6,9
7,8.0,1,0,30,1,6,9
7,9.0,1,0,30,1,6,9
8,0.0,1,0,30,1,6,6
8,1.0,1,0,30,1,6,7
8,2.0,1,0,30,1,6,8
8,3.0,1,0,30,1,6,9
8,4.0,1,0,30,1,6,9
8,5.0,1,0,30,1,6,9
8,6.0,1,0,30,1,6,9
8,7.0,1,0,30,1,6,9
8,8.0,1,0,30,1,6,9
8,9.0,1,0,30,1,6,9
9,0.0,1,0,30,1,4,4
9,1.0,1,0,30,1,4,5
9,2.0,1,0,30,1,4,6
9,3.0,0,0,30,0,4,7
9,4.0,0,0,30,0,4,8
9,5.0,0,0,30,0,4,9
9,6.0,0,0,30,0,4,9
9,7.0,0,0,30,0,4,9
9,8.0,0,0,30,0,4,9
9,9.0,0,0,30,0,4,9
10,0.0,1,0,30,1,2,2
10,1.0,1,0,30,1,2,3
10,2.0,0,0,30,0,2,4
10,3.0,1,0,30,1,2,5
10,4.0,1,0,30,1,2,6
10,5.0,1,0,30,1,2,7
10,6.0,1,0,30,1,2,8
10,7.0,0,0,30,0,2,9
10,8.0,0,0,30,0,2,9
10,9.0,0,0,30,0,2,9
11,0.0,1,0,30,1,8,8
11,1.0,1,0,30,1,8,9
11,2.0,1,0,30,1,8,9
11,3.0,1,0,30,1,8,9
11,4.0,1,0,30,1,8,9
11,5.0,1,0,30,1,8,9
11,6.0,1,0,30,1,8,9
11,7.0,1,0,30,1,8,9
11,8.0,1,0,30,1,8,9
11,9.0,1,0,30,1,8,9
12,0.0,1,0,30,1,5,5
12,1.0,1,0,30,1,5,6
12,2.0,1,0,30,1,5,7
12,3.0,1,0,30,1,5,8
12,4.0,0,0,30,0,5,9
12,5.0,0,0,30,0,5,9
12,6.0,0,0,30,0,5,9
12,7.0,0,0,30,0,5,9
12,8.0,0,0,30,0,5,9
12,9.0,0,0,30,0,5,9
13,0.0,1,0,30,1,3,3
13,1.0,1,0,30,1,3,4
13,2.0,1,0,30,1,3,5
13,3.0,1,0,30,1,3,6
13,4.0,1,0,30,1,3,7
13,5.0,1,0,30,1,3,8
13,6.0,1,0,30,1,3,9
13,7.0,1,0,30,1,3,9
13,8.0,1,0,30,1,3,9
13,9.0,1,0,30,1,3,9
14,0.0,1,0,30,1,3,3
14,1.0,1,0,30,1,3,4
14,2.0,1,0,30,1,3,5
14,3.0,0,0,30,0,3,6
14,4.0,1,0,30,1,3,7
14,5.0,1,0,30,1,3,8
14,6.0,1,0,30,1,3,9
14,7.0,1,0,30,1,3,9
14,8.0,1,0,30,1,3,9
14,9.0,1,0,30,1,3,9
15,0.0,1,0,30,1,2,2
15,1.0,1,0,30,1,2,3
15,2.0,1,0,30,1,2,4
15,3.0,0,0,30,0,2,5
15,4.0,0,0,30,0,2,6
15,5.0,0,0,30,0,2,7
15,6.0,0,0,30,0,2,8
15,7.0,0,0,30,0,2,9
15,8.0,0,0,30,0,2,9
15,9.0,0,0,30,0,2,9
16,0.0,1,0,30,1,9,9
16,1.0,1,0,30,1,9,9
16,2.0,1,0,30,1,9,9
16,3.0,1,0,30,1,9,9
16,4.0,1,0,30,1,9,9
16,5.0,1,0,30,1,9,9
16,6.0,1,0,30,1,9,9
16,7.0,1,0,30,1,9,9
16,8.0,1,0,30,1,9,9
16,9.0,1,0,30,1,9,9
17,0.0,1,0,30,1,2,2
17,1.0,1,0,30,1,2,3
17,2.0,1,0,30,1,2,4
17,3.0,1,0,30,1,2,5
17,4.0,1,0,30,1,2,6
17,5.0,1,0,30,1,2,7
17,6.0,0,0,30,0,2,8
17,7.0,0,0,30,0,2,9
17,8.0,0,0,30,0,2,9
17,9.0,0,0,30,0,2,9
18,0.0,1,0,30,1,4,4
18,1.0,1,0,30,1,4,5
18,2.0,0,0,30,0,4,6
18,3.0,0,0,30,0,4,7
18,4.0,0,0,30,0,4,8
18,5.0,0,0,30,0,4,9
18,6.0,0,0,30,0,4,9
18,7.0,0,0,30,0,4,9
18,8.0,0,0,30,0,4,9
18,9.0,0,0,30,0,4,9
19,0.0,1,0,30,1,8,8
19,1.0,0,0,30,0,8,9
19,2.0,0,0,30,0,8,9
19,3.0,0,0,30,0,8,9
19,4.0,0,0,30,0,8,9
19,5.0,0,0,30,0,8,9
19,6.0,0,0,30,0,8,9
19,7.0,0,0,30,0,8,9
19,8.0,0,0,30,0,8,9
19,9.0,0,0,30,0,8,9
