method,seed,step,clean,rauc,median_r80
uniform,0,0.0,0.9,0.5666666666666667,3.7
uniform,0,20.0,0.9,0.5666666666666667,3.7
uniform,0,40.0,0.9,0.5666666666666667,3.7
uniform,0,60.0,0.9,0.5666666666666667,3.7
uniform,0,80.0,0.9,0.5666666666666667,3.7
uniform,0,100.0,0.9,0.5666666666666667,3.7
uniform,1,0.0,0.9,0.5666666666666667,3.7
uniform,1,20.0,0.9,0.5666666666666667,3.7
uniform,1,40.0,0.9,0.5666666666666667,3.7
uniform,1,60.0,0.9,0.5666666666666667,3.7
uniform,1,80.0,0.9,0.5666666666666667,3.7
uniform,1,100.0,0.9,0.5666666666666667,3.7
uniform,2,0.0,0.9,0.5666666666666667,3.7
uniform,2,20.0,0.9,0.5666666666666667,3.7
uniform,2,40.0,0.9,0.5666666666666667,3.7
uniform,2,60.0,0.9,0.5666666666666667,3.7
uniform,2,80.0,0.9,0.5666666666666667,3.7
uniform,2,100.0,0.9,0.5666666666666667,3.7
uniform,3,0.0,0.9,0.5666666666666667,3.7
uniform,3,20.0,0.9,0.5666666666666667,3.7
uniform,3,40.0,0.9,0.5666666666666667,3.7
uniform,3,60.0,0.9,0.5666666666666667,3.7
uniform,3,80.0,0.9,0.5666666666666667,3.7
uniform,3,100.0,0.9,0.5666666666666667,3.7
fixed,0,0.0,0.9,0.5666666666666667,3.7
fixed,0,20.0,0.9,0.5666666666666667,3.7
fixed,0,40.0,0.9,0.5666666666666667,3.7
fixed,0,60.0,0.9,0.5666666666666667,3.7
fixed,0,80.0,0.9,0.5666666666666667,3.7
fixed,0,100.0,0.9,0.5666666666666667,3.7
fixed,1,0.0,0.9,0.5666666666666667,3.7
fixed,1,20.0,0.9,0.5666666666666667,3.7
fixed,1,40.0,0.9,0.5666666666666667,3.7
fixed,1,60.0,0.9,0.5666666666666667,3.7
fixed,1,80.0,0.9,0.5666666666666667,3.7
fixed,1,100.0,0.9,0.5666666666666667,3.7
fixed,2,0.0,0.9,0.5666666666666667,3.7
fixed,2,20.0,0.9,0.5666666666666667,3.7
fixed,2,40.0,0.9,0.5666666666666667,3.7
fixed,2,60.0,0.9,0.5666666666666667,3.7
fixed,2,80.0,0.9,0.5666666666666667,3.7
fixed,2,100.0,0.9,0.5666666666666667,3.7
fixed,3,0.0,0.9,0.5666666666666667,3.7
fixed,3,20.0,0.9,0.5666666666666667,3.7
fixed,3,40.0,0.9,0.5666666666666667,3.7
fixed,3,60.0,0.9,0.5666666666666667,3.7
fixed,3,80.0,0.9,0.5666666666666667,3.7
fixed,3,100.0,0.9,0.5666666666666667,3.7
failure_only,0,0.0,0.9,0.5666666666666667,3.7
failure_only,0,20.0,0.9,0.5666666666666667,3.7
failure_only,0,40.0,0.9,0.5666666666666667,3.7
failure_only,0,60.0,0.9,0.5666666666666667,3.7
failure_only,0,80.0,0.9,0.5666666666666667,3.7
failure_only,0,100.0,0.9,0.5666666666666667,3.7
failure_only,1,0.0,0.9,0.5666666666666667,3.7
failure_only,1,20.0,0.9,0.5666666666666667,3.7
failure_only,1,40.0,0.9,0.5666666666666667,3.7
failure_only,1,60.0,0.9,0.5666666666666667,3.7
failure_only,1,80.0,0.9,0.5666666666666667,3.7
failure_only,1,100.0,0.9,0.5666666666666667,3.7
failure_only,2,0.0,0.9,0.5666666666666667,3.7
failure_only,2,20.0,0.9,0.5666666666666667,3.7
failure_only,2,40.0,0.9,0.5666666666666667,3.7
failure_only,2,60.0,0.9,0.5666666666666667,3.7
failure_only,2,80.0,0.9,0.5666666666666667,3.7
failure_only,2,100.0,0.9,0.5666666666666667,3.7
failure_only,3,0.0,0.9,0.5666666666666667,3.7
failure_only,3,20.0,0.9,0.5666666666666667,3.7
failure_only,3,40.0,0.9,0.5666666666666667,3.7
failure_only,3,60.0,0.9,0.5666666666666667,3.7
failure_only,3,80.0,0.9,0.5666666666666667,3.7
failure_only,3,100.0,0.9,0.5666666666666667,3.7
td_loss,0,0.0,0.9,0.5666666666666667,3.7
td_loss,0,20.0,0.9,0.5666666666666667,3.7
