seed,sigma,success,terminal,steps,reward,checkpoint_x,checkpoint_y,perturbed_x,perturbed_y,oxygen,diver_count
0,0.0,1,0,40,1,5,4,5,4,199,0
0,1.0,1,0,40,1,5,4,4,4,199,0
0,2.0,1,0,40,1,5,4,3,4,199,0
0,3.0,1,0,40,1,5,4,2,4,199,0
0,4.0,1,0,40,1,5,4,1,4,198,0
0,5.0,1,0,40,1,5,4,0,4,199,0
1,0.0,1,0,40,1,5,4,5,4,198,0
1,1.0,1,0,40,1,5,4,4,4,198,0
1,2.0,1,0,40,1,5,4,3,4,198,0
1,3.0,1,0,40,1,5,4,2,4,199,0
1,4.0,1,0,40,1,5,4,1,4,199,0
1,5.0,0,1,23,0,5,4,0,4,172,0
2,0.0,1,0,40,1,5,4,5,4,198,0
2,1.0,1,0,40,1,5,4,4,4,198,0
2,2.0,1,0,40,1,5,4,3,4,198,0
2,3.0,1,0,40,1,5,4,2,4,197,0
2,4.0,1,0,40,1,5,4,1,4,197,0
2,5.0,0,1,23,0,5,4,0,4,172,0
3,0.0,1,0,40,1,5,4,5,4,155,1
3,1.0,1,0,40,1,5,4,4,4,155,1
3,2.0,1,0,40,1,5,4,3,4,155,1
3,3.0,1,0,40,1,5,4,2,4,155,1
3,4.0,1,0,40,1,5,4,1,4,155,1
3,5.0,1,0,40,1,5,4,0,4,155,1
4,0.0,1,0,40,1,5,4,5,4,199,0
4,1.0,1,0,40,1,5,4,4,4,199,0
4,2.0,1,0,40,1,5,4,3,4,199,0
4,3.0,1,0,40,1,5,4,2,4,199,0
4,4.0,1,0,40,1,5,4,1,4,199,0
4,5.0,0,1,23,0,5,4,0,4,172,0
5,0.0,1,0,40,1,5,4,5,4,199,0
5,1.0,1,0,40,1,5,4,4,4,199,0
5,2.0,1,0,40,1,5,4,3,4,199,0
5,3.0,1,0,40,1,5,4,2,4,199,0
5,4.0,1,0,40,2,5,4,1,4,198,0
5,5.0,1,0,40,1,5,4,0,4,199,0
6,0.0,1,0,40,1,5,4,5,4,192,0
6,1.0,1,0,40,1,5,4,4,4,192,0
6,2.0,1,0,40,1,5,4,3,4,192,0
6,3.0,1,0,40,1,5,4,2,4,192,0
6,4.0,1,0,40,1,5,4,1,4,192,0
6,5.0,1,0,40,1,5,4,0,4,191,0
7,0.0,1,0,40,1,5,4,5,4,198,0
7,1.0,1,0,40,1,5,4,4,4,198,0
7,2.0,1,0,40,1,5,4,3,4,198,0
7,3.0,1,0,40,1,5,4,2,4,198,0
7,4.0,1,0,40,1,5,4,1,4,198,0
