method,seed,step,clean,rauc,median_r80
uniform,0,0.0,0.8666666666666667,0.8266666666666665,5.0
uniform,0,20.0,0.9,0.8766666666666667,5.0
uniform,0,40.0,0.9333333333333333,0.8766666666666666,5.0
uniform,0,60.0,0.9333333333333333,0.8766666666666665,5.0
uniform,0,80.0,0.9333333333333333,0.8799999999999998,5.0
uniform,0,100.0,0.9333333333333333,0.8799999999999998,5.0
uniform,1,0.0,0.9333333333333333,0.9033333333333331,5.0
uniform,1,20.0,1.0,0.9066666666666666,5.0
uniform,1,40.0,0.9333333333333333,0.8799999999999998,5.0
uniform,1,60.0,1.0,0.9366666666666666,4.6
uniform,1,80.0,0.9666666666666667,0.9066666666666666,5.0
uniform,1,100.0,0.9333333333333333,0.8833333333333332,5.0
uniform,2,0.0,0.9666666666666667,0.9166666666666664,4.6
uniform,2,20.0,0.9,0.8333333333333333,5.0
uniform,2,40.0,0.9333333333333333,0.8766666666666665,5.0
uniform,2,60.0,0.9333333333333333,0.89,5.0
uniform,2,80.0,0.9333333333333333,0.8966666666666665,5.0
uniform,2,100.0,0.9333333333333333,0.8966666666666665,5.0
uniform,3,0.0,0.6666666666666666,0.6633333333333334,5.0
uniform,3,20.0,0.9333333333333333,0.9066666666666665,5.0
uniform,3,40.0,0.9333333333333333,0.8633333333333332,5.0
uniform,3,60.0,0.9333333333333333,0.8633333333333332,5.0
uniform,3,80.0,0.9333333333333333,0.8799999999999998,5.0
uniform,3,100.0,0.9333333333333333,0.9233333333333333,5.0
fixed,0,0.0,0.8666666666666667,0.8266666666666665,5.0
fixed,0,20.0,0.9333333333333333,0.8966666666666665,5.0
fixed,0,40.0,0.9333333333333333,0.8933333333333332,5.0
fixed,0,60.0,0.9333333333333333,0.8566666666666667,4.2
fixed,0,80.0,0.9666666666666667,0.9066666666666665,5.0
fixed,0,100.0,0.9333333333333333,0.89,5.0
fixed,1,0.0,0.9333333333333333,0.9033333333333331,5.0
fixed,1,20.0,0.9333333333333333,0.89,5.0
fixed,1,40.0,0.9333333333333333,0.8966666666666665,5.0
fixed,1,60.0,0.9333333333333333,0.89,5.0
fixed,1,80.0,0.9666666666666667,0.9066666666666666,4.6
fixed,1,100.0,0.9666666666666667,0.9133333333333332,5.0
fixed,2,0.0,0.9666666666666667,0.9166666666666664,4.6
fixed,2,20.0,0.8666666666666667,0.7699999999999999,4.2
fixed,2,40.0,0.8666666666666667,0.8633333333333332,5.0
fixed,2,60.0,0.9333333333333333,0.8966666666666665,5.0
fixed,2,80.0,0.9666666666666667,0.9,4.6
fixed,2,100.0,0.9666666666666667,0.9066666666666665,5.0
fixed,3,0.0,0.6666666666666666,0.6633333333333334,5.0
fixed,3,20.0,0.9333333333333333,0.8566666666666667,4.2
fixed,3,40.0,0.9333333333333333,0.9033333333333332,5.0
fixed,3,60.0,0.9333333333333333,0.89,5.0
fixed,3,80.0,0.9333333333333333,0.89,5.0
fixed,3,100.0,0.9333333333333333,0.8966666666666665,5.0
failure_only,0,0.0,0.8666666666666667,0.8266666666666665,5.0
failure_only,0,20.0,0.9333333333333333,0.8666666666666667,5.0
failure_only,0,40.0,0.9666666666666667,0.9299999999999999,5.0
failure_only,0,60.0,0.9666666666666667,0.8866666666666666,5.0
failure_only,0,80.0,0.9666666666666667,0.9333333333333332,5.0
failure_only,0,100.0,0.9333333333333333,0.9066666666666666,5.0
failure_only,1,0.0,0.9333333333333333,0.9033333333333331,5.0
failure_only,1,20.0,0.9666666666666667,0.9399999999999998,5.0
failure_only,1,40.0,0.9333333333333333,0.91,5.0
failure_only,1,60.0,0.9333333333333333,0.9066666666666666,5.0
failure_only,1,80.0,0.9333333333333333,0.9033333333333332,5.0
failure_only,1,100.0,0.9333333333333333,0.8999999999999999,5.0
failure_only,2,0.0,0.9666666666666667,0.9166666666666664,4.6
failure_only,2,20.0,0.9333333333333333,0.8433333333333334,5.0
failure_only,2,40.0,0.9666666666666667,0.9366666666666668,5.0
failure_only,2,60.0,0.9666666666666667,0.9233333333333333,5.0
failure_only,2,80.0,0.9333333333333333,0.8966666666666665,5.0
failure_only,2,100.0,0.9333333333333333,0.8999999999999999,5.0
failure_only,3,0.0,0.6666666666666666,0.6633333333333334,5.0
failure_only,3,20.0,0.9333333333333333,0.8999999999999999,5.0
failure_only,3,40.0,0.9333333333333333,0.8733333333333333,5.0
failure_only,3,60.0,0.9666666666666667,0.9033333333333332,5.0
failure_only,3,80.0,0.9333333333333333,0.8966666666666665,5.0
failure_only,3,100.0,0.9333333333333333,0.9033333333333332,5.0
td_loss,0,0.0,0.8666666666666667,0.8266666666666665,5.0
td_loss,0,20.0,0.9,0.8533333333333333,5.0
td_loss,0,40.0,0.9333333333333333,0.8966666666666667,5.0
td_loss,0,60.0,0.9,0.8533333333333333,5.0
td_loss,0,80.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,0,100.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,1,0.0,0.9333333333333333,0.9033333333333331,5.0
td_loss,1,20.0,0.9666666666666667,0.9166666666666665,5.0
td_loss,1,40.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,1,60.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,1,80.0,0.8666666666666667,0.8233333333333334,5.0
td_loss,1,100.0,0.9666666666666667,0.9066666666666665,5.0
td_loss,2,0.0,0.9666666666666667,0.9166666666666664,4.6
td_loss,2,20.0,0.8,0.7833333333333333,5.0
td_loss,2,40.0,0.9,0.86,5.0
td_loss,2,60.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,2,80.0,0.9666666666666667,0.9133333333333332,5.0
td_loss,2,100.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,3,0.0,0.6666666666666666,0.6633333333333334,5.0
td_loss,3,20.0,0.9,0.8533333333333333,5.0
td_loss,3,40.0,0.9333333333333333,0.8999999999999999,5.0
td_loss,3,60.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,3,80.0,0.9333333333333333,0.8966666666666665,5.0
td_loss,3,100.0,0.9333333333333333,0.8966666666666665,5.0
bgr_uniform_radius,0,0.0,0.8666666666666667,0.8266666666666665,5.0
bgr_uniform_radius,0,20.0,0.9333333333333333,0.8766666666666667,5.0
bgr_uniform_radius,0,40.0,0.9333333333333333,0.8866666666666667,5.0
bgr_uniform_radius,0,60.0,0.9333333333333333,0.8966666666666667,5.0
bgr_uniform_radius,0,80.0,0.9333333333333333,0.9066666666666666,5.0
bgr_uniform_radius,0,100.0,0.9333333333333333,0.91,5.0
bgr_uniform_radius,1,0.0,0.9333333333333333,0.9033333333333331,5.0
bgr_uniform_radius,1,20.0,0.9333333333333333,0.8666666666666667,5.0
bgr_uniform_radius,1,40.0,0.7666666666666667,0.7666666666666665,5.0
bgr_uniform_radius,1,60.0,0.9333333333333333,0.8699999999999999,4.6
bgr_uniform_radius,1,80.0,0.9333333333333333,0.9233333333333333,5.0
bgr_uniform_radius,1,100.0,0.9333333333333333,0.9166666666666666,5.0
bgr_uniform_radius,2,0.0,0.9666666666666667,0.9166666666666664,4.6
bgr_uniform_radius,2,20.0,0.8666666666666667,0.81,5.0
bgr_uniform_radius,2,40.0,0.9333333333333333,0.9266666666666665,5.0
bgr_uniform_radius,2,60.0,0.9333333333333333,0.8866666666666666,5.0
bgr_uniform_radius,2,80.0,0.9333333333333333,0.8766666666666666,5.0
bgr_uniform_radius,2,100.0,0.9333333333333333,0.92,5.0
bgr_uniform_radius,3,0.0,0.6666666666666666,0.6633333333333334,5.0
bgr_uniform_radius,3,20.0,0.9333333333333333,0.91,5.0
bgr_uniform_radius,3,40.0,0.9333333333333333,0.8966666666666666,5.0
bgr_uniform_radius,3,60.0,0.9333333333333333,0.8866666666666666,5.0
bgr_uniform_radius,3,80.0,0.9333333333333333,0.9033333333333331,5.0
bgr_uniform_radius,3,100.0,0.9666666666666667,0.9299999999999998,5.0
bgr_coverage,0,0.0,0.8666666666666667,0.8266666666666665,5.0
bgr_coverage,0,20.0,0.9,0.8833333333333333,5.0
bgr_coverage,0,40.0,0.9666666666666667,0.9399999999999998,5.0
bgr_coverage,0,60.0,0.9333333333333333,0.92,5.0
bgr_coverage,0,80.0,0.9666666666666667,0.9366666666666664,5.0
bgr_coverage,0,100.0,0.9666666666666667,0.9333333333333332,5.0
bgr_coverage,1,0.0,0.9333333333333333,0.9033333333333331,5.0
bgr_coverage,1,20.0,0.9,0.8766666666666666,5.0
bgr_coverage,1,40.0,0.9333333333333333,0.9133333333333333,5.0
bgr_coverage,1,60.0,0.9666666666666667,0.9366666666666664,5.0
bgr_coverage,1,80.0,0.9333333333333333,0.8966666666666666,5.0
bgr_coverage,1,100.0,0.9333333333333333,0.8966666666666665,5.0
bgr_coverage,2,0.0,0.9666666666666667,0.9166666666666664,4.6
bgr_coverage,2,20.0,0.4,0.36,5.0
bgr_coverage,2,40.0,0.9333333333333333,0.89,5.0
bgr_coverage,2,60.0,0.9333333333333333,0.91,5.0
bgr_coverage,2,80.0,0.9,0.8699999999999999,5.0
bgr_coverage,2,100.0,0.9,0.8799999999999998,5.0
bgr_coverage,3,0.0,0.6666666666666666,0.6633333333333334,5.0
bgr_coverage,3,20.0,0.8666666666666667,0.86,5.0
bgr_coverage,3,40.0,0.9333333333333333,0.91,5.0
bgr_coverage,3,60.0,0.9333333333333333,0.8566666666666667,4.2
bgr_coverage,3,80.0,0.9333333333333333,0.9233333333333333,5.0
bgr_coverage,3,100.0,0.9333333333333333,0.8966666666666665,5.0
bgr,0,0.0,0.8666666666666667,0.8266666666666665,5.0
bgr,0,20.0,0.9333333333333333,0.8966666666666667,5.0
bgr,0,40.0,0.9333333333333333,0.9066666666666666,5.0
bgr,0,60.0,0.9333333333333333,0.9233333333333333,5.0
bgr,0,80.0,0.9333333333333333,0.8633333333333332,5.0
bgr,0,100.0,0.9333333333333333,0.8766666666666666,5.0
bgr,1,0.0,0.9333333333333333,0.9033333333333331,5.0
bgr,1,20.0,0.8,0.7333333333333332,5.0
bgr,1,40.0,0.9333333333333333,0.9166666666666666,5.0
bgr,1,60.0,0.9333333333333333,0.8799999999999998,5.0
bgr,1,80.0,0.9666666666666667,0.9199999999999999,5.0
bgr,1,100.0,0.9333333333333333,0.8999999999999999,5.0
bgr,2,0.0,0.9666666666666667,0.9166666666666664,4.6
bgr,2,20.0,0.9,0.8866666666666665,5.0
bgr,2,40.0,0.9333333333333333,0.8766666666666666,5.0
bgr,2,60.0,0.9333333333333333,0.8966666666666665,5.0
bgr,2,80.0,0.9333333333333333,0.8966666666666665,5.0
bgr,2,100.0,0.9333333333333333,0.8966666666666665,5.0
bgr,3,0.0,0.6666666666666666,0.6633333333333334,5.0
bgr,3,20.0,0.9,0.8833333333333332,5.0
bgr,3,40.0,0.9333333333333333,0.9066666666666665,5.0
bgr,3,60.0,0.9333333333333333,0.9033333333333332,5.0
bgr,3,80.0,0.9333333333333333,0.9033333333333331,5.0
bgr,3,100.0,0.9333333333333333,0.8833333333333332,5.0
