method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.9333333333333333,0.8799999999999998,5.0,0.8726666666666665,0.8799999999999998
uniform,1,0.9333333333333333,0.8833333333333332,5.0,0.9046666666666664,0.9366666666666666
uniform,2,0.9333333333333333,0.8966666666666665,5.0,0.8806666666666666,0.9166666666666664
uniform,3,0.9333333333333333,0.9233333333333333,5.0,0.8613333333333333,0.9233333333333333
fixed,0,0.9333333333333333,0.89,5.0,0.8823333333333332,0.9066666666666665
fixed,1,0.9666666666666667,0.9133333333333332,5.0,0.8983333333333333,0.9133333333333332
fixed,2,0.9666666666666667,0.9066666666666665,5.0,0.8683333333333333,0.9166666666666664
fixed,3,0.9333333333333333,0.8966666666666665,5.0,0.8640000000000001,0.9033333333333332
failure_only,0,0.9333333333333333,0.9066666666666666,5.0,0.8966666666666666,0.9333333333333332
failure_only,1,0.9333333333333333,0.8999999999999999,5.0,0.9123333333333332,0.9399999999999998
failure_only,2,0.9333333333333333,0.8999999999999999,5.0,0.9016666666666667,0.9366666666666668
failure_only,3,0.9333333333333333,0.9033333333333332,5.0,0.8713333333333333,0.9033333333333332
td_loss,0,0.9333333333333333,0.8966666666666665,5.0,0.8723333333333332,0.8966666666666667
td_loss,1,0.9666666666666667,0.9066666666666665,5.0,0.8876666666666665,0.9166666666666665
td_loss,2,0.9333333333333333,0.8966666666666665,5.0,0.8719999999999999,0.9166666666666664
td_loss,3,0.9333333333333333,0.8966666666666665,5.0,0.8653333333333333,0.8999999999999999
bgr_uniform_radius,0,0.9333333333333333,0.91,5.0,0.887,0.91
bgr_uniform_radius,1,0.9333333333333333,0.9166666666666666,5.0,0.8673333333333332,0.9233333333333333
bgr_uniform_radius,2,0.9333333333333333,0.92,5.0,0.8836666666666667,0.9266666666666665
bgr_uniform_radius,3,0.9666666666666667,0.9299999999999998,5.0,0.8786666666666665,0.9299999999999998
bgr_coverage,0,0.9666666666666667,0.9333333333333332,5.0,0.9119999999999999,0.9399999999999998
bgr_coverage,1,0.9333333333333333,0.8966666666666665,5.0,0.9046666666666664,0.9366666666666664
bgr_coverage,2,0.9,0.8799999999999998,5.0,0.7856666666666666,0.9166666666666664
bgr_coverage,3,0.9333333333333333,0.8966666666666665,5.0,0.8660000000000001,0.9233333333333333
bgr,0,0.9333333333333333,0.8766666666666666,5.0,0.8883333333333334,0.9233333333333333
bgr,1,0.9333333333333333,0.8999999999999999,5.0,0.8703333333333333,0.9199999999999999
bgr,2,0.9333333333333333,0.8966666666666665,5.0,0.8926666666666665,0.9166666666666664
bgr,3,0.9333333333333333,0.8833333333333332,5.0,0.8739999999999998,0.9066666666666665
