method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
uniform,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
uniform,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
uniform,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
fixed,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
fixed,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
fixed,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
fixed,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
failure_only,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
failure_only,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
failure_only,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
failure_only,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
td_loss,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
td_loss,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
td_loss,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
td_loss,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_uniform_radius,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_uniform_radius,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_uniform_radius,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_uniform_radius,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_coverage,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_coverage,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_coverage,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr_coverage,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr,0,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr,1,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr,2,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
bgr,3,1.0,0.4166666666666667,2.2,0.41666666666666674,0.4166666666666667
