method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.9166666666666666,0.49392361111111116,0.3,0.7475,0.35221354166666674,0.49392361111111116
uniform,1,1.0,0.725,0.35,0.8725,0.525,0.725
uniform,2,0.6842105263157895,0.41885964912280693,0.3,0.37375,0.2683662280701754,0.41885964912280693
uniform,3,1.0,0.915798611111111,0.8125,1.0,0.3934461805555555,0.915798611111111
fixed,0,0.0,0.0,1.0,0.0,0.0,0.0
fixed,1,0.75,0.5958333333333334,0.3125,0.871875,0.30625,0.5958333333333334
fixed,2,0.47368421052631576,0.3163377192982456,1.0,0.0,0.1791392543859649,0.3163377192982456
fixed,3,0.08333333333333333,0.057291666666666664,1.0,0.0,0.014322916666666664,0.057291666666666664
failure_only,0,1.0,0.9913194444444445,1.0,1.0,0.49479166666666674,0.9913194444444445
failure_only,1,1.0,0.7046875,0.35,0.8725,0.512109375,0.7046875
failure_only,2,0.631578947368421,0.39364035087719296,0.3,0.37375,0.1639254385964912,0.39364035087719296
failure_only,3,0.9166666666666666,0.49392361111111116,0.3,0.7475,0.26888020833333326,0.49392361111111116
td_loss,0,0.9166666666666666,0.49392361111111116,0.3,0.7475,0.37044270833333337,0.49392361111111116
td_loss,1,0.75,0.5364583333333334,0.2875,0.81,0.41223958333333344,0.5364583333333334
td_loss,2,0.7894736842105263,0.4830043859649123,0.3,0.7475,0.27042214912280704,0.4830043859649123
td_loss,3,0.9166666666666666,0.49392361111111116,0.3,0.7475,0.1872829861111111,0.49392361111111116
bgr_uniform_radius,0,1.0,0.6015625000000001,0.3,0.87125,0.38519965277777785,0.6015625000000001
bgr_uniform_radius,1,1.0,0.725,0.35,0.8725,0.5278645833333334,0.725
bgr_uniform_radius,2,0.6842105263157895,0.41885964912280693,0.3,0.37375,0.3020833333333333,0.41885964912280693
bgr_uniform_radius,3,0.25,0.2300347222222222,1.0,0.0,0.17252604166666663,0.2300347222222222
bgr_coverage,0,0.9166666666666666,0.49392361111111116,0.3,0.7475,0.20594618055555558,0.49392361111111116
bgr_coverage,1,1.0,0.725,0.35,0.8725,0.49895833333333334,0.725
bgr_coverage,2,0.5789473684210527,0.3662280701754385,0.3,0.3725,0.23629385964912278,0.3662280701754385
bgr_coverage,3,0.5833333333333334,0.3532986111111111,0.275,0.37375,0.13910590277777776,0.3532986111111111
bgr,0,0.8333333333333334,0.45746527777777785,0.3,0.7475,0.2150607638888889,0.45746527777777785
bgr,1,0.6,0.51875,0.19999999999999996,0.87125,0.32552083333333326,0.51875
bgr,2,0.5789473684210527,0.38048245614035087,0.3,0.37375,0.22724780701754388,0.38048245614035087
bgr,3,0.25,0.11805555555555557,1.0,0.0,0.05815972222222223,0.11805555555555557
