method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc,runtime_sec
uniform,0,0.7222222222222222,0.5856481481481481,0.09999999999999995,1.0,0.3919270833333333,0.5856481481481481,16.22994375228882
fixed,0,0.5833333333333334,0.6064814814814815,0.3333333333333333,0.9916666666666667,0.41218171296296297,0.6064814814814815,16.475653409957886
failure_only,0,0.75,0.6354166666666666,0.09999999999999995,0.975,0.44733796296296285,0.6354166666666666,135.1149959564209
td_loss,0,0.5416666666666666,0.5543981481481481,0.375,0.46249999999999997,0.4039351851851852,0.5543981481481481,23.67965316772461
bgr_uniform_radius,0,0.611111111111111,0.5439814814814815,0.24999999999999994,0.8083333333333332,0.38353587962962965,0.5439814814814815,19.697923183441162
bgr_clean_shield,0,0.4444444444444444,0.47685185185185186,0.41666666666666663,0.4666666666666667,0.3537326388888889,0.47685185185185186,28.865917205810547
bgr_coverage,0,0.4861111111111111,0.4884259259259259,0.41666666666666663,0.5458333333333333,0.35720486111111105,0.4884259259259259,19.266043186187744
bgr,0,0.486111111111111,0.4918981481481481,0.3,0.2833333333333333,0.36226851851851855,0.4918981481481481,19.04422402381897
uniform,1,0.6944444444444443,0.6585648148148148,0.3833333333333333,1.0,0.49985532407407407,0.6585648148148148,12.960584878921509
fixed,1,0.6388888888888888,0.6539351851851851,0.49999999999999994,1.0,0.4871238425925926,0.6539351851851851,13.850523233413696
failure_only,1,0.6527777777777778,0.6851851851851851,0.3916666666666666,1.0,0.5081018518518517,0.6851851851851851,113.92533826828003
td_loss,1,0.5694444444444443,0.6863425925925926,0.5166666666666666,0.9791666666666667,0.5186631944444444,0.6863425925925926,21.457940340042114
bgr_uniform_radius,1,0.7083333333333334,0.6574074074074074,0.44166666666666665,1.0,0.49710648148148157,0.6574074074074074,17.336391925811768
bgr_clean_shield,1,0.5972222222222222,0.6087962962962963,0.55,0.9875,0.49247685185185186,0.6377314814814815,25.852189540863037
bgr_coverage,1,0.5416666666666666,0.5949074074074074,0.6583333333333332,1.0,0.45804398148148157,0.5949074074074074,16.820699214935303
bgr,1,0.6805555555555555,0.65625,0.4333333333333333,1.0,0.4697627314814815,0.65625,16.699394702911377
uniform,2,0.5694444444444445,0.5439814814814815,0.3833333333333333,0.6291666666666667,0.40596064814814814,0.5439814814814815,15.088098049163818
fixed,2,0.5416666666666666,0.5625,0.5333333333333333,0.8958333333333333,0.42013888888888895,0.5625,15.21071195602417
failure_only,2,0.611111111111111,0.6134259259259259,0.4833333333333333,1.0,0.4635416666666667,0.6134259259259259,130.65490698814392
td_loss,2,0.5277777777777778,0.6006944444444444,0.6083333333333333,0.9624999999999999,0.4156539351851852,0.6006944444444444,22.990760326385498
bgr_uniform_radius,2,0.5,0.5902777777777778,0.8999999999999999,0.8958333333333333,0.4314236111111112,0.5902777777777778,19.390445709228516
bgr_clean_shield,2,0.5555555555555555,0.5821759259259259,0.375,0.7166666666666667,0.3844039351851852,0.5821759259259259,26.924539804458618
bgr_coverage,2,0.5277777777777777,0.4976851851851852,0.3083333333333333,0.7249999999999999,0.37471064814814814,0.4976851851851852,17.91959571838379
bgr,2,0.5416666666666666,0.5358796296296297,0.35,0.7958333333333333,0.37282986111111105,0.5358796296296297,18.034325122833252
uniform,3,0.5833333333333334,0.6446759259259259,0.6777777777777778,1.0,0.45109953703703703,0.6446759259259259,13.945260524749756
fixed,3,0.5555555555555555,0.5960648148148148,0.7916666666666665,1.0,0.4635416666666667,0.6122685185185185,14.161926984786987
failure_only,3,0.6805555555555555,0.6712962962962962,0.4333333333333333,1.0,0.4778645833333333,0.6712962962962962,115.14524745941162
td_loss,3,0.6388888888888888,0.6365740740740741,0.375,1.0,0.4709201388888889,0.6365740740740741,22.163381338119507
bgr_uniform_radius,3,0.6249999999999999,0.5775462962962963,0.2666666666666666,0.8916666666666666,0.4403935185185185,0.5775462962962963,17.82615375518799
bgr_clean_shield,3,0.625,0.6076388888888888,0.4333333333333333,0.8791666666666667,0.4577546296296296,0.6076388888888888,26.968168258666992
bgr_coverage,3,0.6388888888888888,0.5416666666666666,0.2666666666666666,0.8791666666666667,0.43475115740740733,0.5416666666666666,16.858644247055054
bgr,3,0.5833333333333334,0.5914351851851852,0.4333333333333333,0.975,0.42158564814814814,0.5914351851851852,16.963897943496704
