method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.09375,0.06663495451265442,1.0,0.0,0.008969142951902315,0.06663495451265442
uniform,1,0.0,0.0014973958333333332,1.0,0.0,0.0014973958333333332,0.0014973958333333332
uniform,2,0.0,0.010794324490613554,1.0,0.0,0.002716478061326694,0.010794324490613554
uniform,3,0.03125,0.061542038690476183,1.0,0.0,0.03973446800595238,0.061542038690476183
fixed,0,0.0,0.02299785574285804,1.0,0.0,0.003514505605677768,0.02299785574285804
fixed,1,0.03125,0.023034511029972886,1.0,0.0,0.02034237163039294,0.023034511029972886
fixed,2,0.0,0.018921107104700855,1.0,0.0,0.011097652076655983,0.031023804754273507
fixed,3,0.0,0.023195684523809525,1.0,0.0,0.018925548735119046,0.023195684523809525
failure_only,0,0.40625,0.25505392614049555,1.0,0.0,0.05896442881072793,0.25505392614049555
failure_only,1,0.09375,0.060689002231683754,1.0,0.0,0.011216118396545498,0.060689002231683754
failure_only,2,0.03125,0.04244287884424603,1.0,0.0,0.023249986436631943,0.04244287884424603
failure_only,3,0.0,0.026678757440476195,1.0,0.0,0.022381301153273813,0.026678757440476195
td_loss,0,0.125,0.08673462098180618,1.0,0.0,0.0260202307147318,0.08673462098180618
td_loss,1,0.09375,0.09265679811405914,1.0,0.0,0.036416243253975904,0.09265679811405914
td_loss,2,0.09375,0.10102381422320532,1.0,0.0,0.05462604597503064,0.10854081165719492
td_loss,3,0.03125,0.06497163318452381,1.0,0.0,0.015609595889136903,0.06497163318452381
bgr_uniform_radius,0,0.1875,0.1487119341927476,1.0,0.0,0.07830087576396744,0.1487119341927476
bgr_uniform_radius,1,0.0625,0.06068327528144853,1.0,0.0,0.03672725265042734,0.06068327528144853
bgr_uniform_radius,2,0.125,0.16688113095799217,1.0,0.0,0.08361755165056808,0.16688113095799217
bgr_uniform_radius,3,0.1875,0.1655833296860411,1.0,0.0,0.06684398205896942,0.1655833296860411
bgr_coverage,0,0.15625,0.12226335596337895,1.0,0.0,0.06976750949277948,0.12226335596337895
bgr_coverage,1,0.09375,0.07680776844810622,1.0,0.0,0.04213405662757254,0.07680776844810622
bgr_coverage,2,0.21875,0.20844489137802558,1.0,0.0,0.09694121851965946,0.20844489137802558
bgr_coverage,3,0.15625,0.16292976500496031,1.0,0.0,0.06795126294332839,0.16292976500496031
bgr,0,0.15625,0.1160875117274474,1.0,0.0,0.07773358811423206,0.1160875117274474
bgr,1,0.09375,0.10648832982530132,1.0,0.0,0.03548405130759508,0.10648832982530132
bgr,2,0.09375,0.11903013133338271,1.0,0.0,0.06588423195425004,0.11903013133338271
bgr,3,0.03125,0.05534319196428571,1.0,0.0,0.037595331101190475,0.05534319196428571
