method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc
uniform,0,0.21875,0.15395608338282318,1.0,0.0,0.05653454230861844,0.15395608338282318
uniform,1,0.09375,0.03130870261422628,1.0,0.0,0.0139282148713058,0.03130870261422628
uniform,2,0.125,0.18239072642630688,1.0,0.0,0.03493255999890807,0.18239072642630688
uniform,3,0.03125,0.03790428510348308,1.0,0.0,0.02365912275592174,0.03790428510348308
fixed,0,0.03125,0.035368529856785604,1.0,0.0,0.02253821306349974,0.04524155595235779
fixed,1,0.03125,0.04379643763611799,1.0,0.0,0.013979011380954611,0.04379643763611799
fixed,2,0.0625,0.11793876227638828,1.0,0.0,0.0498512554547612,0.11793876227638828
fixed,3,0.0,0.055227930658246494,1.0,0.0,0.02103411259020936,0.055227930658246494
failure_only,0,0.15625,0.12111296580293579,1.0,0.0,0.05783047991496778,0.12387369120242074
failure_only,1,0.03125,0.01344819308195191,1.0,0.0,0.00480845989335923,0.01344819308195191
failure_only,2,0.03125,0.06606942502034135,1.0,0.0,0.025825492155804198,0.06606942502034135
failure_only,3,0.0,0.011550663254172623,1.0,0.0,0.004151169213575915,0.011550663254172623
td_loss,0,0.09375,0.056718411992132775,1.0,0.0,0.017170472213295825,0.056718411992132775
td_loss,1,0.0625,0.023577743001510658,1.0,0.0,0.005146987506599089,0.023577743001510658
td_loss,2,0.09375,0.10525896492733394,1.0,0.0,0.03210688794599186,0.10525896492733394
td_loss,3,0.0,0.051052789481319805,1.0,0.0,0.022732478399746292,0.051052789481319805
bgr_uniform_radius,0,0.0625,0.03989382381062289,1.0,0.0,0.020407489443608852,0.03989382381062289
bgr_uniform_radius,1,0.0,0.02108493078083193,1.0,0.0,0.007167151319997976,0.02108493078083193
bgr_uniform_radius,2,0.125,0.1580559957589036,1.0,0.0,0.08045651704175918,0.1580559957589036
bgr_uniform_radius,3,0.15625,0.16770893433308634,1.0,0.0,0.07337265600977577,0.16770893433308634
bgr_coverage,0,0.09375,0.05803778092172023,1.0,0.0,0.021408822863744886,0.05803778092172023
bgr_coverage,1,0.125,0.05400006830653607,1.0,0.0,0.01661693618159909,0.05400006830653607
bgr_coverage,2,0.1875,0.16594259834503938,1.0,0.0,0.06450402387085605,0.16594259834503938
bgr_coverage,3,0.15625,0.13442687861076075,1.0,0.0,0.07905127807658237,0.13442687861076075
bgr,0,0.0,0.0008399152930402931,1.0,0.0,0.0008399152930402932,0.0008399152930402931
bgr,1,0.0625,0.023577743001510658,1.0,0.0,0.007478752847582817,0.023577743001510658
bgr,2,0.0625,0.1147395002596391,1.0,0.0,0.040414128688022265,0.1147395002596391
bgr,3,0.09375,0.09750226063654842,1.0,0.0,0.04700575804988784,0.09750226063654842
